pcfId	hierarchyId	name	description	differenceIndex	changeDetails	metricsAvailable	level	parent	children	category	industry
10020	1.1.4	Establish strategic vision	Establishing the organization's long-term vision as a strategic positioning and engagement of stakeholders. Institute the vision by creating strategic orientations of all stakeholders. Understand the strategy development frameworks in this context.	0		false	3	1.1		Operating Processes	cross-industry
19949	1.1.4.1	Define the strategic vision	Developing goals to define organizations vision. Define and document ideas, direction, and activities which enable the organization to reach these goals.	0		false	4	1.1.4		Operating Processes	cross-industry
10035	1.1.4.2	Align stakeholders around strategic vision	Orienting those entities, associated with the organization that have a direct bearing on its operations and output, in a way that advances its strategic vision. Map all stakeholders in strategic configurations, within the architectural layout of the marketplace, and position the organization relative to them. (This exercise is undertaken by senior strategy personnel, drawing upon the process Define a business concept and long-term vision [17040].)	0		false	4	1.1.4		Operating Processes	cross-industry
10036	1.1.4.3	Communicate strategic vision to stakeholders	Developing and executing communication strategies to convey an alignment plan of all organizational stakeholders, which helps the organization realize its vision. Create custom communication strategies and delivery channels with the objective of orienting stakeholders according to the configuration maps created in the process Align stakeholders around a strategic vision [10035]. Have senior strategy personnel closely collaborate with the communications/marketing team.	0		false	4	1.1.4		Operating Processes	cross-industry
16792	1.1.5	Conduct organization restructuring opportunities	Examining the scope and contingencies for restructuring based on market situation and internal realities. Map the market forces over which any and all probabilities can be probed for utility and viability. Once the restructuring options have been analyzed and the due-diligence performed, execute the deal. Consider seeking professional services for assistance in formalizing these opportunities.	0		false	3	1.1		Operating Processes	cross-industry
16793	1.1.5.1	Identify restructuring opportunities	Identifying opportunities for restructuring the organization, through an analysis of internal viability and external contingency. Conduct a broad-based survey of the market landscape, taking the large-scale trends and movements into account, to determine the necessity and possibility of restructuring the organization. Review the organization's internal capacities, the readiness of its process frameworks, the robustness of its financials, the capableness of its systems, the resourcefulness of its personnel, etc. for assimilating an extensive overhaul.	0		false	4	1.1.5		Operating Processes	cross-industry
16794	1.1.5.2	Perform due-diligence	Auditing the status quo of the probabilities, before formalizing any restructuring of the organization with another entity. Systematically investigate all entities discerned to be of interest in Identify restructuring opportunities [16793], to verify all tangible and substantial facts. Consider engaging specialist professional services including legal, accounting, and consulting help.	0		false	4	1.1.5		Operating Processes	cross-industry
16795	1.1.5.3	Analyze deal options	Examining various options shortlisted for assimilating new entities into the organization or dissociating from it. Undertake a piecemeal and comprehensive consideration of each option identified for acquisition, merger, de-merger, and divestment. Consider intangible and non-material aspects of the entities involved and synergic aspects. Consider the assistance of specialist professional services.	0		false	4	1.1.5		Operating Processes	cross-industry
16796	1.1.5.3.1	Evaluate acquisition options	Appraising entities identified as being suitable for acquisition, taking into account the restructuring opportunities in the internal and external context. Verify the appropriateness and viability of the short-listed options. Ensure these entities pertain to the state-of-affairs in the market, as well as fit with the resources and capabilities of the organization.	0		false	5	1.1.5.3		Operating Processes	cross-industry
16797	1.1.5.3.2	Evaluate merger options	Appraising entities identified as being suitable for a merger, taking stock of the restructuring opportunities within the firm and the market. Verify the appropriateness and viability of such options. Assess these entities to ensure their pertinence to the contextual state-of-affairs in the market, as well as a fit with the resources and capabilities of the organization itself. (This process can be carried out, in its entirety, by qualified in-house personnel or may be designated to specialist professional services providers.)	0		false	5	1.1.5.3		Operating Processes	cross-industry
16798	1.1.5.3.3	Evaluate de-merger options	Evaluating departments and subsidiaries within the organization, and/or previously merged entities, to assess the appropriateness of a de-merger, taking account of the fit between these entities as well as any relevant externalities. Examine the pertinence and soundness of a formalized dissociation.	0		false	5	1.1.5.3		Operating Processes	cross-industry
16799	1.1.5.3.4	Evaluate divesture options	Evaluating departments and/or subsidiaries within the organization to assess the appropriateness of a divestment, taking account of all market externalities. Examine any internal entities that have been identified to be suitable for dismemberment from the organization. Ensure the pertinence and soundness of such a move.	0		false	5	1.1.5.3		Operating Processes	cross-industry
10015	1.2	Develop business strategy	Developing an organization's mission statement, strategy, and business design. Create a concise statement that clearly articulates the mission of the organization, outlining practicable targets to Establish a strategic vision [10020]. Delineate strategic options by matching these alternatives with the organization's internal capabilities. Create an organizational design, and identify goals by developing strategies at the functional and process levels.	16	c10039, c10040	false	2	1.0		Operating Processes	cross-industry
10037	1.2.1	Develop overall mission statement	Establishing an overarching, compact statement that concisely underscores the mission of the organization. Define and communicate a clear and succinct mission statement, which encapsulates how the organization aims to proceed in order to Establish a strategic vision [10020]. Solicit critical inputs from senior management and strategy executives, and collaborate with marketing or personnel from allied functions.	0		false	3	1.2		Operating Processes	cross-industry
10044	1.2.1.1	Define current business	Defining the status quo relating to the de facto core of what the business is. Reflect over the fundamental essence of what the business accomplishes and the manner in which it operates. Look beyond the obvious solution capabilities to delineate capacities that form the basis of the business engine. Involve senior executives and management personnel and possibly professional services providers.	0		false	4	1.2.1		Operating Processes	cross-industry
10045	1.2.1.2	Formulate mission	Outlining actionable objectives that effectively set a course to fulfill the organization's vision. In this fundamental activity, articulate certain goals or targets in broad but practicable terms to reach long-term objectives.	0		false	4	1.2.1		Operating Processes	cross-industry
10046	1.2.1.3	Communicate mission	Developing and executing a communication strategy to convey the mission statement. Create a universal communication strategy and appropriate delivery channels, with the objective of leveraging the latter to execute the former. Convey the inherent message of the mission to all stakeholders, including employees, customers, and the public. Ensure collaboration between senior strategy personnel and the communications/marketing team.	0		false	4	1.2.1		Operating Processes	cross-industry
10038	1.2.2	Define and evaluate strategic options to achieve the mission	Assessing sets of strategic decisions designed to drive the organization's long-term objectives. Identify various strategies concerning core functional areas. Appraise strategic options in light of auxiliary decision frameworks that ensure smooth functioning, the advancement of functional efficiencies, and vitality. Involve senior management executives, especially strategy and/or business unit personnel, with need-based consultative assistance from professional services providers.	13	+21607, +21608, +21609, +21610, +21611, +21612, +21613, +21614, +21606, -16800, -16801, -16802, -16806	false	3	1.2		Operating Processes	cross-industry
10047	1.2.2.1	Define strategic options	Defining the various options available to achieve the goals highlighted in the mission statement. Delineate (in accordance with a predefined criteria) the various permutations of strategic decisions that would help the organization achieve the objectives outlined in Develop overall mission statement [10037]. Involve senior management and key strategy personnel, with timely help from professional services providers.	0		false	4	1.2.2		Operating Processes	cross-industry
18083	1.2.2.1.1	Select partnerships and relationships to support the extended enterprise	Supporting the design, manufacture and distribution of product and services through the extended enterprise model.  This is concerned with the strategic decisions on make vs buy, in house or out sourced.  Senior Executives map out how they want to run their business.  Make strategic choices as to whether to buy in components / sub-assemblies, run their own distribution fleet or contract out, own their dealerships or franchise out, etc.  Strategize with partnerships. Collaborate design consideration at strategy level for automotive and procurement act within the Target Operating Model set at strategy level.	0		false	5	1.2.2.1		Operating Processes	cross-industry
10048	1.2.2.2	Assess and analyze impact of each option	Scoping and probing to study the impact of strategic options for fulfilling the organization's objectives. Estimate a measure of the impact effectuated by each set of strategic decisions, which comprise Define strategic options [10047]. Closely examine the consequences of each option.	0		false	4	1.2.2		Operating Processes	cross-industry
13289	1.2.2.2.1	Identify implications for key operating model business elements that require change	Determine impacts of elements such as staffing, skills, training, new markets, technology, or policies within operating model which needs change.	0		false	5	1.2.2.2		Operating Processes	cross-industry
13290	1.2.2.2.2	Identify implications for key technology aspects	Determining key factors for technology ROI, benefits, architecture, etc.	0		false	5	1.2.2.2		Operating Processes	cross-industry
21606	1.2.2.3	Evaluate B2B options	Evaluating future business to business opportunities against past and current approaches and performance. Gather insights into what competitors and other similar organizations are doing and the needs, goals, and expectations of stakeholders and partners to understand potential future impact.	1	NEW	false	4	1.2.2		Operating Processes	cross-industry
21607	1.2.2.4	Evaluate B2C options	Evaluating future business to customer opportunities against past and current approaches and performance. Gather insights into what competitors and other similar organizations are doing and the needs, goals, and expectations of customers and partners to understand potential future impact.	1	NEW	false	4	1.2.2		Operating Processes	cross-industry
21608	1.2.2.5	Evaluate partner/alliance options	Evaluating partnership and alliance opportunities to deliver products/services. Understand existing product and market models in use across the markets you serve, evolving trends, and the cost/benefit of potential new/updated partnership/alliance options.	1	NEW	false	4	1.2.2		Operating Processes	cross-industry
21609	1.2.2.6	Evaluate IP acquisition options	Evaluating intellectual property acquisition options available to scale, modernize, and/or extend product/service reach. Understand the cost, risk, timing and lifecycle value of candidate acquisitions.	1	NEW	false	4	1.2.2		Operating Processes	cross-industry
21610	1.2.2.7	Evaluate innovation options	Evaluating innovation options to advance technology, products/services, and/or operational performance.	1	NEW	false	4	1.2.2		Operating Processes	cross-industry
21611	1.2.2.8	Evaluate sustainability options	Evaluating sustainability requirements, stakeholder expectations, and value proposition for options. Understand the potential activities and changes across environmental, social, and governance, the effort required, cost to implement, and benefits gained. The analysis should consider sustainable product/service lifecycles, operations, infrastructure, performance, and workforce.	1	NEW	false	4	1.2.2		Operating Processes	cross-industry
21612	1.2.2.9	Evaluate global support options	Evaluating options for global support services and functions. This should include structure, scale, adaptability to change, and alternative delivery models to balance cost, performance, and customer value.	1	NEW	false	4	1.2.2		Operating Processes	cross-industry
21613	1.2.2.10	Evaluate shared services options	Evaluating options for shared services and support functions. This should include structure, scale, adaptability to change, and alternative delivery models to balance cost, performance, and operational efficiencies.	1	NEW	false	4	1.2.2		Operating Processes	cross-industry
21614	1.2.2.11	Evaluate lean/continuous improvement options	Evaluating options to enhance and optimize processes and functional areas. Understand alternatives to strengthen business capabilities, enhance process efficiencies, and advance performance standards.	1	NEW	false	4	1.2.2		Operating Processes	cross-industry
10039	1.2.3	Set/Develop long-term enterprise strategy	Developing a strategy for the achievement of business goals over the distant future. Adopt one of the strategic options for realizing its mission over the long term. Enlist senior management executives, comprising strategy and/or business unit personnel.	2	c19952, RENAME, WAS:Select long-term business strategy	false	3	1.2		Operating Processes	cross-industry
16803	1.2.3.1	Develop partner/alliance strategy	Defining direction and plan objectives for partnering with other companies to deliver product/services. Focus on creating a vision and strategic objectives and culminate in creating measures for the strategic alliance or partnership.	0		false	4	1.2.3		Operating Processes	cross-industry
14189	1.2.3.2	Develop sustainability strategy	Formulating strategic options that create opportunities for the sustenance and prosperity of the business in the long run. Go beyond business longevity to consider alternate strategies that allow the organizations preservation of vitality over time. Earmark resources and target processes, the former of which are dedicated to the absorption of sustainable practices in the latter.	0		false	4	1.2.3		Operating Processes	cross-industry
16805	1.2.3.3	Develop merger/demerger/acquisition/exit strategy	Defining a strategy for corporate development. Include providing a framework for evaluating merger and acquisition candidates; and planning for a value creation through merging/demerging with a company, acquiring a company, or exiting from an already merged/acquired company.	0		false	4	1.2.3		Operating Processes	cross-industry
19952	1.2.3.4	Develop innovation strategy	Developing a plan and vision to encourage advancements in technology or product/services. Create a roadmap for changing or innovating the business model to make business operations more competitive. Set up new R&D services for changing or bringing new value propositions, services, production processes, and invention of technology not previously used by competitors etc.	1	RENAME, WAS:Develop innovation strategy and framework	false	4	1.2.3		Operating Processes	cross-industry
19950	1.2.3.5	Develop global support strategy	Developing a plan to deploy support services and support functions throughout the organization globally. Arrange the organizations functional support areas to create efficiencies of scale in the delivery of support services, globally.	0		false	4	1.2.3		Operating Processes	cross-industry
19951	1.2.3.6	Develop shared services strategy	Charting a plan to leverage internal services and support functions throughout the organization. Delineate a framework of parameters and criteria to selectively filter service areas for inclusion among the organizations common resources. Arrange the organizations functional areas to create efficiencies of scale in the delivery of internal services.	0		false	4	1.2.3		Operating Processes	cross-industry
14197	1.2.3.7	Develop lean/continuous improvement strategy	Developing strategies for the optimization of processes and the improvement of functional areas in order to improve the bottom line. Create a road map of decision choices that would allow the organization to continuously enhance process efficiencies and advance performance standards.	0		false	4	1.2.3		Operating Processes	cross-industry
10040	1.2.4	Coordinate and align cross-functional and process strategies	Aligning the approach and method of individual units, departments, systems, and operations within the organization, in accordance with the larger strategic course adopted. Employ the organization's strategic path to guide the functions, divisions, and operations. Calibrate the plan and method of each functional area, as well as the processes therein, to Select the long-term business strategy [10039].	1	RENAME, WAS:Coordinate and align functional and process strategies	false	3	1.2		Operating Processes	cross-industry
10041	1.2.5	Create organizational design	Formulating a design for the organization's resources that allow it to meet its objectives. Develop a new framework for molding the organization's various processes into a coherent and seamless whole.	0		false	3	1.2		Operating Processes	cross-industry
10049	1.2.5.1	Evaluate breadth and depth of organizational structure	Evaluating the structural makeup of the organization, including pertinent features of and associated synergies among constituent elements. Examine the organization's architectural framework, paying close attention to the individual elements, the relations among them, and the conjoint and co-acting forces therein. Analyze functions and processes, as well as work-related positions. Scrutinize various relevant characteristics associated with each of them, depending upon the scale, scope, and type of organization.	0		false	4	1.2.5		Operating Processes	cross-industry
10050	1.2.5.2	Perform job-specific roles mapping and value-added analyses	Appraising job-specific roles within the organizational chart and their hierarchical architecture. Analyze a map of work-related roles within the organizational structure. Examine the value added by the positions associated with jobs to be performed and how they stack up within the organization's operations.	0		false	4	1.2.5		Operating Processes	cross-industry
10051	1.2.5.3	Develop role activity diagrams to assess hand-off activity	Examining the constituent exercises and undertakings within a work-related position for the purpose of effective delegation. Deconstruct job-specific roles into activities and visualize the relations among them, with the objective of assigning responsibilities to the appropriate personnel.	0		false	4	1.2.5		Operating Processes	cross-industry
10052	1.2.5.4	Perform organization redesign workshops	Organizing workshop sessions to adopt organizational redesign. Communicate the organizational structure and mapping of responsibilities against job roles in order to facilitate an effective understanding among personnel. Use a collaborative process that may include participative workshop sessions.	0		false	4	1.2.5		Operating Processes	cross-industry
10053	1.2.5.5	Design the relationships between organizational units	Fleshing out the connections and dependencies among the various units of the organization. Delineate the relationship among business units or process frameworks within the organization, in terms of activities, synergies, and shared resources and responsibilities. Formalize relationships among business units so that any mutual coherence is clearly understood and can be attended to.	0		false	4	1.2.5		Operating Processes	cross-industry
10054	1.2.5.6	Develop role analysis and activity diagrams for key processes	Creating an understanding of the fit between job roles and organizational processes in order to properly place personnel. Deconstruct key processes into constituent activities, and examine job-related roles. Take cues from Develop role activity diagrams to assess hand-off activity [10051]. Map appropriate positions against these important processes, which in turn expedite the deployment of staff members.	0		false	4	1.2.5		Operating Processes	cross-industry
10055	1.2.5.7	Assess organizational implication of feasible alternatives	Probing the repercussions of all practicable organizational design options. Analyze the significance and impact of workable organizational structure options. Closely examine the long-term impact of these frameworks over the functioning of the organization.	0		false	4	1.2.5		Operating Processes	cross-industry
10056	1.2.5.8	Migrate to new organization	Embracing and ratifying a new organizational structure. (Assume the new framework to be the best fit through Assess the organizational implications of feasible alternatives [10055].)	0		false	4	1.2.5		Operating Processes	cross-industry
10042	1.2.6	Develop and set organizational objectives	Developing overall goals for the organization that help in accomplishing its mission. Formulate organization-wide targets in the near to middle term, which will accumulate and propel the organization to realize its long-term objectives, as outlined in Develop an overall mission statement [10037]. Enlist business unit heads or equivalent personnel, in close collaboration with senior management executives.	0		false	3	1.2		Operating Processes	cross-industry
19953	1.2.6.1	Identify organizational objectives	Creating and developing strategic objectives that establishes a process to outline expected outcomes and guide employees' efforts.	0		false	4	1.2.6		Operating Processes	cross-industry
19954	1.2.6.2	Establish baseline metrics	Establishing baselines that provide standards for assessing performance. Create metrics and KPI's for various functions/processes/activities based on organizational goals.	0		false	4	1.2.6		Operating Processes	cross-industry
19955	1.2.6.3	Monitor performance against objective	Defining methodology and frequency of assessment for measuring and monitoring performance of various functions/processes/activities against standard set goals.	0		false	4	1.2.6		Operating Processes	cross-industry
10043	1.2.7	Formulate business unit strategies	Charting a strategic course for business units in order to leverage opportunities, sidestep hurdles, and create synergies among each other. Create strategic road maps for the organization's units--in light of their individual resources and requirements, as well as their relationships with other business units--to achieve organizational goals.	0		false	3	1.2		Operating Processes	cross-industry
19956	1.2.7.1	Analyze business unit strategies	Assessing the performance of a business unit against set organizational goals which are based on pre-defined metrics collected through various business unit operations.	0		false	4	1.2.7		Operating Processes	cross-industry
19957	1.2.7.2	Identify core competency for each business unit	Determining the resources and skills of each business unit based on knowledge and technical capacity. Enable business units to meet customer needs and grow in a competitive marketplace.	0		false	4	1.2.7		Operating Processes	cross-industry
19958	1.2.7.3	Refine business unit strategies in support of organizational strategy	Evaluating existing business unit strategy based on the company's strategy and eliminate unwanted/unnecessary resources/elements and re-consider necessary resources to meet the overall company's strategy.	0		false	4	1.2.7		Operating Processes	cross-industry
19959	1.2.8	Develop customer experience strategy	Defining a roadmap to meet customer expectations while considering how it will affect the business.	0		false	3	1.2		Operating Processes	cross-industry
19960	1.2.8.1	Assess customer experience	Measuring customer feedback in regard to product and services effectiveness based on overall satisfaction. The data to be analyzed is collected through surveys, customer responses, and feedbacks based on the delivered products/services.	0		false	4	1.2.8		Operating Processes	cross-industry
19961	1.2.8.1.1	Identify and review customer touchpoints	Creating methods to gauge customer experiences, expectations, and suggestions. Review both liked and disliked areas of product/services to be delivered. Evaluate touchpoints based on the nature of product/service in the market e.g., billboards, web sites, direct mail, service calls, etc.	0		false	5	1.2.8.1		Operating Processes	cross-industry
19962	1.2.8.1.2	Assess customer experience across touchpoints	Evaluating customer experiences, expectations, and suggestions in both liked and disliked areas of the product or services. Analyze all modes of communication, human and physical interactions, or customers experience during the relationship lifecycle with your organization. Evaluate the gaps/further development/alterations to the existing product/service to attain better customer response.	0		false	5	1.2.8.1		Operating Processes	cross-industry
19963	1.2.8.1.3	Perform root cause analysis of problematic customer experiences	Analyzing the core reason for the customer experience/feedback/response about the product/service to take considerable action for better customer experience.	0		false	5	1.2.8.1		Operating Processes	cross-industry
19964	1.2.8.2	Design customer experience	Creating a design of how customers interact with the business by analyzing data captured through various customer interaction and customer involvement. These will be captured through various channels such as customer satisfaction surveys, feedback forms, product reviews, targeted studies, observational studies, or voice of customer research.	0		false	4	1.2.8		Operating Processes	cross-industry
16612	1.2.8.2.1	Define and manage personas	Identifying a set of characteristics that define the demographic and behavioral patterns of the customer. Further, use persona scoring to design your marketing strategies around personas, and measure and optimize your interactions with the contacts classified by a certain persona.	0		false	5	1.2.8.2		Operating Processes	cross-industry
19965	1.2.8.2.2	Create customer journey maps	Creating a story of the customer's experience: from initial contact, through the process of engagement and into a long-term relationship. The goal is to teach organization about the customer.	0		false	5	1.2.8.2		Operating Processes	cross-industry
19966	1.2.8.2.3	Define single view of the customer for the organization	Defining parameters to show aggregated, consistent, and holistic representation of known data about customers. Define key parameters which enable the tracking of customers and communications across every channel.	0		false	5	1.2.8.2		Operating Processes	cross-industry
19967	1.2.8.2.4	Define a vision for the customer experience	Establishing a direction and vision on how the organization behaves towards customers in a consistent, effective way. The key attributes for customer experience vision consists of emotional connection, commitments and expectations, compelling value proposition, and ease of understanding the organization's behavior.	0		false	5	1.2.8.2		Operating Processes	cross-industry
19968	1.2.8.2.5	Validate with customers	Creating a process to validate the sales process and the assumptions that underpin the business model. Understand if the products/services have a repeatable, scalable business model around that product.	0		false	5	1.2.8.2		Operating Processes	cross-industry
19969	1.2.8.2.6	Align experience with brand values and business strategies	Aligning and defining a relevant, differentiated, and credible value proposition for the brand. Align experience to ensure that the product and service quality is consistent with brand promise and business strategies.	0		false	5	1.2.8.2		Operating Processes	cross-industry
19970	1.2.8.2.7	Develop content strategy	Planning, development, and management of content-written or in other media. Getting the right content to the right user at the right time through strategic planning of content creation, delivery, and governance.	0		false	5	1.2.8.2		Operating Processes	cross-industry
19971	1.2.8.3	Design customer experience support structure	Creating a roadmap for customer experience support with an overall approach, process flow, and impact timeframe.	0		false	4	1.2.8		Operating Processes	cross-industry
19972	1.2.8.3.1	Identify required capabilities	Determining the necessary skills and competencies required to efficiently collect customer experiences through the support structure.	0		false	5	1.2.8.3		Operating Processes	cross-industry
19973	1.2.8.3.2	Identify impact on functional processes	Identifying the affect of customer experience through customer experience support structure on other functions of customer services related to customer.	0		false	5	1.2.8.3		Operating Processes	cross-industry
19974	1.2.8.4	Develop customer experience roadmap to develop and implement defined capabilities	Defining a standard guideline to create and execute the capacities of registering customer experiences in a timely manner. Create a common understanding of what behaviors are required to implement the strategy. Define what talent/skills your organization needs to reach customer experience goals.	0		false	4	1.2.8		Operating Processes	cross-industry
18916	1.2.9	Communicate strategies internally and externally	Conveying planned procedures and methods to both internal departments and external stakeholders like customers, suppliers, etc., in an effective manner based on organizational objective.	0		false	3	1.2		Operating Processes	cross-industry
10016	1.3	Develop and measure strategic initiatives	Managing strategic initiatives, from development through selection, execution, and evaluation. Conduct and oversee strategic projects supporting long-term objectives. Administer programs of strategic significance by developing such initiatives, select the most appropriate projects, and formulate measures to assess their impact.	1	RENAME, WAS:Execute and measure strategic initiatives	false	2	1.0		Operating Processes	cross-industry
