id	name	type	label	comment	subClassOf	supersededBy
schema:HowToTool	schema:HowToTool	rdfs:Class	HowToTool	A tool used (but not consumed) when performing instructions for how to achieve a result.	schema:HowToItem	
schema:ShortStory	schema:ShortStory	rdfs:Class	ShortStory	Short story or tale. A brief work of literature, usually written in narrative prose.	schema:CreativeWork	
schema:EngineSpecification	schema:EngineSpecification	rdfs:Class	EngineSpecification	Information about the engine of the vehicle. A vehicle can have multiple engines represented by multiple engine specification entities.	schema:StructuredValue	
schema:SportsEvent	schema:SportsEvent	rdfs:Class	SportsEvent	Event type: Sports event.	schema:Event	
schema:DefenceEstablishment	schema:DefenceEstablishment	rdfs:Class	DefenceEstablishment	A defence establishment, such as an army or navy base.	schema:GovernmentBuilding	
schema:Movie	schema:Movie	rdfs:Class	Movie	A movie.	schema:CreativeWork	
schema:Thesis	schema:Thesis	rdfs:Class	Thesis	A thesis or dissertation document submitted in support of candidature for an academic degree or professional qualification.	schema:CreativeWork	
schema:QuantitativeValue	schema:QuantitativeValue	rdfs:Class	QuantitativeValue	 A point value or interval for product characteristics and other purposes.	schema:StructuredValue	
schema:Synagogue	schema:Synagogue	rdfs:Class	Synagogue	A synagogue.	schema:PlaceOfWorship	
schema:Corporation	schema:Corporation	rdfs:Class	Corporation	Organization: A business corporation.	schema:Organization	
schema:RecyclingCenter	schema:RecyclingCenter	rdfs:Class	RecyclingCenter	A recycling center.	schema:LocalBusiness	
schema:Embassy	schema:Embassy	rdfs:Class	Embassy	An embassy.	schema:GovernmentBuilding	
schema:ResearchProject	schema:ResearchProject	rdfs:Class	ResearchProject	A Research project.	schema:Project	
schema:MusicRecording	schema:MusicRecording	rdfs:Class	MusicRecording	A music recording (track), usually a single song.	schema:CreativeWork	
schema:ApartmentComplex	schema:ApartmentComplex	rdfs:Class	ApartmentComplex	Residence type: Apartment complex.	schema:Residence	
schema:ConsumeAction	schema:ConsumeAction	rdfs:Class	ConsumeAction	The act of ingesting information/resources/food.	schema:Action	
schema:GatedResidenceCommunity	schema:GatedResidenceCommunity	rdfs:Class	GatedResidenceCommunity	Residence type: Gated community.	schema:Residence	
schema:Product	schema:Product	rdfs:Class	Product	Any offered product or service. For example: a pair of shoes; a concert ticket; the rental of a car; a haircut; or an episode of a TV show streamed online.	schema:Thing	
schema:CategoryCodeSet	schema:CategoryCodeSet	rdfs:Class	CategoryCodeSet	A set of Category Code values.	schema:DefinedTermSet	
schema:LifestyleModification	schema:LifestyleModification	rdfs:Class	LifestyleModification	A process of care involving exercise, changes to diet, fitness routines, and other lifestyle changes aimed at improving a health condition.	schema:MedicalEntity	
schema:DigitalDocumentPermissionType	schema:DigitalDocumentPermissionType	rdfs:Class	DigitalDocumentPermissionType	A type of permission which can be granted for accessing a digital document.	schema:Enumeration	
schema:XPathType	schema:XPathType	rdfs:Class	XPathType	Text representing an XPath (typically but not necessarily version 1.0).	schema:Text	
schema:FMRadioChannel	schema:FMRadioChannel	rdfs:Class	FMRadioChannel	A radio channel that uses FM.	schema:RadioChannel	
schema:Review	schema:Review	rdfs:Class	Review	A review of an item - for example, of a restaurant, movie, or store.	schema:CreativeWork	
schema:PriceComponentTypeEnumeration	schema:PriceComponentTypeEnumeration	rdfs:Class	PriceComponentTypeEnumeration	Enumerates different price components that together make up the total price for an offered product.	schema:Enumeration	
schema:Thing	schema:Thing	rdfs:Class	Thing	The most generic type of item.		
schema:AmpStory	schema:AmpStory	rdfs:Class	AmpStory	A creative work with a visual storytelling format intended to be viewed online, particularly on mobile devices.	schema:MediaObject,schema:CreativeWork	
schema:VideoGameSeries	schema:VideoGameSeries	rdfs:Class	VideoGameSeries	A video game series.	schema:CreativeWorkSeries	
schema:MusicReleaseFormatType	schema:MusicReleaseFormatType	rdfs:Class	MusicReleaseFormatType	Format of this release (the type of recording media used, i.e. compact disc, digital media, LP, etc.).	schema:Enumeration	
schema:MedicalTherapy	schema:MedicalTherapy	rdfs:Class	MedicalTherapy	Any medical intervention designed to prevent, treat, and cure human diseases and medical conditions, including both curative and palliative therapies. Medical therapies are typically processes of care relying upon pharmacotherapy, behavioral therapy, supportive therapy (with fluid or nutrition for example), or detoxification (e.g. hemodialysis) aimed at improving or preventing a health condition.	schema:TherapeuticProcedure	
schema:WPAdBlock	schema:WPAdBlock	rdfs:Class	WPAdBlock	An advertising section of the page.	schema:WebPageElement	
schema:CorrectionComment	schema:CorrectionComment	rdfs:Class	CorrectionComment	A [[comment]] that corrects [[CreativeWork]].	schema:Comment	
schema:StatusEnumeration	schema:StatusEnumeration	rdfs:Class	StatusEnumeration	Lists or enumerations dealing with status types.	schema:Enumeration	
schema:GardenStore	schema:GardenStore	rdfs:Class	GardenStore	A garden store.	schema:Store	
schema:Drug	schema:Drug	rdfs:Class	Drug	A chemical or biologic substance, used as a medical therapy, that has a physiological effect on an organism. Here the term drug is used interchangeably with the term medicine although clinical knowledge makes a clear difference between them.	schema:Substance,schema:Product	
schema:ElectronicsStore	schema:ElectronicsStore	rdfs:Class	ElectronicsStore	An electronics store.	schema:Store	
schema:WebPageElement	schema:WebPageElement	rdfs:Class	WebPageElement	A web page element, like a table or an image.	schema:CreativeWork	
schema:Integer	schema:Integer	rdfs:Class	Integer	Data type: Integer.	schema:Number	
schema:CheckAction	schema:CheckAction	rdfs:Class	CheckAction	An agent inspects, determines, investigates, inquires, or examines an object's accuracy, quality, condition, or state.	schema:FindAction	
schema:DigitalDocumentPermission	schema:DigitalDocumentPermission	rdfs:Class	DigitalDocumentPermission	A permission for a particular person or group to access a particular file.	schema:Intangible	
schema:MerchantReturnEnumeration	schema:MerchantReturnEnumeration	rdfs:Class	MerchantReturnEnumeration	Enumerates several kinds of product return policies.	schema:Enumeration	
schema:IceCreamShop	schema:IceCreamShop	rdfs:Class	IceCreamShop	An ice cream shop.	schema:FoodEstablishment	
schema:Text	schema:Text	schema:DataType,rdfs:Class	Text	Data type: Text.		
schema:ReturnAction	schema:ReturnAction	rdfs:Class	ReturnAction	The act of returning to the origin that which was previously received (concrete objects) or taken (ownership).	schema:TransferAction	
schema:Campground	schema:Campground	rdfs:Class	Campground	A camping site, campsite, or [[Campground]] is a place used for overnight stay in the outdoors, typically containing individual [[CampingPitch]] locations. \n\n In British English a campsite is an area, usually divided into a number of pitches, where people can camp overnight using tents or camper vans or caravans; this British English use of the word is synonymous with the American English expression campground. In American English the term campsite generally means an area where an individual, family, group, or military unit can pitch a tent or park a camper; a campground may contain many campsites (source: Wikipedia, see [https://en.wikipedia.org/wiki/Campsite](https://en.wikipedia.org/wiki/Campsite)).\n\n  See also the dedicated [document on the use of schema.org for marking up hotels and other forms of accommodations](/docs/hotels.html). 	schema:LodgingBusiness,schema:CivicStructure	
schema:DeliveryMethod	schema:DeliveryMethod	rdfs:Class	DeliveryMethod	A delivery method is a standardized procedure for transferring the product or service to the destination of fulfillment chosen by the customer. Delivery methods are characterized by the means of transportation used, and by the organization or group that is the contracting party for the sending organization or person.\n\nCommonly used values:\n\n* http://purl.org/goodrelations/v1#DeliveryModeDirectDownload\n* http://purl.org/goodrelations/v1#DeliveryModeFreight\n* http://purl.org/goodrelations/v1#DeliveryModeMail\n* http://purl.org/goodrelations/v1#DeliveryModeOwnFleet\n* http://purl.org/goodrelations/v1#DeliveryModePickUp\n* http://purl.org/goodrelations/v1#DHL\n* http://purl.org/goodrelations/v1#FederalExpress\n* http://purl.org/goodrelations/v1#UPS         	schema:Enumeration	
schema:OfferItemCondition	schema:OfferItemCondition	rdfs:Class	OfferItemCondition	A list of possible conditions for the item.	schema:Enumeration	
schema:BikeStore	schema:BikeStore	rdfs:Class	BikeStore	A bike store.	schema:Store	
schema:RadioBroadcastService	schema:RadioBroadcastService	rdfs:Class	RadioBroadcastService	A delivery service through which radio content is provided via broadcast over the air or online.	schema:BroadcastService	
schema:InformAction	schema:InformAction	rdfs:Class	InformAction	The act of notifying someone of information pertinent to them, with no expectation of a response.	schema:CommunicateAction	
schema:StructuredValue	schema:StructuredValue	rdfs:Class	StructuredValue	Structured values are used when the value of a property has a more complex structure than simply being a textual value or a reference to another thing.	schema:Intangible	
schema:NLNonprofitType	schema:NLNonprofitType	rdfs:Class	NLNonprofitType	NLNonprofitType: Non-profit organization type originating from the Netherlands.	schema:NonprofitType	
schema:DepositAccount	schema:DepositAccount	rdfs:Class	DepositAccount	A type of Bank Account with a main purpose of depositing funds to gain interest or other benefits.	schema:InvestmentOrDeposit,schema:BankAccount	
schema:Joint	schema:Joint	rdfs:Class	Joint	The anatomical location at which two or more bones make contact.	schema:AnatomicalStructure	
schema:DeleteAction	schema:DeleteAction	rdfs:Class	DeleteAction	The act of editing a recipient by removing one of its objects.	schema:UpdateAction	
schema:NailSalon	schema:NailSalon	rdfs:Class	NailSalon	A nail salon.	schema:HealthAndBeautyBusiness	
schema:TrackAction	schema:TrackAction	rdfs:Class	TrackAction	An agent tracks an object for updates.\n\nRelated actions:\n\n* [[FollowAction]]: Unlike FollowAction, TrackAction refers to the interest on the location of innanimates objects.\n* [[SubscribeAction]]: Unlike SubscribeAction, TrackAction refers to  the interest on the location of innanimate objects.	schema:FindAction	
schema:Winery	schema:Winery	rdfs:Class	Winery	A winery.	schema:FoodEstablishment	
schema:PhysicalActivity	schema:PhysicalActivity	rdfs:Class	PhysicalActivity	Any bodily activity that enhances or maintains physical fitness and overall health and wellness. Includes activity that is part of daily living and routine, structured exercise, and exercise prescribed as part of a medical treatment or recovery plan.	schema:LifestyleModification	
schema:MiddleSchool	schema:MiddleSchool	rdfs:Class	MiddleSchool	A middle school (typically for children aged around 11-14, although this varies somewhat).	schema:EducationalOrganization	
schema:DDxElement	schema:DDxElement	rdfs:Class	DDxElement	An alternative, closely-related condition typically considered later in the differential diagnosis process along with the signs that are used to distinguish it.	schema:MedicalIntangible	
schema:Taxon	schema:Taxon	rdfs:Class	Taxon	A set of organisms asserted to represent a natural cohesive biological unit.	schema:Thing	
schema:CategoryCode	schema:CategoryCode	rdfs:Class	CategoryCode	A Category Code.	schema:DefinedTerm	
schema:UserInteraction	schema:UserInteraction	rdfs:Class	UserInteraction	UserInteraction and its subtypes is an old way of talking about users interacting with pages. It is generally better to use [[Action]]-based vocabulary, alongside types such as [[Comment]].	schema:Event	schema:InteractionCounter
schema:AddAction	schema:AddAction	rdfs:Class	AddAction	The act of editing by adding an object to a collection.	schema:UpdateAction	
schema:BusinessFunction	schema:BusinessFunction	rdfs:Class	BusinessFunction	The business function specifies the type of activity or access (i.e., the bundle of rights) offered by the organization or business person through the offer. Typical are sell, rental or lease, maintenance or repair, manufacture / produce, recycle / dispose, engineering / construction, or installation. Proprietary specifications of access rights are also instances of this class.\n\nCommonly used values:\n\n* http://purl.org/goodrelations/v1#ConstructionInstallation\n* http://purl.org/goodrelations/v1#Dispose\n* http://purl.org/goodrelations/v1#LeaseOut\n* http://purl.org/goodrelations/v1#Maintain\n* http://purl.org/goodrelations/v1#ProvideService\n* http://purl.org/goodrelations/v1#Repair\n* http://purl.org/goodrelations/v1#Sell\n* http://purl.org/goodrelations/v1#Buy         	schema:Enumeration	
schema:BuyAction	schema:BuyAction	rdfs:Class	BuyAction	The act of giving money to a seller in exchange for goods or services rendered. An agent buys an object, product, or service from a seller for a price. Reciprocal of SellAction.	schema:TradeAction	
schema:Vehicle	schema:Vehicle	rdfs:Class	Vehicle	A vehicle is a device that is designed or used to transport people or cargo over land, water, air, or through space.	schema:Product	
schema:PerformingGroup	schema:PerformingGroup	rdfs:Class	PerformingGroup	A performance group, such as a band, an orchestra, or a circus.	schema:Organization	
schema:ExchangeRateSpecification	schema:ExchangeRateSpecification	rdfs:Class	ExchangeRateSpecification	A structured value representing exchange rate.	schema:StructuredValue	
schema:ComputerLanguage	schema:ComputerLanguage	rdfs:Class	ComputerLanguage	This type covers computer programming languages such as Scheme and Lisp, as well as other language-like computer representations. Natural languages are best represented with the [[Language]] type.	schema:Intangible	
schema:Trip	schema:Trip	rdfs:Class	Trip	A trip or journey. An itinerary of visits to one or more places.	schema:Intangible	
schema:EmploymentAgency	schema:EmploymentAgency	rdfs:Class	EmploymentAgency	An employment agency.	schema:LocalBusiness	
schema:WebContent	schema:WebContent	rdfs:Class	WebContent	WebContent is a type representing all [[WebPage]], [[WebSite]] and [[WebPageElement]] content. It is sometimes the case that detailed distinctions between Web pages, sites and their parts are not always important or obvious. The  [[WebContent]] type makes it easier to describe Web-addressable content without requiring such distinctions to always be stated. (The intent is that the existing types [[WebPage]], [[WebSite]] and [[WebPageElement]] will eventually be declared as subtypes of [[WebContent]].)	schema:CreativeWork	
schema:OnlineMarketplace	schema:OnlineMarketplace	rdfs:Class	OnlineMarketplace	An eCommerce marketplace.	schema:OnlineStore	
schema:RsvpAction	schema:RsvpAction	rdfs:Class	RsvpAction	The act of notifying an event organizer as to whether you expect to attend the event.	schema:InformAction	
schema:OutletStore	schema:OutletStore	rdfs:Class	OutletStore	An outlet store.	schema:Store	
schema:RegisterAction	schema:RegisterAction	rdfs:Class	RegisterAction	The act of registering to be a user of a service, product or web page.\n\nRelated actions:\n\n* [[JoinAction]]: Unlike JoinAction, RegisterAction implies you are registering to be a user of a service, *not* a group/team of people.\n* [[FollowAction]]: Unlike FollowAction, RegisterAction doesn't imply that the agent is expecting to poll for updates from the object.\n* [[SubscribeAction]]: Unlike SubscribeAction, RegisterAction doesn't imply that the agent is expecting updates from the object.	schema:InteractAction	
schema:BackgroundNewsArticle	schema:BackgroundNewsArticle	rdfs:Class	BackgroundNewsArticle	A [[NewsArticle]] providing historical context, definition and detail on a specific topic (aka "explainer" or "backgrounder"). For example, an in-depth article or frequently-asked-questions ([FAQ](https://en.wikipedia.org/wiki/FAQ)) document on topics such as Climate Change or the European Union. Other kinds of background material from a non-news setting are often described using [[Book]] or [[Article]], in particular [[ScholarlyArticle]]. See also [[NewsArticle]] for related vocabulary from a learning/education perspective.	schema:NewsArticle	
schema:PalliativeProcedure	schema:PalliativeProcedure	rdfs:Class	PalliativeProcedure	A medical procedure intended primarily for palliative purposes, aimed at relieving the symptoms of an underlying health condition.	schema:MedicalTherapy,schema:MedicalProcedure	
schema:TelevisionStation	schema:TelevisionStation	rdfs:Class	TelevisionStation	A television station.	schema:LocalBusiness	
schema:SoftwareApplication	schema:SoftwareApplication	rdfs:Class	SoftwareApplication	A software application.	schema:CreativeWork	
schema:Message	schema:Message	rdfs:Class	Message	A single message from a sender to one or more organizations or people.	schema:CreativeWork	
schema:TherapeuticProcedure	schema:TherapeuticProcedure	rdfs:Class	TherapeuticProcedure	A medical procedure intended primarily for therapeutic purposes, aimed at improving a health condition.	schema:MedicalProcedure	
schema:RestrictedDiet	schema:RestrictedDiet	rdfs:Class	RestrictedDiet	A diet restricted to certain foods or preparations for cultural, religious, health or lifestyle reasons. 	schema:Enumeration	
schema:AutoDealer	schema:AutoDealer	rdfs:Class	AutoDealer	An car dealership.	schema:AutomotiveBusiness	
schema:WarrantyPromise	schema:WarrantyPromise	rdfs:Class	WarrantyPromise	A structured value representing the duration and scope of services that will be provided to a customer free of charge in case of a defect or malfunction of a product.	schema:StructuredValue	
schema:SportingGoodsStore	schema:SportingGoodsStore	rdfs:Class	SportingGoodsStore	A sporting goods store.	schema:Store	
schema:GroceryStore	schema:GroceryStore	rdfs:Class	GroceryStore	A grocery store.	schema:Store	
schema:PsychologicalTreatment	schema:PsychologicalTreatment	rdfs:Class	PsychologicalTreatment	A process of care relying upon counseling, dialogue and communication  aimed at improving a mental health condition without use of drugs.	schema:TherapeuticProcedure	
schema:FinancialService	schema:FinancialService	rdfs:Class	FinancialService	Financial services business.	schema:LocalBusiness	
schema:DietarySupplement	schema:DietarySupplement	rdfs:Class	DietarySupplement	A product taken by mouth that contains a dietary ingredient intended to supplement the diet. Dietary ingredients may include vitamins, minerals, herbs or other botanicals, amino acids, and substances such as enzymes, organ tissues, glandulars and metabolites.	schema:Substance,schema:Product	
schema:BusinessAudience	schema:BusinessAudience	rdfs:Class	BusinessAudience	A set of characteristics belonging to businesses, e.g. who compose an item's target audience.	schema:Audience	
schema:Seat	schema:Seat	rdfs:Class	Seat	Used to describe a seat, such as a reserved seat in an event reservation.	schema:Intangible	
schema:MedicalClinic	schema:MedicalClinic	rdfs:Class	MedicalClinic	A facility, often associated with a hospital or medical school, that is devoted to the specific diagnosis and/or healthcare. Previously limited to outpatients but with evolution it may be open to inpatients as well.	schema:MedicalOrganization,schema:MedicalBusiness	
schema:ComicSeries	schema:ComicSeries	rdfs:Class	ComicSeries	A sequential publication of comic stories under a      unifying title, for example "The Amazing Spider-Man" or "Groo the      Wanderer".	schema:Periodical	
schema:Blog	schema:Blog	rdfs:Class	Blog	A [blog](https://en.wikipedia.org/wiki/Blog), sometimes known as a "weblog". Note that the individual posts ([[BlogPosting]]s) in a [[Blog]] are often colloquially referred to by the same term.	schema:CreativeWork	
schema:TaxiService	schema:TaxiService	rdfs:Class	TaxiService	A service for a vehicle for hire with a driver for local travel. Fares are usually calculated based on distance traveled.	schema:Service	
schema:LiveBlogPosting	schema:LiveBlogPosting	rdfs:Class	LiveBlogPosting	A [[LiveBlogPosting]] is a [[BlogPosting]] intended to provide a rolling textual coverage of an ongoing event through continuous updates.	schema:BlogPosting	
schema:SingleFamilyResidence	schema:SingleFamilyResidence	rdfs:Class	SingleFamilyResidence	Residence type: Single-family home.	schema:House	
schema:DownloadAction	schema:DownloadAction	rdfs:Class	DownloadAction	The act of downloading an object.	schema:TransferAction	
schema:PodcastEpisode	schema:PodcastEpisode	rdfs:Class	PodcastEpisode	A single episode of a podcast series.	schema:Episode	
schema:DatedMoneySpecification	schema:DatedMoneySpecification	rdfs:Class	DatedMoneySpecification	A DatedMoneySpecification represents monetary values with optional start and end dates. For example, this could represent an employee's salary over a specific period of time. __Note:__ This type has been superseded by [[MonetaryAmount]], use of that type is recommended.	schema:StructuredValue	schema:MonetaryAmount
schema:DisagreeAction	schema:DisagreeAction	rdfs:Class	DisagreeAction	The act of expressing a difference of opinion with the object. An agent disagrees to/about an object (a proposition, topic or theme) with participants.	schema:ReactAction	
schema:ServicePeriod	schema:ServicePeriod	rdfs:Class	ServicePeriod	ServicePeriod represents a duration with some constraints about cutoff time and business days. This is used e.g. in shipping for handling times or transit time.	schema:StructuredValue	
schema:PaymentService	schema:PaymentService	rdfs:Class	PaymentService	A Service to transfer funds from a person or organization to a beneficiary person or organization.	schema:FinancialProduct,schema:PaymentMethod	
schema:ServiceChannel	schema:ServiceChannel	rdfs:Class	ServiceChannel	A means for accessing a service, e.g. a government office location, web site, or phone number.	schema:Intangible	
schema:MemberProgram	schema:MemberProgram	rdfs:Class	MemberProgram	A MemberProgram defines a loyalty (or membership) program that provides its members with certain benefits, for example better pricing, free shipping or returns, or the ability to earn loyalty points. Member programs may have multiple tiers, for example silver and gold members, each with different benefits.	schema:Intangible	
schema:AssessAction	schema:AssessAction	rdfs:Class	AssessAction	The act of forming one's opinion, reaction or sentiment.	schema:Action	
schema:MoveAction	schema:MoveAction	rdfs:Class	MoveAction	The act of an agent relocating to a place.\n\nRelated actions:\n\n* [[TransferAction]]: Unlike TransferAction, the subject of the move is a living Person or Organization rather than an inanimate object.	schema:Action	
schema:FundingAgency	schema:FundingAgency	rdfs:Class	FundingAgency	A FundingAgency is an organization that implements one or more [[FundingScheme]]s and manages     the granting process (via [[Grant]]s, typically [[MonetaryGrant]]s).     A funding agency is not always required for grant funding, e.g. philanthropic giving, corporate sponsorship etc.      Examples of funding agencies include ERC, REA, NIH, Bill and Melinda Gates Foundation, ...     	schema:Project	
schema:HighSchool	schema:HighSchool	rdfs:Class	HighSchool	A high school.	schema:EducationalOrganization	
schema:Person	schema:Person	rdfs:Class	Person	A person (alive, dead, undead, or fictional).	schema:Thing	
schema:WebPage	schema:WebPage	rdfs:Class	WebPage	A web page. Every web page is implicitly assumed to be declared to be of type WebPage, so the various properties about that webpage, such as <code>breadcrumb</code> may be used. We recommend explicit declaration if these properties are specified, but if they are found outside of an itemscope, they will be assumed to be about the page.	schema:CreativeWork	
schema:RadioClip	schema:RadioClip	rdfs:Class	RadioClip	A short radio program or a segment/part of a radio program.	schema:Clip	
schema:PlaceOfWorship	schema:PlaceOfWorship	rdfs:Class	PlaceOfWorship	Place of worship, such as a church, synagogue, or mosque.	schema:CivicStructure	
schema:LoseAction	schema:LoseAction	rdfs:Class	LoseAction	The act of being defeated in a competitive activity.	schema:AchieveAction	
schema:Motorcycle	schema:Motorcycle	rdfs:Class	Motorcycle	A motorcycle or motorbike is a single-track, two-wheeled motor vehicle.	schema:Vehicle	
schema:StatisticalPopulation	schema:StatisticalPopulation	rdfs:Class	StatisticalPopulation	A StatisticalPopulation is a set of instances of a certain given type that satisfy some set of constraints. The property [[populationType]] is used to specify the type. Any property that can be used on instances of that type can appear on the statistical population. For example, a [[StatisticalPopulation]] representing all [[Person]]s with a [[homeLocation]] of East Podunk California would be described by applying the appropriate [[homeLocation]] and [[populationType]] properties to a [[StatisticalPopulation]] item that stands for that set of people. The properties [[numConstraints]] and [[constraintProperty]] are used to specify which of the populations properties are used to specify the population. Note that the sense of "population" used here is the general sense of a statistical population, and does not imply that the population consists of people. For example, a [[populationType]] of [[Event]] or [[NewsArticle]] could be used. See also [[Observation]], where a [[populationType]] such as [[Person]] or [[Event]] can be indicated directly. In most cases it may be better to use [[StatisticalVariable]] instead of [[StatisticalPopulation]].	schema:Intangible	
schema:RadiationTherapy	schema:RadiationTherapy	rdfs:Class	RadiationTherapy	A process of care using radiation aimed at improving a health condition.	schema:MedicalTherapy	
schema:BusStation	schema:BusStation	rdfs:Class	BusStation	A bus station.	schema:CivicStructure	
schema:ResumeAction	schema:ResumeAction	rdfs:Class	ResumeAction	The act of resuming a device or application which was formerly paused (e.g. resume music playback or resume a timer).	schema:ControlAction	
schema:ScholarlyArticle	schema:ScholarlyArticle	rdfs:Class	ScholarlyArticle	A scholarly article.	schema:Article	
