id	name	type	label	comment	subClassOf	supersededBy	domainIncludes	rangeIncludes
schema:contentLocation	schema:contentLocation	rdf:Property	contentLocation	The location depicted or described in the content. For example, the location in a photograph or painting.			schema:CreativeWork	schema:Place
schema:weightPercentage	schema:weightPercentage	rdf:Property	weightPercentage	Fraction of the weight that is used to compute the shipping price.			schema:ShippingRateSettings	schema:Number
schema:landlord	schema:landlord	rdf:Property	landlord	A sub property of participant. The owner of the real estate property.			schema:RentAction	schema:Organization,schema:Person
schema:recordedAt	schema:recordedAt	rdf:Property	recordedAt	The Event where the CreativeWork was recorded. The CreativeWork may capture all or part of the event.			schema:CreativeWork	schema:Event
schema:frequency	schema:frequency	rdf:Property	frequency	How often the dose is taken, e.g. 'daily'.			schema:DoseSchedule	schema:Text
schema:polygon	schema:polygon	rdf:Property	polygon	A polygon is the area enclosed by a point-to-point path for which the starting and ending points are the same. A polygon is expressed as a series of four or more space delimited points where the first and final points are identical.			schema:GeoShape	schema:Text
schema:isTierOf	schema:isTierOf	rdf:Property	isTierOf	The member program this tier is a part of.			schema:MemberProgramTier	schema:MemberProgram
schema:itemDefectReturnLabelSource	schema:itemDefectReturnLabelSource	rdf:Property	itemDefectReturnLabelSource	The method (from an enumeration) by which the customer obtains a return shipping label for a defect product.			schema:MerchantReturnPolicy	schema:ReturnLabelSourceEnumeration
schema:isInvolvedInBiologicalProcess	schema:isInvolvedInBiologicalProcess	rdf:Property	isInvolvedInBiologicalProcess	Biological process this BioChemEntity is involved in; please use PropertyValue if you want to include any evidence.			schema:BioChemEntity	schema:PropertyValue,schema:URL,schema:DefinedTerm
schema:productionDate	schema:productionDate	rdf:Property	productionDate	The date of production of the item, e.g. vehicle.			schema:Product,schema:Vehicle	schema:Date
schema:emissionsCO2	schema:emissionsCO2	rdf:Property	emissionsCO2	The CO2 emissions in g/km. When used in combination with a QuantitativeValue, put "g/km" into the unitText property of that value, since there is no UN/CEFACT Common Code for "g/km".			schema:Vehicle	schema:Number
schema:legislationDateVersion	schema:legislationDateVersion	rdf:Property	legislationDateVersion	The point-in-time at which the provided description of the legislation is valid (e.g.: when looking at the law on the 2016-04-07 (= dateVersion), I get the consolidation of 2015-04-12 of the "National Insurance Contributions Act 2015")			schema:Legislation	schema:Date
schema:diet	schema:diet	rdf:Property	diet	A sub property of instrument. The diet used in this action.			schema:ExerciseAction	schema:Diet
schema:maximumVirtualAttendeeCapacity	schema:maximumVirtualAttendeeCapacity	rdf:Property	maximumVirtualAttendeeCapacity	The maximum virtual attendee capacity of an [[Event]] whose [[eventAttendanceMode]] is [[OnlineEventAttendanceMode]] (or the online aspects, in the case of a [[MixedEventAttendanceMode]]). 			schema:Event	schema:Integer
schema:comment	schema:comment	rdf:Property	comment	Comments, typically from users.			schema:RsvpAction,schema:CreativeWork	schema:Comment
schema:hoursAvailable	schema:hoursAvailable	rdf:Property	hoursAvailable	The hours during which this service or contact is available.			schema:Service,schema:LocationFeatureSpecification,schema:ContactPoint	schema:OpeningHoursSpecification
schema:requiresSubscription	schema:requiresSubscription	rdf:Property	requiresSubscription	Indicates if use of the media require a subscription  (either paid or free). Allowed values are ```true``` or ```false``` (note that an earlier version had 'yes', 'no').			schema:ActionAccessSpecification,schema:MediaObject	schema:Boolean,schema:MediaSubscription
schema:differentialDiagnosis	schema:differentialDiagnosis	rdf:Property	differentialDiagnosis	One of a set of differential diagnoses for the condition. Specifically, a closely-related or competing diagnosis typically considered later in the cognitive process whereby this medical condition is distinguished from others most likely responsible for a similar collection of signs and symptoms to reach the most parsimonious diagnosis or diagnoses in a patient.			schema:MedicalCondition	schema:DDxElement
schema:broadcastChannelId	schema:broadcastChannelId	rdf:Property	broadcastChannelId	The unique address by which the BroadcastService can be identified in a provider lineup. In US, this is typically a number.			schema:BroadcastChannel	schema:Text
schema:department	schema:department	rdf:Property	department	A relationship between an organization and a department of that organization, also described as an organization (allowing different urls, logos, opening hours). For example: a store with a pharmacy, or a bakery with a cafe.			schema:Organization	schema:Organization
schema:disambiguatingDescription	schema:disambiguatingDescription	rdf:Property	disambiguatingDescription	A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation.			schema:Thing	schema:Text
schema:employees	schema:employees	rdf:Property	employees	People working for this organization.		schema:employee	schema:Organization	schema:Person
schema:legislationLegalForce	schema:legislationLegalForce	rdf:Property	legislationLegalForce	Whether the legislation is currently in force, not in force, or partially in force.			schema:Legislation	schema:LegalForceStatus
schema:iupacName	schema:iupacName	rdf:Property	iupacName	Systematic method of naming chemical compounds as recommended by the International Union of Pure and Applied Chemistry (IUPAC).			schema:MolecularEntity	schema:Text
schema:borrower	schema:borrower	rdf:Property	borrower	A sub property of participant. The person that borrows the object being lent.			schema:LendAction	schema:Person
schema:isBasedOnUrl	schema:isBasedOnUrl	rdf:Property	isBasedOnUrl	A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.		schema:isBasedOn	schema:CreativeWork	schema:Product,schema:CreativeWork,schema:URL
schema:legislationResponsible	schema:legislationResponsible	rdf:Property	legislationResponsible	An individual or organization that has some kind of responsibility for the legislation. Typically the ministry who is/was in charge of elaborating the legislation, or the adressee for potential questions about the legislation once it is published.			schema:Legislation	schema:Person,schema:Organization
schema:percentile90	schema:percentile90	rdf:Property	percentile90	The 90th percentile value.			schema:QuantitativeValueDistribution	schema:Number
schema:statType	schema:statType	rdf:Property	statType	Indicates the kind of statistic represented by a [[StatisticalVariable]], e.g. mean, count etc. The value of statType is a property, either from within Schema.org (e.g. [[median]], [[marginOfError]], [[maxValue]], [[minValue]]) or from other compatible (e.g. RDF) systems such as DataCommons.org or Wikidata.org. 			schema:StatisticalVariable	schema:URL,schema:Property,schema:Text
schema:episode	schema:episode	rdf:Property	episode	An episode of a TV, radio or game media within a series or season.			schema:RadioSeries,schema:VideoGameSeries,schema:CreativeWorkSeason,schema:TVSeries	schema:Episode
schema:taxonomicRange	schema:taxonomicRange	rdf:Property	taxonomicRange	The taxonomic grouping of the organism that expresses, encodes, or in some way related to the BioChemEntity.			schema:BioChemEntity	schema:Taxon,schema:DefinedTerm,schema:Text,schema:URL
schema:transitTime	schema:transitTime	rdf:Property	transitTime	The typical delay the order has been sent for delivery and the goods reach the final customer.    In the context of [[ShippingDeliveryTime]], use the [[QuantitativeValue]]. Typical properties: minValue, maxValue, unitCode (d for DAY).    In the context of [[ShippingConditions]], use the [[ServicePeriod]]. It has a duration (as a [[QuantitativeValue]]) and also business days and a cut-off time. 			schema:ShippingDeliveryTime,schema:ShippingConditions	schema:ServicePeriod,schema:QuantitativeValue
schema:eventSchedule	schema:eventSchedule	rdf:Property	eventSchedule	Associates an [[Event]] with a [[Schedule]]. There are circumstances where it is preferable to share a schedule for a series of       repeating events rather than data on the individual events themselves. For example, a website or application might prefer to publish a schedule for a weekly       gym class rather than provide data on every event. A schedule could be processed by applications to add forthcoming events to a calendar. An [[Event]] that       is associated with a [[Schedule]] using this property should not have [[startDate]] or [[endDate]] properties. These are instead defined within the associated       [[Schedule]], this avoids any ambiguity for clients using the data. The property might have repeated values to specify different schedules, e.g. for different months       or seasons.			schema:Event	schema:Schedule
schema:numConstraints	schema:numConstraints	rdf:Property	numConstraints	Indicates the number of constraints property values defined for a particular [[ConstraintNode]] such as [[StatisticalVariable]]. This helps applications understand if they have access to a sufficiently complete description of a [[StatisticalVariable]] or other construct that is defined using properties on template-style nodes.			schema:ConstraintNode	schema:Integer
schema:mileageFromOdometer	schema:mileageFromOdometer	rdf:Property	mileageFromOdometer	The total distance travelled by the particular vehicle since its initial production, as read from its odometer.\n\nTypical unit code(s): KMT for kilometers, SMI for statute miles.			schema:Vehicle	schema:QuantitativeValue
schema:mainContentOfPage	schema:mainContentOfPage	rdf:Property	mainContentOfPage	Indicates if this web page element is the main subject of the page.			schema:WebPage	schema:WebPageElement
schema:numberedPosition	schema:numberedPosition	rdf:Property	numberedPosition	A number associated with a role in an organization, for example, the number on an athlete's jersey.			schema:OrganizationRole	schema:Number
schema:sportsActivityLocation	schema:sportsActivityLocation	rdf:Property	sportsActivityLocation	A sub property of location. The sports activity location where this action occurred.			schema:ExerciseAction	schema:SportsActivityLocation
schema:isRelatedTo	schema:isRelatedTo	rdf:Property	isRelatedTo	A pointer to another, somehow related product (or multiple products).			schema:Product,schema:Service	schema:Service,schema:Product
schema:subStageSuffix	schema:subStageSuffix	rdf:Property	subStageSuffix	The substage, e.g. 'a' for Stage IIIa.			schema:MedicalConditionStage	schema:Text
schema:partOfOrder	schema:partOfOrder	rdf:Property	partOfOrder	The overall order the items in this delivery were included in.			schema:ParcelDelivery	schema:Order
schema:numberOfEmployees	schema:numberOfEmployees	rdf:Property	numberOfEmployees	The number of employees in an organization, e.g. business.			schema:Organization,schema:BusinessAudience	schema:QuantitativeValue
schema:knowsAbout	schema:knowsAbout	rdf:Property	knowsAbout	Of a [[Person]], and less typically of an [[Organization]], to indicate a topic that is known about - suggesting possible expertise but not implying it. We do not distinguish skill levels here, or relate this to educational content, events, objectives or [[JobPosting]] descriptions.			schema:Organization,schema:Person	schema:Text,schema:Thing,schema:URL
schema:rsvpResponse	schema:rsvpResponse	rdf:Property	rsvpResponse	The response (yes, no, maybe) to the RSVP.			schema:RsvpAction	schema:RsvpResponseType
schema:pagination	schema:pagination	rdf:Property	pagination	Any description of pages that is not separated into pageStart and pageEnd; for example, "1-6, 9, 55" or "10-12, 46-49".			schema:Article,schema:PublicationVolume,schema:PublicationIssue,schema:Chapter	schema:Text
schema:depth	schema:depth	rdf:Property	depth	The depth of the item.			schema:OfferShippingDetails,schema:ShippingConditions,schema:VisualArtwork,schema:Product	schema:Distance,schema:QuantitativeValue
schema:performerIn	schema:performerIn	rdf:Property	performerIn	Event that this person is a performer or participant in.			schema:Person	schema:Event
schema:drainsTo	schema:drainsTo	rdf:Property	drainsTo	The vasculature that the vein drains into.			schema:Vein	schema:Vessel
schema:tocEntry	schema:tocEntry	rdf:Property	tocEntry	Indicates a [[HyperTocEntry]] in a [[HyperToc]].			schema:HyperToc	schema:HyperTocEntry
schema:diversityStaffingReport	schema:diversityStaffingReport	rdf:Property	diversityStaffingReport	For an [[Organization]] (often but not necessarily a [[NewsMediaOrganization]]), a report on staffing diversity issues. In a news context this might be for example ASNE or RTDNA (US) reports, or self-reported.			schema:NewsMediaOrganization,schema:Organization	schema:Article,schema:URL
schema:weightTotal	schema:weightTotal	rdf:Property	weightTotal	The permitted total weight of the loaded vehicle, including passengers and cargo and the weight of the empty vehicle.\n\nTypical unit code(s): KGM for kilogram, LBR for pound\n\n* Note 1: You can indicate additional information in the [[name]] of the [[QuantitativeValue]] node.\n* Note 2: You may also link to a [[QualitativeValue]] node that provides additional information using [[valueReference]].\n* Note 3: Note that you can use [[minValue]] and [[maxValue]] to indicate ranges.			schema:Vehicle	schema:QuantitativeValue
schema:ticketedSeat	schema:ticketedSeat	rdf:Property	ticketedSeat	The seat associated with the ticket.			schema:Ticket	schema:Seat
schema:evidenceOrigin	schema:evidenceOrigin	rdf:Property	evidenceOrigin	Source of the data used to formulate the guidance, e.g. RCT, consensus opinion, etc.			schema:MedicalGuideline	schema:Text
schema:distribution	schema:distribution	rdf:Property	distribution	A downloadable form of this dataset, at a specific location, in a specific format. This property can be repeated if different variations are available. There is no expectation that different downloadable distributions must contain exactly equivalent information (see also [DCAT](https://www.w3.org/TR/vocab-dcat-3/#Class:Distribution) on this point). Different distributions might include or exclude different subsets of the entire dataset, for example.			schema:Dataset	schema:DataDownload
schema:deliveryAddress	schema:deliveryAddress	rdf:Property	deliveryAddress	Destination address.			schema:ParcelDelivery	schema:PostalAddress
schema:shippingConditions	schema:shippingConditions	rdf:Property	shippingConditions	The conditions (constraints, price) applicable to the [[ShippingService]].			schema:ShippingService	schema:ShippingConditions
schema:dateline	schema:dateline	rdf:Property	dateline	A [dateline](https://en.wikipedia.org/wiki/Dateline) is a brief piece of text included in news articles that describes where and when the story was written or filed though the date is often omitted. Sometimes only a placename is provided.  Structured representations of dateline-related information can also be expressed more explicitly using [[locationCreated]] (which represents where a work was created, e.g. where a news report was written).  For location depicted or described in the content, use [[contentLocation]].  Dateline summaries are oriented more towards human readers than towards automated processing, and can vary substantially. Some examples: "BEIRUT, Lebanon, June 2.", "Paris, France", "December 19, 2017 11:43AM Reporting from Washington", "Beijing/Moscow", "QUEZON CITY, Philippines".       			schema:NewsArticle	schema:Text
schema:requiredMinAge	schema:requiredMinAge	rdf:Property	requiredMinAge	Audiences defined by a person's minimum age.			schema:PeopleAudience	schema:Integer
schema:produces	schema:produces	rdf:Property	produces	The tangible thing generated by the service, e.g. a passport, permit, etc.		schema:serviceOutput	schema:Service	schema:Thing
schema:videoQuality	schema:videoQuality	rdf:Property	videoQuality	The quality of the video.			schema:VideoObject	schema:Text
schema:gameAvailabilityType	schema:gameAvailabilityType	rdf:Property	gameAvailabilityType	Indicates the availability type of the game content associated with this action, such as whether it is a full version or a demo.			schema:PlayGameAction	schema:Text,schema:GameAvailabilityEnumeration
schema:departurePlatform	schema:departurePlatform	rdf:Property	departurePlatform	The platform from which the train departs.			schema:TrainTrip	schema:Text
schema:healthPlanCopay	schema:healthPlanCopay	rdf:Property	healthPlanCopay	The copay amount.			schema:HealthPlanCostSharingSpecification	schema:PriceSpecification
schema:game	schema:game	rdf:Property	game	Video game which is played on this server.			schema:GameServer	schema:VideoGame
schema:costCurrency	schema:costCurrency	rdf:Property	costCurrency	The currency (in 3-letter) of the drug cost. See: http://en.wikipedia.org/wiki/ISO_4217. 			schema:DrugCost	schema:Text
schema:browserRequirements	schema:browserRequirements	rdf:Property	browserRequirements	Specifies browser requirements in human-readable text. For example, 'requires HTML5 support'.			schema:WebApplication	schema:Text
schema:translationOfWork	schema:translationOfWork	rdf:Property	translationOfWork	The work that this work has been translated from. E.g. 物种起源 is a translationOf “On the Origin of Species”.			schema:CreativeWork	schema:CreativeWork
schema:location	schema:location	rdf:Property	location	The location of, for example, where an event is happening, where an organization is located, or where an action takes place.			schema:Event,schema:Organization,schema:Action,schema:InteractionCounter	schema:VirtualLocation,schema:PostalAddress,schema:Text,schema:Place
schema:hiringOrganization	schema:hiringOrganization	rdf:Property	hiringOrganization	Organization or Person offering the job position.			schema:JobPosting	schema:Person,schema:Organization
schema:workTranslation	schema:workTranslation	rdf:Property	workTranslation	A work that is a translation of the content of this work. E.g. 西遊記 has an English workTranslation “Journey to the West”, a German workTranslation “Monkeys Pilgerfahrt” and a Vietnamese  translation Tây du ký bình khảo.			schema:CreativeWork	schema:CreativeWork
schema:numberOfItems	schema:numberOfItems	rdf:Property	numberOfItems	The number of items in an ItemList. Note that some descriptions might not fully describe all items in a list (e.g., multi-page pagination); in such cases, the numberOfItems would be for the entire list.			schema:ItemList	schema:Integer
schema:negativeNotes	schema:negativeNotes	rdf:Property	negativeNotes	Provides negative considerations regarding something, most typically in pro/con lists for reviews (alongside [[positiveNotes]]). For symmetry   In the case of a [[Review]], the property describes the [[itemReviewed]] from the perspective of the review; in the case of a [[Product]], the product itself is being described. Since product descriptions  tend to emphasise positive claims, it may be relatively unusual to find [[negativeNotes]] used in this way. Nevertheless for the sake of symmetry, [[negativeNotes]] can be used on [[Product]].  The property values can be expressed either as unstructured text (repeated as necessary), or if ordered, as a list (in which case the most negative is at the beginning of the list).			schema:Product,schema:Review	schema:ListItem,schema:WebContent,schema:ItemList,schema:Text
schema:serverStatus	schema:serverStatus	rdf:Property	serverStatus	Status of a game server.			schema:GameServer	schema:GameServerStatus
schema:termsPerYear	schema:termsPerYear	rdf:Property	termsPerYear	The number of times terms of study are offered per year. Semesters and quarters are common units for term. For example, if the student can only take 2 semesters for the program in one year, then termsPerYear should be 2.			schema:EducationalOccupationalProgram	schema:Number
schema:procedureType	schema:procedureType	rdf:Property	procedureType	The type of procedure, for example Surgical, Noninvasive, or Percutaneous.			schema:MedicalProcedure	schema:MedicalProcedureType
schema:orderedItem	schema:orderedItem	rdf:Property	orderedItem	The item ordered.			schema:Order,schema:OrderItem	schema:OrderItem,schema:Service,schema:Product
schema:measurementMethod	schema:measurementMethod	rdf:Property	measurementMethod	A subproperty of [[measurementTechnique]] that can be used for specifying specific methods, in particular via [[MeasurementMethodEnum]].			schema:DataDownload,schema:StatisticalVariable,schema:Observation,schema:PropertyValue,schema:DataCatalog,schema:Dataset	schema:DefinedTerm,schema:Text,schema:MeasurementMethodEnum,schema:URL
schema:employmentUnit	schema:employmentUnit	rdf:Property	employmentUnit	Indicates the department, unit and/or facility where the employee reports and/or in which the job is to be performed.			schema:JobPosting	schema:Organization
schema:albumRelease	schema:albumRelease	rdf:Property	albumRelease	A release of this album.			schema:MusicAlbum	schema:MusicRelease
schema:mentions	schema:mentions	rdf:Property	mentions	Indicates that the CreativeWork contains a reference to, but is not necessarily about a concept.			schema:CreativeWork	schema:Thing
schema:hasRepresentation	schema:hasRepresentation	rdf:Property	hasRepresentation	A common representation such as a protein sequence or chemical structure for this entity. For images use schema.org/image.			schema:BioChemEntity	schema:PropertyValue,schema:URL,schema:Text
schema:blogPost	schema:blogPost	rdf:Property	blogPost	A posting that is part of this blog.			schema:Blog	schema:BlogPosting
schema:relatedDrug	schema:relatedDrug	rdf:Property	relatedDrug	Any other drug related to this one, for example commonly-prescribed alternatives.			schema:Drug	schema:Drug
schema:itemCondition	schema:itemCondition	rdf:Property	itemCondition	A predefined value from OfferItemCondition specifying the condition of the product or service, or the products or services included in the offer. Also used for product return policies to specify the condition of products accepted for returns.			schema:Offer,schema:Demand,schema:Product,schema:MerchantReturnPolicy	schema:OfferItemCondition
schema:numberOfForwardGears	schema:numberOfForwardGears	rdf:Property	numberOfForwardGears	The total number of forward gears available for the transmission system of the vehicle.\n\nTypical unit code(s): C62.			schema:Vehicle	schema:Number,schema:QuantitativeValue
schema:cvdNumC19HOPats	schema:cvdNumC19HOPats	rdf:Property	cvdNumC19HOPats	numc19hopats - HOSPITAL ONSET: Patients hospitalized in an NHSN inpatient care location with onset of suspected or confirmed COVID-19 14 or more days after hospitalization.			schema:CDCPMDRecord	schema:Number
schema:itemShipped	schema:itemShipped	rdf:Property	itemShipped	Item(s) being shipped.			schema:ParcelDelivery	schema:Product
schema:tocContinuation	schema:tocContinuation	rdf:Property	tocContinuation	A [[HyperTocEntry]] can have a [[tocContinuation]] indicated, which is another [[HyperTocEntry]] that would be the default next item to play or render.			schema:HyperTocEntry	schema:HyperTocEntry
schema:lesser	schema:lesser	rdf:Property	lesser	This ordering relation for qualitative values indicates that the subject is lesser than the object.			schema:QualitativeValue	schema:QualitativeValue
schema:jobImmediateStart	schema:jobImmediateStart	rdf:Property	jobImmediateStart	An indicator as to whether a position is available for an immediate start.			schema:JobPosting	schema:Boolean
schema:jobTitle	schema:jobTitle	rdf:Property	jobTitle	The job title of the person (for example, Financial Manager).			schema:Person	schema:DefinedTerm,schema:Text
schema:possibleComplication	schema:possibleComplication	rdf:Property	possibleComplication	A possible unexpected and unfavorable evolution of a medical condition. Complications may include worsening of the signs or symptoms of the disease, extension of the condition to other organ systems, etc.			schema:MedicalCondition	schema:Text
schema:educationalFramework	schema:educationalFramework	rdf:Property	educationalFramework	The framework to which the resource being described is aligned.			schema:AlignmentObject	schema:Text
schema:actionPlatform	schema:actionPlatform	rdf:Property	actionPlatform	The high level platform(s) where the Action can be performed for the given URL. To specify a specific application or operating system instance, use actionApplication.			schema:EntryPoint	schema:Text,schema:URL,schema:DigitalPlatformEnumeration
schema:alcoholWarning	schema:alcoholWarning	rdf:Property	alcoholWarning	Any precaution, guidance, contraindication, etc. related to consumption of alcohol while taking this drug.			schema:Drug	schema:Text
schema:sha256	schema:sha256	rdf:Property	sha256	The [SHA-2](https://en.wikipedia.org/wiki/SHA-2) SHA256 hash of the content of the item. For example, a zero-length input has value 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'.			schema:MediaObject	schema:Text
schema:requiredCollateral	schema:requiredCollateral	rdf:Property	requiredCollateral	Assets required to secure loan or credit repayments. It may take form of third party pledge, goods, financial instruments (cash, securities, etc.)			schema:LoanOrCredit	schema:Text,schema:Thing
schema:hasCourseInstance	schema:hasCourseInstance	rdf:Property	hasCourseInstance	An offering of the course at a specific time and place or through specific media or mode of study or to a specific section of students.			schema:Course	schema:CourseInstance
schema:sampleType	schema:sampleType	rdf:Property	sampleType	What type of code sample: full (compile ready) solution, code snippet, inline code, scripts, template.		schema:codeSampleType	schema:SoftwareSourceCode	schema:Text
schema:associatedArticle	schema:associatedArticle	rdf:Property	associatedArticle	A NewsArticle associated with the Media Object.			schema:MediaObject	schema:NewsArticle
schema:healthPlanDrugTier	schema:healthPlanDrugTier	rdf:Property	healthPlanDrugTier	The tier(s) of drugs offered by this formulary or insurance plan.			schema:HealthPlanFormulary,schema:HealthInsurancePlan	schema:Text
schema:publishedBy	schema:publishedBy	rdf:Property	publishedBy	An agent associated with the publication event.			schema:PublicationEvent	schema:Organization,schema:Person
schema:expectedArrivalFrom	schema:expectedArrivalFrom	rdf:Property	expectedArrivalFrom	The earliest date the package may arrive.			schema:ParcelDelivery	schema:DateTime,schema:Date
schema:interactionCount	schema:interactionCount	rdf:Property	interactionCount	This property is deprecated, alongside the UserInteraction types on which it depended.		schema:interactionStatistic		
schema:occupancy	schema:occupancy	rdf:Property	occupancy	The allowed total occupancy for the accommodation in persons (including infants etc). For individual accommodations, this is not necessarily the legal maximum but defines the permitted usage as per the contractual agreement (e.g. a double room used by a single person). Typical unit code(s): C62 for person.			schema:Apartment,schema:HotelRoom,schema:Suite,schema:Accommodation,schema:SingleFamilyResidence	schema:QuantitativeValue
schema:orderValue	schema:orderValue	rdf:Property	orderValue	Minimum and maximum order value for which these shipping conditions are valid.			schema:ShippingConditions	schema:MonetaryAmount
schema:experienceRequirements	schema:experienceRequirements	rdf:Property	experienceRequirements	Description of skills and experience needed for the position or Occupation.			schema:Occupation,schema:JobPosting	schema:OccupationalExperienceRequirements,schema:Text
schema:dateCreated	schema:dateCreated	rdf:Property	dateCreated	The date on which the CreativeWork was created or the item was added to a DataFeed.			schema:DataFeedItem,schema:CreativeWork	schema:Date,schema:DateTime
schema:playMode	schema:playMode	rdf:Property	playMode	Indicates whether this game is multi-player, co-op or single-player.  The game can be marked as multi-player, co-op and single-player at the same time.			schema:VideoGameSeries,schema:VideoGame	schema:GamePlayMode
schema:wordCount	schema:wordCount	rdf:Property	wordCount	The number of words in the text of the CreativeWork such as an Article, Book, etc.			schema:CreativeWork,schema:Article	schema:Integer
schema:observationPeriod	schema:observationPeriod	rdf:Property	observationPeriod	The length of time an Observation took place over. The format follows `P[0-9]*[Y|M|D|h|m|s]`. For example, P1Y is Period 1 Year, P3M is Period 3 Months, P3h is Period 3 hours.			schema:Observation	schema:Text
schema:arrivalBusStop	schema:arrivalBusStop	rdf:Property	arrivalBusStop	The stop or station from which the bus arrives.			schema:BusTrip	schema:BusStation,schema:BusStop
schema:postalCodePrefix	schema:postalCodePrefix	rdf:Property	postalCodePrefix	A defined range of postal codes indicated by a common textual prefix. Used for non-numeric systems such as UK.			schema:DefinedRegion	schema:Text
schema:contactPoint	schema:contactPoint	rdf:Property	contactPoint	A contact point for a person or organization.			schema:HealthInsurancePlan,schema:Organization,schema:Person	schema:ContactPoint
schema:speed	schema:speed	rdf:Property	speed	The speed range of the vehicle. If the vehicle is powered by an engine, the upper limit of the speed range (indicated by [[maxValue]]) should be the maximum speed achievable under regular conditions.\n\nTypical unit code(s): KMH for km/h, HM for mile per hour (0.447 04 m/s), KNT for knot\n\n*Note 1: Use [[minValue]] and [[maxValue]] to indicate the range. Typically, the minimal value is zero.\n* Note 2: There are many different ways of measuring the speed range. You can link to information about how the given value has been determined using the [[valueReference]] property.			schema:Vehicle	schema:QuantitativeValue
schema:authenticator	schema:authenticator	rdf:Property	authenticator	The Organization responsible for authenticating the user's subscription. For example, many media apps require a cable/satellite provider to authenticate your subscription before playing media.			schema:MediaSubscription	schema:Organization
schema:requiredMaxAge	schema:requiredMaxAge	rdf:Property	requiredMaxAge	Audiences defined by a person's maximum age.			schema:PeopleAudience	schema:Integer
schema:paymentMethodId	schema:paymentMethodId	rdf:Property	paymentMethodId	An identifier for the method of payment used (e.g. the last 4 digits of the credit card).			schema:Invoice,schema:Order	schema:Text
schema:programMembershipUsed	schema:programMembershipUsed	rdf:Property	programMembershipUsed	Any membership in a frequent flyer, hotel loyalty program, etc. being applied to the reservation.			schema:Reservation	schema:ProgramMembership
schema:discusses	schema:discusses	rdf:Property	discusses	Specifies the CreativeWork associated with the UserComment.			schema:UserComments	schema:CreativeWork
