id	name	description	level
AquaculturalAnimals	Farmworkers, Farm, Ranch, and Aquacultural Animals		Professional
Archeologists	Anthropologists and Archeologists		Professional
ArcheologyTeachersPostsecondary	Anthropology and Archeology Teachers, Postsecondary		Professional
ArchitectureTeachersPostsecondary	Architecture Teachers, Postsecondary		Professional
Archivists	Archivists		Professional
ArmoredAssaultVehicleCrewMembers	Armored Assault Vehicle Crew Members		Professional
ArmoredAssaultVehicleOfficers	Armored Assault Vehicle Officers		Professional
ArtDirectors	Art Directors		Director
ArtTherapists	Art Therapists		Professional
Assessors	Solar Sales Representatives and Assessors		Professional
AssessorsOfRealEstate	Appraisers and Assessors of Real Estate		Professional
Astronomers	Astronomers		Professional
Athletes	Agents and Business Managers of Artists, Performers, and Athletes		Manager
AthleticTrainers	Athletic Trainers		Professional
Audiologists	Audiologists		Professional
AuditingClerks	Bookkeeping, Accounting, and Auditing Clerks		Professional
Auditors	Accountants and Auditors		Professional
Authors	Writers and Authors		Professional
AutomotiveEngineeringTechnicians	Automotive Engineering Technicians		Professional
AutomotiveEngineers	Automotive Engineers		Professional
Aviation	Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation		Professional
AviationInspectors	Aviation Inspectors		Professional
AvionicsTechnicians	Avionics Technicians		Professional
Bailiffs	Bailiffs		Professional
Bakers	Bakers		Professional
Barbers	Barbers		Professional
Baristas	Baristas		Professional
BartenderHelpers	Dining Room and Cafeteria Attendants and Bartender Helpers		Professional
Bartenders	Bartenders		Professional
BehavioralDisorderCounselors	Substance Abuse and Behavioral Disorder Counselors		Professional
Bellhops	Baggage Porters and Bellhops		Professional
BenchCarpenters	Cabinetmakers and Bench Carpenters		Professional
BenefitsManagers	Compensation and Benefits Managers		Manager
BicycleRepairers	Bicycle Repairers		Professional
BiofuelsProcessingTechnicians	Biofuels Processing Technicians		Professional
BiofuelsProductionManagers	Biofuels Production Managers		Manager
BioinformaticsScientists	Bioinformatics Scientists		Professional
BioinformaticsTechnicians	Bioinformatics Technicians		Professional
BiologicalScienceTeachersPostsecondary	Biological Science Teachers, Postsecondary		Professional
BiologicalScientistsAllOther	Biological Scientists, All Other		Professional
BiologicalTechnicians	Biological Technicians		Professional
Biologists	Biologists		Professional
BiomassPlantTechnicians	Biomass Plant Technicians		Professional
BiomassPowerPlantManagers	Biomass Power Plant Managers		Manager
BiomedicalEngineers	Bioengineers and Biomedical Engineers		Professional
Biophysicists	Biochemists and Biophysicists		Professional
Biostatisticians	Biostatisticians		Professional
Blasters	Explosives Workers, Ordnance Handling Experts, and Blasters		Professional
BlockchainEngineers	Blockchain Engineers		Professional
Blockmasons	Brickmasons and Blockmasons		Professional
Boilermakers	Boilermakers		Professional
BoilerOperators	Stationary Engineers and Boiler Operators		Professional
BoothCashiers	Gambling Change Persons and Booth Cashiers		Professional
BorderProtectionOfficers	Customs and Border Protection Officers		Professional
Brazers	Welders, Cutters, Solderers, and Brazers		Professional
Brickmasons	Refractory Materials Repairers, Except Brickmasons		Professional
BroadcastTechnicians	Broadcast Technicians		Professional
BrokerageClerks	Brokerage Clerks		Professional
BudgetAnalysts	Budget Analysts		Professional
BuildingCleaningWorkersAllOther	Building Cleaning Workers, All Other		Professional
BuildingInspectors	Construction and Building Inspectors		Professional
BusDriversSchool	Bus Drivers, School		Professional
BusinessContinuityPlanners	Business Continuity Planners		Professional
BusinessIntelligenceAnalysts	Business Intelligence Analysts		Professional
BusinessOperationsSpecialistsAllOther	Business Operations Specialists, All Other		Professional
BusinessProperty	Appraisers of Personal and Business Property		Professional
BusinessTeachersPostsecondary	Business Teachers, Postsecondary		Professional
Cafeteria	Cooks, Institution and Cafeteria		Professional
Cardiologists	Cardiologists		Professional
CareerTechnicalEducation	Middle School Teachers, Except Special and Career/Technical Education		Professional
CareerTechnicalEducationTeachersMiddleSchool	Career/Technical Education Teachers, Middle School		Professional
CareerTechnicalEducationTeachersPostsecondary	Career/Technical Education Teachers, Postsecondary		Professional
CareerTechnicalEducationTeachersSecondarySchool	Career/Technical Education Teachers, Secondary School		Professional
Carpenters	Carpenters		Professional
CarpetInstallers	Carpet Installers		Professional
CarversManufacturing	Stone Cutters and Carvers, Manufacturing		Professional
Cashiers	Cashiers		Professional
CastersMetal	Pourers and Casters, Metal		Professional
CeilingTileInstallers	Drywall and Ceiling Tile Installers		Professional
CellularBiologists	Molecular and Cellular Biologists		Professional
Changers	Tire Repairers and Changers		Professional
Chauffeurs	Shuttle Drivers and Chauffeurs		Professional
ChemicalEngineers	Chemical Engineers		Professional
ChemicalTechnicians	Chemical Technicians		Professional
ChemistryTeachersPostsecondary	Chemistry Teachers, Postsecondary		Professional
Chemists	Chemists		Professional
ChiefExecutives	Chief Executives		Executive
ChiefSustainabilityOfficers	Chief Sustainability Officers		Executive
ChildcareWorkers	Childcare Workers		Professional
Chiropractors	Chiropractors		Professional
Choreographers	Choreographers		Professional
CivilDrafters	Architectural and Civil Drafters		Professional
CivilEngineers	Civil Engineers		Professional
Clergy	Clergy		Professional
Clerks	Credit Authorizers, Checkers, and Clerks		Professional
ClimateChangePolicyAnalysts	Climate Change Policy Analysts		Professional
ClinicalDataManagers	Clinical Data Managers		Manager
ClinicalLaboratoryTechnicians	Medical and Clinical Laboratory Technicians		Professional
ClinicalLaboratoryTechnologists	Medical and Clinical Laboratory Technologists		Professional
ClinicalNeuropsychologists	Clinical Neuropsychologists		Professional
ClinicalNurseSpecialists	Clinical Nurse Specialists		Professional
ClinicalResearchCoordinators	Clinical Research Coordinators		Professional
ClockRepairers	Watch and Clock Repairers		Professional
CoffeeShop	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop		Professional
CommercialDivers	Commercial Divers		Professional
CommercialPilots	Commercial Pilots		Professional
CommunicationEquipmentWorkersAllOther	Media and Communication Equipment Workers, All Other		Professional
CommunicationsEquipmentOperatorsAllOther	Communications Equipment Operators, All Other		Professional
CommunicationsTeachersPostsecondary	Communications Teachers, Postsecondary		Professional
CommunicationWorkersAllOther	Media and Communication Workers, All Other		Professional
CommunityAssociationManagers	Property, Real Estate, and Community Association Managers		Manager
CommunityHealthWorkers	Community Health Workers		Professional
CommunityServiceManagers	Social and Community Service Managers		Manager
ComplianceManagers	Compliance Managers		Manager
ComplianceOfficers	Compliance Officers		Professional
Composers	Music Directors and Composers		Director
Computer	Electronics Engineers, Except Computer		Professional
ComputerHardwareEngineers	Computer Hardware Engineers		Professional
ComputerNetworkArchitects	Computer Network Architects		Professional
ComputerNetworkSupportSpecialists	Computer Network Support Specialists		Professional
ComputerNumericallyControlledToolOperators	Computer Numerically Controlled Tool Operators		Professional
ComputerNumericallyControlledToolProgrammers	Computer Numerically Controlled Tool Programmers		Professional
ComputerOccupationsAllOther	Computer Occupations, All Other		Professional
ComputerProgrammers	Computer Programmers		Professional
ComputerScienceTeachersPostsecondary	Computer Science Teachers, Postsecondary		Professional
ComputerSystemsAdministrators	Network and Computer Systems Administrators		Professional
ComputerSystemsAnalysts	Computer Systems Analysts		Professional
ComputerSystemsEngineersArchitects	Computer Systems Engineers/Architects		Professional
ComputerUserSupportSpecialists	Computer User Support Specialists		Professional
Concierges	Concierges		Professional
Conciliators	Arbitrators, Mediators, and Conciliators		Professional
ConcreteFinishers	Cement Masons and Concrete Finishers		Professional
ConservationScienceTeachersPostsecondary	Forestry and Conservation Science Teachers, Postsecondary		Professional
ConservationScientists	Conservation Scientists		Professional
ConservationTechnicians	Forest and Conservation Technicians		Professional
ConservationWorkers	Forest and Conservation Workers		Professional
Conservators	Museum Technicians and Conservators		Professional
ConstructionLaborers	Construction Laborers		Professional
ConstructionManagers	Construction Managers		Manager
ConsumerSciencesTeachersPostsecondary	Family and Consumer Sciences Teachers, Postsecondary		Professional
ContinuousMiningMachineOperators	Continuous Mining Machine Operators		Professional
ControlCenterOfficers	Command and Control Center Officers		Professional
ControlCenterSpecialists	Command and Control Center Specialists		Professional
Controllers	Treasurers and Controllers		Professional
CooksAllOther	Cooks, All Other		Professional
CooksFastFood	Cooks, Fast Food		Professional
CooksPrivateHousehold	Cooks, Private Household		Professional
CooksRestaurant	Cooks, Restaurant		Professional
CooksShortOrder	Cooks, Short Order		Professional
CopyMarkers	Proofreaders and Copy Markers		Professional
Coremakers	Foundry Mold and Coremakers		Professional
Coroners	Coroners		Professional
CorrectionalTreatmentSpecialists	Probation Officers and Correctional Treatment Specialists		Professional
CorrespondenceClerks	Correspondence Clerks		Professional
Cosmetologists	Hairdressers, Hairstylists, and Cosmetologists		Professional
CostEstimators	Cost Estimators		Professional
CostumeAttendants	Costume Attendants		Professional
CounselingPsychologists	Clinical and Counseling Psychologists		Professional
CounselorsAllOther	Counselors, All Other		Professional
CounterWorkers	Fast Food and Counter Workers		Professional
CraftArtists	Craft Artists		Professional
CreativeWriters	Poets, Lyricists and Creative Writers		Professional
CreditAnalysts	Credit Analysts		Professional
CreditCounselors	Credit Counselors		Professional
CrematoryOperators	Crematory Operators		Professional
CrewMembersAllOther	Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other		Professional
CriminalInvestigators	Detectives and Criminal Investigators		Professional
CriticalCareNurses	Critical Care Nurses		Professional
CulturalStudiesTeachersPostsecondary	Area, Ethnic, and Cultural Studies Teachers, Postsecondary		Professional
Curators	Curators		Professional
CustomerServiceRepresentatives	Customer Service Representatives		Professional
CustomsBrokers	Customs Brokers		Professional
CustomSewers	Tailors, Dressmakers, and Custom Sewers		Professional
CytogeneticTechnologists	Cytogenetic Technologists		Professional
Cytotechnologists	Cytotechnologists		Professional
Dancers	Dancers		Professional
DatabaseAdministrators	Database Administrators		Professional
DatabaseArchitects	Database Architects		Professional
DataEntryKeyers	Data Entry Keyers		Professional
DataScientists	Data Scientists		Professional
DataWarehousingSpecialists	Data Warehousing Specialists		Professional
Daycare	Education and Childcare Administrators, Preschool and Daycare		Professional
DecoratingWorkers	Painting, Coating, and Decorating Workers		Professional
DentalAssistants	Dental Assistants		Professional
DentalHygienists	Dental Hygienists		Professional
DentalLaboratoryTechnicians	Dental Laboratory Technicians		Professional
DentistsAllOtherSpecialists	Dentists, All Other Specialists		Professional
DentistsGeneral	Dentists, General		Professional
Dermatologists	Dermatologists		Professional
DesignersAllOther	Designers, All Other		Professional
DesktopPublishers	Desktop Publishers		Professional
Detectives	First-Line Supervisors of Police and Detectives		Manager
DevelopmentManagers	Training and Development Managers		Manager
DevelopmentSpecialists	Training and Development Specialists		Professional
DiagnosticMedicalSonographers	Diagnostic Medical Sonographers		Professional
DiamondWorkers	Gem and Diamond Workers		Professional
DieMakers	Tool and Die Makers		Professional
DieselEngineSpecialists	Bus and Truck Mechanics and Diesel Engine Specialists		Professional
DieteticTechnicians	Dietetic Technicians		Professional
DigitalForensicsAnalysts	Digital Forensics Analysts		Professional
DigitalInterfaceDesigners	Web and Digital Interface Designers		Professional
Directors	Producers and Directors		Director
Dishwashers	Dishwashers		Professional
Dispatchers	Power Distributors and Dispatchers		Professional
DistributionManagers	Transportation, Storage, and Distribution Managers		Manager
DocumentManagementSpecialists	Document Management Specialists		Professional
DraftersAllOther	Drafters, All Other		Professional
DraglineOperatorsSurfaceMining	Excavating and Loading Machine and Dragline Operators, Surface Mining		Professional
DredgeOperators	Dredge Operators		Professional
DressingRoomAttendants	Locker Room, Coatroom, and Dressing Room Attendants		Professional
DriverSalesWorkers	Driver/Sales Workers		Professional
DryCleaningWorkers	Laundry and Dry-Cleaning Workers		Professional
EconomicsTeachersPostsecondary	Economics Teachers, Postsecondary		Professional
Economists	Economists		Professional
Editors	Editors		Professional
Education	Directors, Religious Activities and Education		Director
EducationAdministratorsAllOther	Education Administrators, All Other		Professional
EducationAdministratorsKindergartenThroughSecondary	Education Administrators, Kindergarten through Secondary		Professional
EducationAdministratorsPostsecondary	Education Administrators, Postsecondary		Professional
EducationTeachersPostsecondary	Education Teachers, Postsecondary		Professional
ElectricalEngineers	Electrical Engineers		Professional
ElectricalRepairers	Electrical and Electronics Repairers, Commercial and Industrial Equipment		Professional
Electricians	Electricians		Professional
ElectromechanicalEquipmentAssemblers	Electromechanical Equipment Assemblers		Professional
ElectronicEquipmentAssemblers	Electrical and Electronic Equipment Assemblers		Professional
ElectronicsDrafters	Electrical and Electronics Drafters		Professional
EligibilityInterviewersGovernmentPrograms	Eligibility Interviewers, Government Programs		Professional
Embalmers	Embalmers		Professional
EmergencyManagementDirectors	Emergency Management Directors		Director
EmergencyMedicalTechnicians	Emergency Medical Technicians		Professional
EmergencyMedicinePhysicians	Emergency Medicine Physicians		Professional
EndoscopyTechnicians	Endoscopy Technicians		Professional
EnergyAuditors	Energy Auditors		Professional
EngineeringManagers	Architectural and Engineering Managers		Manager
EngineeringTeachersPostsecondary	Engineering Teachers, Postsecondary		Professional
EngineersAllOther	Engineers, All Other		Professional
Engines	Mobile Heavy Equipment Mechanics, Except Engines		Professional
Engravers	Etchers and Engravers		Professional
EnvironmentalComplianceInspectors	Environmental Compliance Inspectors		Professional
EnvironmentalEconomists	Environmental Economists		Professional
EnvironmentalEngineers	Environmental Engineers		Professional
EnvironmentalRestorationPlanners	Environmental Restoration Planners		Professional
EnvironmentalScienceTeachersPostsecondary	Environmental Science Teachers, Postsecondary		Professional
EnvironmentalScientists	Environmental Scientists and Specialists, Including Health		Professional
Epidemiologists	Epidemiologists		Professional
Equipment	Cleaners of Vehicles and Equipment		Professional
EquipmentRepairersAllOther	Precision Instrument and Equipment Repairers, All Other		Professional
Ergonomists	Human Factors Engineers and Ergonomists		Professional
Escorts	Tour Guides and Escorts		Professional
ESLInstructors	Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors		Professional
EventPlanners	Meeting, Convention, and Event Planners		Professional
Executive	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive		Executive
ExecutiveAdministrativeAssistants	Executive Secretaries and Executive Administrative Assistants		Executive
ExercisePhysiologists	Exercise Physiologists		Professional
ExhibitDesigners	Set and Exhibit Designers		Professional
ExpeditingClerks	Production, Planning, and Expediting Clerks		Professional
ExtractionWorkers	First-Line Supervisors of Construction Trades and Extraction Workers		Manager
ExtractionWorkersAllOther	Extraction Workers, All Other		Professional
ExtrudingMachineOperators	Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers		Professional
Fabricators	Fiberglass Laminators and Fabricators		Professional
FabricatorsAllOther	Assemblers and Fabricators, All Other		Professional
FacilitiesManagers	Facilities Managers		Manager
Fallers	Fallers		Professional
FamilyMedicinePhysicians	Family Medicine Physicians		Professional
FamilyTherapists	Marriage and Family Therapists		Professional
FarmLaborContractors	Farm Labor Contractors		Professional
FarmProducts	Wholesale and Retail Buyers, Except Farm Products		Professional
FashionDesigners	Fashion Designers		Professional
FenceErectors	Fence Erectors		Professional
FileClerks	File Clerks		Professional
Film	Camera Operators, Television, Video, and Film		Professional
FinancialClerksAllOther	Financial Clerks, All Other		Professional
FinancialExaminers	Financial Examiners		Professional
FinancialManagers	Financial Managers		Manager
FinancialQuantitativeAnalysts	Financial Quantitative Analysts		Professional
FinancialRiskSpecialists	Financial Risk Specialists		Professional
FinancialServicesSalesAgents	Securities, Commodities, and Financial Services Sales Agents		Professional
FinancialSpecialistsAllOther	Financial Specialists, All Other		Professional
Finishers	Floor Sanders and Finishers		Professional
FinishingWorkers	Print Binding and Finishing Workers		Professional
FireAlarmSystemsInstallers	Security and Fire Alarm Systems Installers		Professional
Firefighters	Firefighters		Professional
FirstLineSupervisorsOfAirCrewMembers	First-Line Supervisors of Air Crew Members		Manager
FirstLineSupervisorsOfAllOtherTacticalOperationsSpecialists	First-Line Supervisors of All Other Tactical Operations Specialists		Manager
FirstLineSupervisorsOfCorrectionalOfficers	First-Line Supervisors of Correctional Officers		Manager
FirstLineSupervisorsOfGamblingServicesWorkers	First-Line Supervisors of Gambling Services Workers		Manager
FirstLineSupervisorsOfNonRetailSalesWorkers	First-Line Supervisors of Non-Retail Sales Workers		Manager
FirstLineSupervisorsOfPassengerAttendants	First-Line Supervisors of Passenger Attendants		Manager
FirstLineSupervisorsOfPersonalServiceWorkers	First-Line Supervisors of Personal Service Workers		Manager
FirstLineSupervisorsOfProtectiveServiceWorkersAllOther	First-Line Supervisors of Protective Service Workers, All Other		Manager
FirstLineSupervisorsOfRetailSalesWorkers	First-Line Supervisors of Retail Sales Workers		Manager
FirstLineSupervisorsOfSecurityWorkers	First-Line Supervisors of Security Workers		Manager
FirstLineSupervisorsOfTransportationWorkersAllOther	First-Line Supervisors of Transportation Workers, All Other		Manager
FirstLineSupervisorsOfWeaponsSpecialistsCrewMembers	First-Line Supervisors of Weapons Specialists/Crew Members		Manager
FitnessStudiesTeachersPostsecondary	Recreation and Fitness Studies Teachers, Postsecondary		Professional
Fitters	Structural Metal Fabricators and Fitters		Professional
Flaggers	Crossing Guards and Flaggers		Professional
FlightAttendants	Flight Attendants		Professional
FlightEngineers	Airline Pilots, Copilots, and Flight Engineers		Professional
FloralDesigners	Floral Designers		Professional
FoodBatchmakers	Food Batchmakers		Professional
FoodPreparationWorkers	Food Preparation Workers		Professional
FoodProcessingWorkersAllOther	Food Processing Workers, All Other		Professional
FoodScienceTechnicians	Food Science Technicians		Professional
FoodServersNonrestaurant	Food Servers, Nonrestaurant		Professional
FoodServiceManagers	Food Service Managers		Manager
ForeignLanguageTeachers	Foreign Language and Literature Teachers, Postsecondary		Professional
ForensicScienceTechnicians	Forensic Science Technicians		Professional
Foresters	Foresters		Professional
ForestryWorkers	First-Line Supervisors of Farming, Fishing, and Forestry Workers		Manager
FreightAgents	Cargo and Freight Agents		Professional
FreightForwarders	Freight Forwarders		Professional
FuelCellEngineers	Fuel Cell Engineers		Professional
Fundraisers	Fundraisers		Professional
FundraisingManagers	Fundraising Managers		Manager
FuneralArrangers	Morticians, Undertakers, and Funeral Arrangers		Professional
FuneralAttendants	Funeral Attendants		Professional
FuneralHomeManagers	Funeral Home Managers		Manager
FurnishingsWorkersAllOther	Textile, Apparel, and Furnishings Workers, All Other		Professional
FurnitureFinishers	Furniture Finishers		Professional
Gambling	Entertainment and Recreation Managers, Except Gambling		Manager
GamblingCageWorkers	Gambling Cage Workers		Professional
GamblingDealers	Gambling Dealers		Professional
GamblingInvestigators	Gambling Surveillance Officers and Gambling Investigators		Professional
GamblingManagers	Gambling Managers		Manager
GamblingServices	First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services		Manager
GamblingServiceWorkersAllOther	Gambling Service Workers, All Other		Professional
GameWardens	Fish and Game Wardens		Professional
Gas	Derrick Operators, Oil and Gas		Professional
GasPlantOperators	Gas Plant Operators		Professional
GasPumpingStationOperators	Gas Compressor and Gas Pumping Station Operators		Professional
Gaugers	Petroleum Pump System Operators, Refinery Operators, and Gaugers		Professional
GeneralInternalMedicinePhysicians	General Internal Medicine Physicians		Entry
GeneticCounselors	Genetic Counselors		Professional
Geneticists	Geneticists		Professional
GeodeticSurveyors	Geodetic Surveyors		Professional
Geographers	Geoscientists, Except Hydrologists and Geographers		Professional
GeographyTeachersPostsecondary	Geography Teachers, Postsecondary		Professional
GeothermalProductionManagers	Geothermal Production Managers		Manager
GeothermalTechnicians	Geothermal Technicians		Professional
Glaziers	Glaziers		Professional
GraphicDesigners	Graphic Designers		Professional
Greenhouse	Farmworkers and Laborers, Crop, Nursery, and Greenhouse		Professional
GroundskeepingWorkers	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers		Manager
GroundsMaintenanceWorkersAllOther	Grounds Maintenance Workers, All Other		Professional
GroupFitnessInstructors	Exercise Trainers and Group Fitness Instructors		Professional
Gynecologists	Obstetricians and Gynecologists		Professional
HardTiles	Floor Layers, Except Carpet, Wood, and Hard Tiles		Professional
HazardousMaterialsRemovalWorkers	Hazardous Materials Removal Workers		Professional
HeadCooks	Chefs and Head Cooks		Professional
Health	Environmental Science and Protection Technicians, Including Health		Professional
HealthcareSocialWorkers	Healthcare Social Workers		Professional
HealthcareSupportWorkersAllOther	Healthcare Support Workers, All Other		Professional
HealthEducationSpecialists	Health Education Specialists		Professional
HealthInformaticsSpecialists	Health Informatics Specialists		Professional
HealthServicesManagers	Medical and Health Services Managers		Manager
HealthSpecialtiesTeachersPostsecondary	Health Specialties Teachers, Postsecondary		Professional
HearingAidSpecialists	Hearing Aid Specialists		Professional
HearingOfficers	Administrative Law Judges, Adjudicators, and Hearing Officers		Professional
HelpersCarpenters	Helpers--Carpenters		Professional
HelpersConstructionTradesAllOther	Helpers, Construction Trades, All Other		Professional
HelpersElectricians	Helpers--Electricians		Professional
HelpersExtractionWorkers	Helpers--Extraction Workers		Professional
HelpersProductionWorkers	Helpers--Production Workers		Professional
HelpersRoofers	Helpers--Roofers		Professional
HighwayMaintenanceWorkers	Highway Maintenance Workers		Professional
HistologyTechnicians	Histology Technicians		Professional
Historians	Historians		Professional
HistoryTeachersPostsecondary	History Teachers, Postsecondary		Professional
Histotechnologists	Histotechnologists		Professional
HomeApplianceRepairers	Home Appliance Repairers		Professional
HomeHealthAides	Home Health Aides		Professional
HomeManagementEducators	Farm and Home Management Educators		Professional
Hospitalists	Hospitalists		Professional
Hostlers	Rail Yard Engineers, Dinkey Operators, and Hostlers		Professional
HousekeepingCleaners	Maids and Housekeeping Cleaners		Professional
HumanResourcesManagers	Human Resources Managers		Manager
HumanResourcesSpecialists	Human Resources Specialists		Professional
HumanServiceAssistants	Social and Human Service Assistants		Professional
HuntingWorkers	Fishing and Hunting Workers		Professional
HydroelectricPlantTechnicians	Hydroelectric Plant Technicians		Professional
HydroelectricProductionManagers	Hydroelectric Production Managers		Manager
HydrologicTechnicians	Geological Technicians, Except Hydrologic Technicians		Professional
Hydrologists	Hydrologists		Professional
Illustrators	Fine Artists, Including Painters, Sculptors, and Illustrators		Professional
Immunologists	Allergists and Immunologists		Professional
IndustrialDesigners	Commercial and Industrial Designers		Professional
IndustrialEcologists	Industrial Ecologists		Professional
IndustrialEngineers	Industrial Engineers		Professional
IndustrialMachineryMechanics	Industrial Machinery Mechanics		Professional
IndustrialOrganizationalPsychologists	Industrial-Organizational Psychologists		Professional
IndustrialProductionManagers	Industrial Production Managers		Manager
Infantry	Infantry		Professional
InfantryOfficers	Infantry Officers		Professional
InformationClerks	Receptionists and Information Clerks		Professional
InformationResearchScientists	Computer and Information Research Scientists		Professional
InformationSecurityAnalysts	Information Security Analysts		Professional
InformationSecurityEngineers	Information Security Engineers		Professional
InformationSystemsManagers	Computer and Information Systems Managers		Manager
InformationTechnologyProjectManagers	Information Technology Project Managers		Manager
Inspectors	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors		Professional
Installers	Heating, Air Conditioning, and Refrigeration Mechanics and Installers		Professional
InstructionalCoordinators	Instructional Coordinators		Professional
InstructorsAllOther	Teachers and Instructors, All Other		Professional
InsulationWorkersMechanical	Insulation Workers, Mechanical		Professional
InsuranceAppraisersAutoDamage	Insurance Appraisers, Auto Damage		Professional
InsuranceSalesAgents	Insurance Sales Agents		Professional
InsuranceUnderwriters	Insurance Underwriters		Professional
IntelligenceAnalysts	Intelligence Analysts		Professional
Intercity	Bus Drivers, Transit and Intercity		Professional
InteriorDesigners	Interior Designers		Professional
InventoryClerks	Shipping, Receiving, and Inventory Clerks		Professional
Investigators	Claims Adjusters, Examiners, and Investigators		Professional
InvestmentAnalysts	Financial and Investment Analysts		Professional
InvestmentFundManagers	Investment Fund Managers		Manager
Jailers	Correctional Officers and Jailers		Professional
JanitorialWorkers	First-Line Supervisors of Housekeeping and Janitorial Workers		Manager
Janitors	Janitors and Cleaners, Except Maids and Housekeeping Cleaners		Professional
JobAnalysisSpecialists	Compensation, Benefits, and Job Analysis Specialists		Professional
Journalists	News Analysts, Reporters, and Journalists		Professional
JudicialLawClerks	Judicial Law Clerks		Professional
LaboratoryAnimalCaretakers	Veterinary Assistants and Laboratory Animal Caretakers		Professional
LaborRelationsSpecialists	Labor Relations Specialists		Professional
LandscapeArchitects	Landscape Architects		Professional
LawEnforcementTeachersPostsecondary	Criminal Justice and Law Enforcement Teachers, Postsecondary		Professional
LawTeachersPostsecondary	Law Teachers, Postsecondary		Professional
Lawyers	Lawyers		Professional
LegalAssistants	Paralegals and Legal Assistants		Professional
LegalSupportWorkersAllOther	Legal Support Workers, All Other		Professional
Legislators	Legislators		Professional
LibraryAssistantsClerical	Library Assistants, Clerical		Professional
LibraryScienceTeachersPostsecondary	Library Science Teachers, Postsecondary		Professional
LibraryTechnicians	Library Technicians		Professional
LibraryWorkersAllOther	Educational Instruction and Library Workers, All Other		Professional
LicenseClerks	Court, Municipal, and License Clerks		Professional
LicensedVocationalNurses	Licensed Practical and Licensed Vocational Nurses		Professional
LifeScientistsAllOther	Life Scientists, All Other		Professional
LightingTechnicians	Lighting Technicians		Professional
LightTruckDrivers	Light Truck Drivers		Professional
LineInstallers	Telecommunications Equipment Installers and Repairers, Except Line Installers		Professional
LiteratureTeachersPostsecondary	English Language and Literature Teachers, Postsecondary		Professional
Loan	Interviewers, Except Eligibility and Loan		Professional
LoanOfficers	Loan Officers		Professional
LockTenders	Bridge and Lock Tenders		Professional
LocomotiveEngineers	Locomotive Engineers		Professional
LocomotiveFirers	Railroad Brake, Signal, and Switch Operators and Locomotive Firers		Professional
LodgingManagers	Lodging Managers		Manager
LoggingEquipmentOperators	Logging Equipment Operators		Professional
LoggingWorkersAllOther	Logging Workers, All Other		Professional
Logisticians	Logisticians		Professional
LogisticsAnalysts	Logistics Analysts		Professional
LogisticsEngineers	Logistics Engineers		Professional
LossPreventionManagers	Loss Prevention Managers		Manager
