url	ns	type	id	code	name	description	category	usage	digital
https://language.org.ai/Adverb/Internally	language.org.ai	Adverb	Internally	internally	Internally	on the inside; within	Location	internally developed	
https://language.org.ai/Adverb/Largely	language.org.ai	Adverb	Largely	largely	Largely	to a great extent	Degree	largely successful	
https://language.org.ai/Adverb/Likely	language.org.ai	Adverb	Likely	likely	Likely	probably	Certainty	likely to succeed	
https://language.org.ai/Adverb/Mainly	language.org.ai	Adverb	Mainly	mainly	Mainly	for the most part; chiefly	Degree	mainly focused	
https://language.org.ai/Adverb/Manually	language.org.ai	Adverb	Manually	manually	Manually	by hand; not automatically	Manner	manually entered	
https://language.org.ai/Adverb/Monthly	language.org.ai	Adverb	Monthly	monthly	Monthly	once a month	Frequency	reviewed monthly	
https://language.org.ai/Adverb/Necessarily	language.org.ai	Adverb	Necessarily	necessarily	Necessarily	as a necessary result	Certainty	not necessarily true	
https://language.org.ai/Adverb/Never	language.org.ai	Adverb	Never	never	Never	at no time	Frequency	never occurred	
https://language.org.ai/Adverb/Normally	language.org.ai	Adverb	Normally	normally	Normally	usually; ordinarily	Frequency	normally processed	
https://language.org.ai/Adverb/Now	language.org.ai	Adverb	Now	now	Now	at the present time	Time	available now	
https://language.org.ai/Adverb/Obviously	language.org.ai	Adverb	Obviously	obviously	Obviously	in an obvious manner	Certainty	obviously important	
https://language.org.ai/Adverb/Occasionally	language.org.ai	Adverb	Occasionally	occasionally	Occasionally	sometimes; now and then	Frequency	occasionally needed	
https://language.org.ai/Adverb/Often	language.org.ai	Adverb	Often	often	Often	frequently	Frequency	often used	
https://language.org.ai/Adverb/Only	language.org.ai	Adverb	Only	only	Only	exclusively; solely	Degree	only option	
https://language.org.ai/Adverb/Originally	language.org.ai	Adverb	Originally	originally	Originally	at first; initially	Time	originally planned	
https://language.org.ai/Adverb/Overall	language.org.ai	Adverb	Overall	overall	Overall	taking everything into account	Degree	overall successful	
https://language.org.ai/Adverb/Particularly	language.org.ai	Adverb	Particularly	particularly	Particularly	especially; to a great extent	Degree	particularly useful	
https://language.org.ai/Adverb/Partially	language.org.ai	Adverb	Partially	partially	Partially	to some extent; not completely	Degree	partially completed	
https://language.org.ai/Adverb/Permanently	language.org.ai	Adverb	Permanently	permanently	Permanently	in a permanent manner	Time	permanently deleted	
https://language.org.ai/Adverb/Personally	language.org.ai	Adverb	Personally	personally	Personally	in a personal manner	Manner	personally responsible	
https://language.org.ai/Adverb/Potentially	language.org.ai	Adverb	Potentially	potentially	Potentially	possibly; with potential	Certainty	potentially useful	
https://language.org.ai/Adverb/Precisely	language.org.ai	Adverb	Precisely	precisely	Precisely	exactly; accurately	Manner	precisely measured	
https://language.org.ai/Adverb/Predominantly	language.org.ai	Adverb	Predominantly	predominantly	Predominantly	mainly; for the most part	Degree	predominantly digital	
https://language.org.ai/Adverb/Previously	language.org.ai	Adverb	Previously	previously	Previously	before; earlier	Time	previously discussed	
https://language.org.ai/Adverb/Primarily	language.org.ai	Adverb	Primarily	primarily	Primarily	mainly; chiefly	Degree	primarily focused	
https://language.org.ai/Adverb/Probably	language.org.ai	Adverb	Probably	probably	Probably	most likely	Certainty	probably successful	
https://language.org.ai/Adverb/Properly	language.org.ai	Adverb	Properly	properly	Properly	in a proper manner	Manner	properly configured	
https://language.org.ai/Adverb/Quickly	language.org.ai	Adverb	Quickly	quickly	Quickly	at a fast speed	Manner	quickly resolved	
https://language.org.ai/Adverb/Quite	language.org.ai	Adverb	Quite	quite	Quite	to a certain extent	Degree	quite important	
https://language.org.ai/Adverb/Rarely	language.org.ai	Adverb	Rarely	rarely	Rarely	not often	Frequency	rarely needed	
https://language.org.ai/Adverb/Rather	language.org.ai	Adverb	Rather	rather	Rather	to some extent; quite	Degree	rather difficult	
https://language.org.ai/Adverb/Readily	language.org.ai	Adverb	Readily	readily	Readily	easily; without difficulty	Manner	readily available	
https://language.org.ai/Adverb/Really	language.org.ai	Adverb	Really	really	Really	in fact; actually	Certainty	really important	
https://language.org.ai/Adverb/Recently	language.org.ai	Adverb	Recently	recently	Recently	not long ago	Time	recently updated	
https://language.org.ai/Adverb/Regularly	language.org.ai	Adverb	Regularly	regularly	Regularly	at regular intervals	Frequency	regularly reviewed	
https://language.org.ai/Adverb/Relatively	language.org.ai	Adverb	Relatively	relatively	Relatively	in relation to something else	Degree	relatively simple	
https://language.org.ai/Adverb/Repeatedly	language.org.ai	Adverb	Repeatedly	repeatedly	Repeatedly	again and again	Frequency	repeatedly verified	
https://language.org.ai/Adverb/Routinely	language.org.ai	Adverb	Routinely	routinely	Routinely	as part of a routine	Frequency	routinely checked	
https://language.org.ai/Adverb/Safely	language.org.ai	Adverb	Safely	safely	Safely	in a safe manner	Manner	safely stored	
https://language.org.ai/Adverb/Seldom	language.org.ai	Adverb	Seldom	seldom	Seldom	rarely; not often	Frequency	seldom used	
https://language.org.ai/Adverb/Separately	language.org.ai	Adverb	Separately	separately	Separately	individually; apart	Manner	processed separately	
https://language.org.ai/Adverb/Seriously	language.org.ai	Adverb	Seriously	seriously	Seriously	in a serious manner	Manner	seriously considered	
https://language.org.ai/Adverb/Significantly	language.org.ai	Adverb	Significantly	significantly	Significantly	in a significant manner	Degree	significantly improved	
https://language.org.ai/Adverb/Similarly	language.org.ai	Adverb	Similarly	similarly	Similarly	in a similar manner	Manner	similarly structured	
https://language.org.ai/Adverb/Simply	language.org.ai	Adverb	Simply	simply	Simply	in a simple manner	Manner	simply stated	
https://language.org.ai/Adverb/Simultaneously	language.org.ai	Adverb	Simultaneously	simultaneously	Simultaneously	at the same time	Time	simultaneously processed	
https://language.org.ai/Adverb/Slightly	language.org.ai	Adverb	Slightly	slightly	Slightly	to a small degree	Degree	slightly modified	
https://language.org.ai/Adverb/Slowly	language.org.ai	Adverb	Slowly	slowly	Slowly	at a slow speed	Manner	slowly processed	
https://language.org.ai/Adverb/Sometimes	language.org.ai	Adverb	Sometimes	sometimes	Sometimes	occasionally	Frequency	sometimes needed	
https://language.org.ai/Adverb/Soon	language.org.ai	Adverb	Soon	soon	Soon	in the near future	Time	available soon	
https://language.org.ai/Adverb/Specifically	language.org.ai	Adverb	Specifically	specifically	Specifically	in a specific manner	Manner	specifically designed	
https://language.org.ai/Adverb/Strongly	language.org.ai	Adverb	Strongly	strongly	Strongly	in a strong manner	Degree	strongly recommended	
https://language.org.ai/Adverb/Subsequently	language.org.ai	Adverb	Subsequently	subsequently	Subsequently	after; following	Time	subsequently reviewed	
https://language.org.ai/Adverb/Substantially	language.org.ai	Adverb	Substantially	substantially	Substantially	to a great extent	Degree	substantially improved	
https://language.org.ai/Adverb/Successfully	language.org.ai	Adverb	Successfully	successfully	Successfully	in a successful manner	Manner	successfully completed	
https://language.org.ai/Adverb/Suddenly	language.org.ai	Adverb	Suddenly	suddenly	Suddenly	quickly and unexpectedly	Time	suddenly changed	
https://language.org.ai/Adverb/Sufficiently	language.org.ai	Adverb	Sufficiently	sufficiently	Sufficiently	to a sufficient extent	Degree	sufficiently detailed	
https://language.org.ai/Adverb/Systematically	language.org.ai	Adverb	Systematically	systematically	Systematically	in a systematic manner	Manner	systematically reviewed	
https://language.org.ai/Adverb/Temporarily	language.org.ai	Adverb	Temporarily	temporarily	Temporarily	for a limited time	Time	temporarily unavailable	
https://language.org.ai/Adverb/Then	language.org.ai	Adverb	Then	then	Then	at that time; next	Time	completed then	
https://language.org.ai/Adverb/Thoroughly	language.org.ai	Adverb	Thoroughly	thoroughly	Thoroughly	in a thorough manner	Manner	thoroughly tested	
https://language.org.ai/Adverb/Today	language.org.ai	Adverb	Today	today	Today	on this day	Time	completed today	
https://language.org.ai/Adverb/Together	language.org.ai	Adverb	Together	together	Together	with each other	Manner	working together	
https://language.org.ai/Adverb/Tomorrow	language.org.ai	Adverb	Tomorrow	tomorrow	Tomorrow	on the day after today	Time	due tomorrow	
https://language.org.ai/Adverb/Totally	language.org.ai	Adverb	Totally	totally	Totally	completely; entirely	Degree	totally complete	
https://language.org.ai/Adverb/Traditionally	language.org.ai	Adverb	Traditionally	traditionally	Traditionally	in a traditional manner	Manner	traditionally done	
https://language.org.ai/Adverb/Typically	language.org.ai	Adverb	Typically	typically	Typically	usually; in most cases	Frequency	typically required	
https://language.org.ai/Adverb/Ultimately	language.org.ai	Adverb	Ultimately	ultimately	Ultimately	finally; in the end	Time	ultimately successful	
https://language.org.ai/Adverb/Unfortunately	language.org.ai	Adverb	Unfortunately	unfortunately	Unfortunately	regrettably; unluckily	Certainty	unfortunately delayed	
https://language.org.ai/Adverb/Usually	language.org.ai	Adverb	Usually	usually	Usually	in most cases; generally	Frequency	usually required	
https://language.org.ai/Adverb/Very	language.org.ai	Adverb	Very	very	Very	to a high degree	Degree	very important	
https://language.org.ai/Adverb/Virtually	language.org.ai	Adverb	Virtually	virtually	Virtually	almost; nearly	Degree	virtually complete	
https://language.org.ai/Adverb/Weekly	language.org.ai	Adverb	Weekly	weekly	Weekly	once a week	Frequency	reviewed weekly	
https://language.org.ai/Adverb/Well	language.org.ai	Adverb	Well	well	Well	in a good manner	Manner	performed well	
https://language.org.ai/Adverb/Widely	language.org.ai	Adverb	Widely	widely	Widely	to a great extent	Degree	widely used	
https://language.org.ai/Adverb/Yesterday	language.org.ai	Adverb	Yesterday	yesterday	Yesterday	on the day before today	Time	completed yesterday	
