ns	type	id	name	description	code	category	usage
language.org.ai	Adverb	Potentially	potentially	possibly; with potential		Certainty	potentially useful
language.org.ai	Adverb	Precisely	precisely	exactly; accurately		Manner	precisely measured
language.org.ai	Adverb	Predominantly	predominantly	mainly; for the most part		Degree	predominantly digital
language.org.ai	Adverb	Previously	previously	before; earlier		Time	previously discussed
language.org.ai	Adverb	Primarily	primarily	mainly; chiefly		Degree	primarily focused
language.org.ai	Adverb	Probably	probably	most likely		Certainty	probably successful
language.org.ai	Adverb	Properly	properly	in a proper manner		Manner	properly configured
language.org.ai	Adverb	Quickly	quickly	at a fast speed		Manner	quickly resolved
language.org.ai	Adverb	Quite	quite	to a certain extent		Degree	quite important
language.org.ai	Adverb	Rarely	rarely	not often		Frequency	rarely needed
language.org.ai	Adverb	Rather	rather	to some extent; quite		Degree	rather difficult
language.org.ai	Adverb	Readily	readily	easily; without difficulty		Manner	readily available
language.org.ai	Adverb	Really	really	in fact; actually		Certainty	really important
language.org.ai	Adverb	Recently	recently	not long ago		Time	recently updated
language.org.ai	Adverb	Regularly	regularly	at regular intervals		Frequency	regularly reviewed
language.org.ai	Adverb	Relatively	relatively	in relation to something else		Degree	relatively simple
language.org.ai	Adverb	Repeatedly	repeatedly	again and again		Frequency	repeatedly verified
language.org.ai	Adverb	Routinely	routinely	as part of a routine		Frequency	routinely checked
language.org.ai	Adverb	Safely	safely	in a safe manner		Manner	safely stored
language.org.ai	Adverb	Seldom	seldom	rarely; not often		Frequency	seldom used
language.org.ai	Adverb	Separately	separately	individually; apart		Manner	processed separately
language.org.ai	Adverb	Seriously	seriously	in a serious manner		Manner	seriously considered
language.org.ai	Adverb	Significantly	significantly	in a significant manner		Degree	significantly improved
language.org.ai	Adverb	Similarly	similarly	in a similar manner		Manner	similarly structured
language.org.ai	Adverb	Simply	simply	in a simple manner		Manner	simply stated
language.org.ai	Adverb	Simultaneously	simultaneously	at the same time		Time	simultaneously processed
language.org.ai	Adverb	Slightly	slightly	to a small degree		Degree	slightly modified
language.org.ai	Adverb	Slowly	slowly	at a slow speed		Manner	slowly processed
language.org.ai	Adverb	Sometimes	sometimes	occasionally		Frequency	sometimes needed
language.org.ai	Adverb	Soon	soon	in the near future		Time	available soon
language.org.ai	Adverb	Specifically	specifically	in a specific manner		Manner	specifically designed
language.org.ai	Adverb	Strongly	strongly	in a strong manner		Degree	strongly recommended
language.org.ai	Adverb	Subsequently	subsequently	after; following		Time	subsequently reviewed
language.org.ai	Adverb	Substantially	substantially	to a great extent		Degree	substantially improved
language.org.ai	Adverb	Successfully	successfully	in a successful manner		Manner	successfully completed
language.org.ai	Adverb	Suddenly	suddenly	quickly and unexpectedly		Time	suddenly changed
language.org.ai	Adverb	Sufficiently	sufficiently	to a sufficient extent		Degree	sufficiently detailed
language.org.ai	Adverb	Systematically	systematically	in a systematic manner		Manner	systematically reviewed
language.org.ai	Adverb	Temporarily	temporarily	for a limited time		Time	temporarily unavailable
language.org.ai	Adverb	Then	then	at that time; next		Time	completed then
language.org.ai	Adverb	Thoroughly	thoroughly	in a thorough manner		Manner	thoroughly tested
language.org.ai	Adverb	Today	today	on this day		Time	completed today
language.org.ai	Adverb	Together	together	with each other		Manner	working together
language.org.ai	Adverb	Tomorrow	tomorrow	on the day after today		Time	due tomorrow
language.org.ai	Adverb	Totally	totally	completely; entirely		Degree	totally complete
language.org.ai	Adverb	Traditionally	traditionally	in a traditional manner		Manner	traditionally done
language.org.ai	Adverb	Typically	typically	usually; in most cases		Frequency	typically required
language.org.ai	Adverb	Ultimately	ultimately	finally; in the end		Time	ultimately successful
language.org.ai	Adverb	Unfortunately	unfortunately	regrettably; unluckily		Certainty	unfortunately delayed
language.org.ai	Adverb	Usually	usually	in most cases; generally		Frequency	usually required
language.org.ai	Adverb	Very	very	to a high degree		Degree	very important
language.org.ai	Adverb	Virtually	virtually	almost; nearly		Degree	virtually complete
language.org.ai	Adverb	Weekly	weekly	once a week		Frequency	reviewed weekly
language.org.ai	Adverb	Well	well	in a good manner		Manner	performed well
language.org.ai	Adverb	Widely	widely	to a great extent		Degree	widely used
language.org.ai	Adverb	Yesterday	yesterday	on the day before today		Time	completed yesterday
