id	name	description	industry	stage
GrowthStageAnimalFoodManufacturingStartup	GrowthStage Animal Food Manufacturing Startup	Growth stage startup in animal food manufacturing	3111	GrowthStage
GrowthStageAnimalProductionAquacultureStartup	GrowthStage Animal Production and Aquaculture Startup	Growth stage startup in animal production and aquaculture	112	GrowthStage
GrowthStageAnimalSlaughteringProcessingStartup	GrowthStage Animal Slaughtering and Processing Startup	Growth stage startup in animal slaughtering and processing	3116	GrowthStage
GrowthStageApparelAccessoriesOtherApparelManufacturingStartup	GrowthStage Apparel Accessories and Other Apparel Manufacturing Startup	Growth stage startup in apparel accessories and other apparel manufacturing	3159	GrowthStage
GrowthStageApparelKnittingMillsStartup	GrowthStage Apparel Knitting Mills Startup	Growth stage startup in apparel knitting mills	3151	GrowthStage
GrowthStageApparelManufacturingStartup	GrowthStage Apparel Manufacturing Startup	Growth stage startup in apparel manufacturing	315	GrowthStage
GrowthStageApparelPieceGoodsNotionsMerchantWholesalersStartup	GrowthStage Apparel, Piece Goods, and Notions Merchant Wholesalers Startup	Growth stage startup in apparel, piece goods, and notions merchant wholesalers	4243	GrowthStage
GrowthStageAquacultureStartup	GrowthStage Aquaculture Startup	Growth stage startup in aquaculture	1125	GrowthStage
GrowthStageArchitecturalEngineeringRelatedServicesStartup	GrowthStage Architectural, Engineering, and Related Services Startup	Growth stage startup in architectural, engineering, and related services	5413	GrowthStage
GrowthStageArchitecturalStructuralMetalsManufacturingStartup	GrowthStage Architectural and Structural Metals Manufacturing Startup	Growth stage startup in architectural and structural metals manufacturing	3323	GrowthStage
GrowthStageArtsEntertainmentRecreationStartup	GrowthStage Arts, Entertainment, and Recreation Startup	Growth stage startup in arts, entertainment, and recreation	71	GrowthStage
GrowthStageAudioVideoEquipmentManufacturingStartup	GrowthStage Audio and Video Equipment Manufacturing Startup	Growth stage startup in audio and video equipment manufacturing	3343	GrowthStage
GrowthStageAutomobileDealersStartup	GrowthStage Automobile Dealers Startup	Growth stage startup in automobile dealers	4411	GrowthStage
GrowthStageAutomotiveEquipmentRentalLeasingStartup	GrowthStage Automotive Equipment Rental and Leasing Startup	Growth stage startup in automotive equipment rental and leasing	5321	GrowthStage
GrowthStageAutomotivePartsAccessoriesTireRetailersStartup	GrowthStage Automotive Parts, Accessories, and Tire Retailers Startup	Growth stage startup in automotive parts, accessories, and tire retailers	4413	GrowthStage
GrowthStageAutomotiveRepairMaintenanceStartup	GrowthStage Automotive Repair and Maintenance Startup	Growth stage startup in automotive repair and maintenance	8111	GrowthStage
GrowthStageBakeriesTortillaManufacturingStartup	GrowthStage Bakeries and Tortilla Manufacturing Startup	Growth stage startup in bakeries and tortilla manufacturing	3118	GrowthStage
GrowthStageBasicChemicalManufacturingStartup	GrowthStage Basic Chemical Manufacturing Startup	Growth stage startup in basic chemical manufacturing	3251	GrowthStage
GrowthStageBeerWineDistilledAlcoholicBeverageMerchantWholesalersStartup	GrowthStage Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers Startup	Growth stage startup in beer, wine, and distilled alcoholic beverage merchant wholesalers	4248	GrowthStage
GrowthStageBeerWineLiquorRetailersStartup	GrowthStage Beer, Wine, and Liquor Retailers Startup	Growth stage startup in beer, wine, and liquor retailers	4453	GrowthStage
GrowthStageBeverageManufacturingStartup	GrowthStage Beverage Manufacturing Startup	Growth stage startup in beverage manufacturing	3121	GrowthStage
GrowthStageBeverageTobaccoProductManufacturingStartup	GrowthStage Beverage and Tobacco Product Manufacturing Startup	Growth stage startup in beverage and tobacco product manufacturing	312	GrowthStage
GrowthStageBoilerTankShippingContainerManufacturingStartup	GrowthStage Boiler, Tank, and Shipping Container Manufacturing Startup	Growth stage startup in boiler, tank, and shipping container manufacturing	3324	GrowthStage
GrowthStageBookRetailersNewsDealersStartup	GrowthStage Book Retailers and News Dealers Startup	Growth stage startup in book retailers and news dealers	4592	GrowthStage
GrowthStageBroadcastingContentProvidersStartup	GrowthStage Broadcasting and Content Providers Startup	Growth stage startup in broadcasting and content providers	516	GrowthStage
GrowthStageBuildingEquipmentContractorsStartup	GrowthStage Building Equipment Contractors Startup	Growth stage startup in building equipment contractors	2382	GrowthStage
GrowthStageBuildingFinishingContractorsStartup	GrowthStage Building Finishing Contractors Startup	Growth stage startup in building finishing contractors	2383	GrowthStage
GrowthStageBuildingMaterialGardenEquipmentSuppliesDealersStartup	GrowthStage Building Material and Garden Equipment and Supplies Dealers Startup	Growth stage startup in building material and garden equipment and supplies dealers	444	GrowthStage
GrowthStageBuildingMaterialSuppliesDealersStartup	GrowthStage Building Material and Supplies Dealers Startup	Growth stage startup in building material and supplies dealers	4441	GrowthStage
GrowthStageBusinessProfessionalLaborPoliticalSimilarOrganizationsStartup	GrowthStage Business, Professional, Labor, Political, and Similar Organizations Startup	Growth stage startup in business, professional, labor, political, and similar organizations	8139	GrowthStage
GrowthStageBusinessSchoolsComputerManagementTrainingStartup	GrowthStage Business Schools and Computer and Management Training Startup	Growth stage startup in business schools and computer and management training	6114	GrowthStage
GrowthStageBusinessSupportServicesStartup	GrowthStage Business Support Services Startup	Growth stage startup in business support services	5614	GrowthStage
GrowthStageCattleRanchingFarmingStartup	GrowthStage Cattle Ranching and Farming Startup	Growth stage startup in cattle ranching and farming	1121	GrowthStage
GrowthStageCementConcreteProductManufacturingStartup	GrowthStage Cement and Concrete Product Manufacturing Startup	Growth stage startup in cement and concrete product manufacturing	3273	GrowthStage
GrowthStageCharterBusIndustryStartup	GrowthStage Charter Bus Industry Startup	Growth stage startup in charter bus industry	4855	GrowthStage
GrowthStageChemicalAlliedProductsMerchantWholesalersStartup	GrowthStage Chemical and Allied Products Merchant Wholesalers Startup	Growth stage startup in chemical and allied products merchant wholesalers	4246	GrowthStage
GrowthStageChemicalManufacturingStartup	GrowthStage Chemical Manufacturing Startup	Growth stage startup in chemical manufacturing	325	GrowthStage
GrowthStageChildCareServicesStartup	GrowthStage Child Care Services Startup	Growth stage startup in child care services	6244	GrowthStage
GrowthStageCivicSocialOrganizationsStartup	GrowthStage Civic and Social Organizations Startup	Growth stage startup in civic and social organizations	8134	GrowthStage
GrowthStageClayProductRefractoryManufacturingStartup	GrowthStage Clay Product and Refractory Manufacturing Startup	Growth stage startup in clay product and refractory manufacturing	3271	GrowthStage
GrowthStageClothingClothingAccessoriesRetailersStartup	GrowthStage Clothing and Clothing Accessories Retailers Startup	Growth stage startup in clothing and clothing accessories retailers	4581	GrowthStage
GrowthStageClothingClothingAccessoriesShoeJewelryRetailersStartup	GrowthStage Clothing, Clothing Accessories, Shoe, and Jewelry Retailers Startup	Growth stage startup in clothing, clothing accessories, shoe, and jewelry retailers	458	GrowthStage
GrowthStageCoalMiningStartup	GrowthStage Coal Mining Startup	Growth stage startup in coal mining	2121	GrowthStage
GrowthStageCoatingEngravingHeatTreatingAlliedActivitiesStartup	GrowthStage Coating, Engraving, Heat Treating, and Allied Activities Startup	Growth stage startup in coating, engraving, heat treating, and allied activities	3328	GrowthStage
GrowthStageCollegesUniversitiesProfessionalSchoolsStartup	GrowthStage Colleges, Universities, and Professional Schools Startup	Growth stage startup in colleges, universities, and professional schools	6113	GrowthStage
GrowthStageCommercialIndustrialMachineryEquipmentExceptAutomotiveElectronicRepairMaintenanceStartup	GrowthStage Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance Startup	Growth stage startup in commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance	8113	GrowthStage
GrowthStageCommercialIndustrialMachineryEquipmentRentalLeasingStartup	GrowthStage Commercial and Industrial Machinery and Equipment Rental and Leasing Startup	Growth stage startup in commercial and industrial machinery and equipment rental and leasing	5324	GrowthStage
GrowthStageCommercialServiceIndustryMachineryManufacturingStartup	GrowthStage Commercial and Service Industry Machinery Manufacturing Startup	Growth stage startup in commercial and service industry machinery manufacturing	3333	GrowthStage
GrowthStageCommunicationsEquipmentManufacturingStartup	GrowthStage Communications Equipment Manufacturing Startup	Growth stage startup in communications equipment manufacturing	3342	GrowthStage
GrowthStageCommunityFoodHousingEmergencyOtherReliefServicesStartup	GrowthStage Community Food and Housing, and Emergency and Other Relief Services Startup	Growth stage startup in community food and housing, and emergency and other relief services	6242	GrowthStage
GrowthStageComputerElectronicProductManufacturingStartup	GrowthStage Computer and Electronic Product Manufacturing Startup	Growth stage startup in computer and electronic product manufacturing	334	GrowthStage
GrowthStageComputerPeripheralEquipmentManufacturingStartup	GrowthStage Computer and Peripheral Equipment Manufacturing Startup	Growth stage startup in computer and peripheral equipment manufacturing	3341	GrowthStage
GrowthStageComputerSystemsDesignRelatedServicesStartup	GrowthStage Computer Systems Design and Related Services Startup	Growth stage startup in computer systems design and related services	5415	GrowthStage
GrowthStageComputingInfrastructureProvidersDataProcessingWebHostingRelatedServicesStartup	GrowthStage Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services Startup	Growth stage startup in computing infrastructure providers, data processing, web hosting, and related services	518	GrowthStage
GrowthStageComputingInfrastructureProvidersDataProcessingWebHostingRelatedServicesStartup	GrowthStage Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services Startup	Growth stage startup in computing infrastructure providers, data processing, web hosting, and related services	5182	GrowthStage
GrowthStageConstructionBuildingsStartup	GrowthStage Construction of Buildings Startup	Growth stage startup in construction of buildings	236	GrowthStage
GrowthStageConstructionStartup	GrowthStage Construction Startup	Growth stage startup in construction	23	GrowthStage
GrowthStageConsumerGoodsRentalStartup	GrowthStage Consumer Goods Rental Startup	Growth stage startup in consumer goods rental	5322	GrowthStage
GrowthStageContinuingCareRetirementCommunitiesAssistedLivingFacilitiesElderlyStartup	GrowthStage Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly Startup	Growth stage startup in continuing care retirement communities and assisted living facilities for the elderly	6233	GrowthStage
GrowthStageConvertedPaperProductManufacturingStartup	GrowthStage Converted Paper Product Manufacturing Startup	Growth stage startup in converted paper product manufacturing	3222	GrowthStage
GrowthStageCouriersExpressDeliveryServicesStartup	GrowthStage Couriers and Express Delivery Services Startup	Growth stage startup in couriers and express delivery services	4921	GrowthStage
GrowthStageCouriersMessengersStartup	GrowthStage Couriers and Messengers Startup	Growth stage startup in couriers and messengers	492	GrowthStage
GrowthStageCreditIntermediationRelatedActivitiesStartup	GrowthStage Credit Intermediation and Related Activities Startup	Growth stage startup in credit intermediation and related activities	522	GrowthStage
GrowthStageCropProductionStartup	GrowthStage Crop Production Startup	Growth stage startup in crop production	111	GrowthStage
GrowthStageCutleryHandtoolManufacturingStartup	GrowthStage Cutlery and Handtool Manufacturing Startup	Growth stage startup in cutlery and handtool manufacturing	3322	GrowthStage
GrowthStageCutSewApparelManufacturingStartup	GrowthStage Cut and Sew Apparel Manufacturing Startup	Growth stage startup in cut and sew apparel manufacturing	3152	GrowthStage
GrowthStageDairyProductManufacturingStartup	GrowthStage Dairy Product Manufacturing Startup	Growth stage startup in dairy product manufacturing	3115	GrowthStage
GrowthStageDeathCareServicesStartup	GrowthStage Death Care Services Startup	Growth stage startup in death care services	8122	GrowthStage
GrowthStageDeepSeaCoastalGreatLakesWaterTransportationStartup	GrowthStage Deep Sea, Coastal, and Great Lakes Water Transportation Startup	Growth stage startup in deep sea, coastal, and great lakes water transportation	4831	GrowthStage
GrowthStageDepartmentStoresStartup	GrowthStage Department Stores Startup	Growth stage startup in department stores	4551	GrowthStage
GrowthStageDepositoryCreditIntermediationStartup	GrowthStage Depository Credit Intermediation Startup	Growth stage startup in depository credit intermediation	5221	GrowthStage
GrowthStageDrinkingPlacesAlcoholicBeveragesStartup	GrowthStage Drinking Places (Alcoholic Beverages) Startup	Growth stage startup in drinking places (alcoholic beverages)	7224	GrowthStage
GrowthStageDrugsDruggists'SundriesMerchantWholesalersStartup	GrowthStage Drugs and Druggists' Sundries Merchant Wholesalers Startup	Growth stage startup in drugs and druggists' sundries merchant wholesalers	4242	GrowthStage
GrowthStageDrycleaningLaundryServicesStartup	GrowthStage Drycleaning and Laundry Services Startup	Growth stage startup in drycleaning and laundry services	8123	GrowthStage
GrowthStageEducationalServicesStartup	GrowthStage Educational Services Startup	Growth stage startup in educational services	61	GrowthStage
GrowthStageEducationalServicesStartup	GrowthStage Educational Services Startup	Growth stage startup in educational services	611	GrowthStage
GrowthStageEducationalSupportServicesStartup	GrowthStage Educational Support Services Startup	Growth stage startup in educational support services	6117	GrowthStage
GrowthStageElectricalEquipmentApplianceComponentManufacturingStartup	GrowthStage Electrical Equipment, Appliance, and Component Manufacturing Startup	Growth stage startup in electrical equipment, appliance, and component manufacturing	335	GrowthStage
GrowthStageElectricalEquipmentManufacturingStartup	GrowthStage Electrical Equipment Manufacturing Startup	Growth stage startup in electrical equipment manufacturing	3353	GrowthStage
GrowthStageElectricLightingEquipmentManufacturingStartup	GrowthStage Electric Lighting Equipment Manufacturing Startup	Growth stage startup in electric lighting equipment manufacturing	3351	GrowthStage
GrowthStageElectricPowerGenerationTransmissionDistributionStartup	GrowthStage Electric Power Generation, Transmission and Distribution Startup	Growth stage startup in electric power generation, transmission and distribution	2211	GrowthStage
GrowthStageElectronicPrecisionEquipmentRepairMaintenanceStartup	GrowthStage Electronic and Precision Equipment Repair and Maintenance Startup	Growth stage startup in electronic and precision equipment repair and maintenance	8112	GrowthStage
GrowthStageElectronicsApplianceRetailersStartup	GrowthStage Electronics and Appliance Retailers Startup	Growth stage startup in electronics and appliance retailers	4492	GrowthStage
GrowthStageElementarySecondarySchoolsStartup	GrowthStage Elementary and Secondary Schools Startup	Growth stage startup in elementary and secondary schools	6111	GrowthStage
GrowthStageEmploymentServicesStartup	GrowthStage Employment Services Startup	Growth stage startup in employment services	5613	GrowthStage
GrowthStageEngineTurbinePowerTransmissionEquipmentManufacturingStartup	GrowthStage Engine, Turbine, and Power Transmission Equipment Manufacturing Startup	Growth stage startup in engine, turbine, and power transmission equipment manufacturing	3336	GrowthStage
GrowthStageExecutiveLegislativeOtherGeneralGovernmentSupportStartup	GrowthStage Executive, Legislative, and Other General Government Support Startup	Growth stage startup in executive, legislative, and other general government support	921	GrowthStage
GrowthStageExecutiveLegislativeOtherGeneralGovernmentSupportStartup	GrowthStage Executive, Legislative, and Other General Government Support Startup	Growth stage startup in executive, legislative, and other general government support	9211	GrowthStage
GrowthStageFabricatedMetalProductManufacturingStartup	GrowthStage Fabricated Metal Product Manufacturing Startup	Growth stage startup in fabricated metal product manufacturing	332	GrowthStage
GrowthStageFabricMillsStartup	GrowthStage Fabric Mills Startup	Growth stage startup in fabric mills	3132	GrowthStage
GrowthStageFacilitiesSupportServicesStartup	GrowthStage Facilities Support Services Startup	Growth stage startup in facilities support services	5612	GrowthStage
GrowthStageFarmProductRawMaterialMerchantWholesalersStartup	GrowthStage Farm Product Raw Material Merchant Wholesalers Startup	Growth stage startup in farm product raw material merchant wholesalers	4245	GrowthStage
GrowthStageFiberYarnThreadMillsStartup	GrowthStage Fiber, Yarn, and Thread Mills Startup	Growth stage startup in fiber, yarn, and thread mills	3131	GrowthStage
GrowthStageFinanceInsuranceStartup	GrowthStage Finance and Insurance Startup	Growth stage startup in finance and insurance	52	GrowthStage
GrowthStageFishingHuntingTrappingStartup	GrowthStage Fishing, Hunting and Trapping Startup	Growth stage startup in fishing, hunting and trapping	114	GrowthStage
GrowthStageFishingStartup	GrowthStage Fishing Startup	Growth stage startup in fishing	1141	GrowthStage
GrowthStageFloristsStartup	GrowthStage Florists Startup	Growth stage startup in florists	4593	GrowthStage
GrowthStageFoodBeverageRetailersStartup	GrowthStage Food and Beverage Retailers Startup	Growth stage startup in food and beverage retailers	445	GrowthStage
GrowthStageFoodManufacturingStartup	GrowthStage Food Manufacturing Startup	Growth stage startup in food manufacturing	311	GrowthStage
GrowthStageFoodServicesDrinkingPlacesStartup	GrowthStage Food Services and Drinking Places Startup	Growth stage startup in food services and drinking places	722	GrowthStage
GrowthStageFootwearManufacturingStartup	GrowthStage Footwear Manufacturing Startup	Growth stage startup in footwear manufacturing	3162	GrowthStage
GrowthStageForestNurseriesGatheringForestProductsStartup	GrowthStage Forest Nurseries and Gathering of Forest Products Startup	Growth stage startup in forest nurseries and gathering of forest products	1132	GrowthStage
GrowthStageForestryLoggingStartup	GrowthStage Forestry and Logging Startup	Growth stage startup in forestry and logging	113	GrowthStage
GrowthStageForgingStampingStartup	GrowthStage Forging and Stamping Startup	Growth stage startup in forging and stamping	3321	GrowthStage
GrowthStageFoundationStructureBuildingExteriorContractorsStartup	GrowthStage Foundation, Structure, and Building Exterior Contractors Startup	Growth stage startup in foundation, structure, and building exterior contractors	2381	GrowthStage
GrowthStageFoundriesStartup	GrowthStage Foundries Startup	Growth stage startup in foundries	3315	GrowthStage
GrowthStageFreightTransportationArrangementStartup	GrowthStage Freight Transportation Arrangement Startup	Growth stage startup in freight transportation arrangement	4885	GrowthStage
GrowthStageFruitTreeNutFarmingStartup	GrowthStage Fruit and Tree Nut Farming Startup	Growth stage startup in fruit and tree nut farming	1113	GrowthStage
GrowthStageFruitVegetablePreservingSpecialtyFoodManufacturingStartup	GrowthStage Fruit and Vegetable Preserving and Specialty Food Manufacturing Startup	Growth stage startup in fruit and vegetable preserving and specialty food manufacturing	3114	GrowthStage
GrowthStageFuelDealersStartup	GrowthStage Fuel Dealers Startup	Growth stage startup in fuel dealers	4572	GrowthStage
GrowthStageFundsTrustsOtherFinancialVehiclesStartup	GrowthStage Funds, Trusts, and Other Financial Vehicles Startup	Growth stage startup in funds, trusts, and other financial vehicles	525	GrowthStage
GrowthStageFurnitureHomeFurnishingMerchantWholesalersStartup	GrowthStage Furniture and Home Furnishing Merchant Wholesalers Startup	Growth stage startup in furniture and home furnishing merchant wholesalers	4232	GrowthStage
GrowthStageFurnitureHomeFurnishingsElectronicsApplianceRetailersStartup	GrowthStage Furniture, Home Furnishings, Electronics, and Appliance Retailers Startup	Growth stage startup in furniture, home furnishings, electronics, and appliance retailers	449	GrowthStage
GrowthStageFurnitureHomeFurnishingsRetailersStartup	GrowthStage Furniture and Home Furnishings Retailers Startup	Growth stage startup in furniture and home furnishings retailers	4491	GrowthStage
GrowthStageFurnitureRelatedProductManufacturingStartup	GrowthStage Furniture and Related Product Manufacturing Startup	Growth stage startup in furniture and related product manufacturing	337	GrowthStage
GrowthStageGamblingIndustriesStartup	GrowthStage Gambling Industries Startup	Growth stage startup in gambling industries	7132	GrowthStage
GrowthStageGasolineStationsFuelDealersStartup	GrowthStage Gasoline Stations and Fuel Dealers Startup	Growth stage startup in gasoline stations and fuel dealers	457	GrowthStage
GrowthStageGasolineStationsStartup	GrowthStage Gasoline Stations Startup	Growth stage startup in gasoline stations	4571	GrowthStage
GrowthStageGeneralFreightTruckingStartup	GrowthStage General Freight Trucking Startup	Growth stage startup in general freight trucking	4841	GrowthStage
GrowthStageGeneralMedicalSurgicalHospitalsStartup	GrowthStage General Medical and Surgical Hospitals Startup	Growth stage startup in general medical and surgical hospitals	6221	GrowthStage
GrowthStageGeneralMerchandiseRetailersStartup	GrowthStage General Merchandise Retailers Startup	Growth stage startup in general merchandise retailers	455	GrowthStage
GrowthStageGeneralRentalCentersStartup	GrowthStage General Rental Centers Startup	Growth stage startup in general rental centers	5323	GrowthStage
GrowthStageGlassGlassProductManufacturingStartup	GrowthStage Glass and Glass Product Manufacturing Startup	Growth stage startup in glass and glass product manufacturing	3272	GrowthStage
GrowthStageGrainOilseedMillingStartup	GrowthStage Grain and Oilseed Milling Startup	Growth stage startup in grain and oilseed milling	3112	GrowthStage
GrowthStageGrantmakingGivingServicesStartup	GrowthStage Grantmaking and Giving Services Startup	Growth stage startup in grantmaking and giving services	8132	GrowthStage
GrowthStageGreenhouseNurseryFloricultureProductionStartup	GrowthStage Greenhouse, Nursery, and Floriculture Production Startup	Growth stage startup in greenhouse, nursery, and floriculture production	1114	GrowthStage
GrowthStageGroceryConvenienceRetailersStartup	GrowthStage Grocery and Convenience Retailers Startup	Growth stage startup in grocery and convenience retailers	4451	GrowthStage
GrowthStageGroceryRelatedProductMerchantWholesalersStartup	GrowthStage Grocery and Related Product Merchant Wholesalers Startup	Growth stage startup in grocery and related product merchant wholesalers	4244	GrowthStage
GrowthStageHardwareManufacturingStartup	GrowthStage Hardware Manufacturing Startup	Growth stage startup in hardware manufacturing	3325	GrowthStage
GrowthStageHardwarePlumbingHeatingEquipmentSuppliesMerchantWholesalersStartup	GrowthStage Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers Startup	Growth stage startup in hardware, and plumbing and heating equipment and supplies merchant wholesalers	4237	GrowthStage
GrowthStageHealthCareSocialAssistanceStartup	GrowthStage Health Care and Social Assistance Startup	Growth stage startup in health care and social assistance	62	GrowthStage
GrowthStageHealthPersonalCareRetailersStartup	GrowthStage Health and Personal Care Retailers Startup	Growth stage startup in health and personal care retailers	456	GrowthStage
GrowthStageHealthPersonalCareRetailersStartup	GrowthStage Health and Personal Care Retailers Startup	Growth stage startup in health and personal care retailers	4561	GrowthStage
GrowthStageHeavyCivilEngineeringConstructionStartup	GrowthStage Heavy and Civil Engineering Construction Startup	Growth stage startup in heavy and civil engineering construction	237	GrowthStage
GrowthStageHighwayStreetBridgeConstructionStartup	GrowthStage Highway, Street, and Bridge Construction Startup	Growth stage startup in highway, street, and bridge construction	2373	GrowthStage
GrowthStageHogPigFarmingStartup	GrowthStage Hog and Pig Farming Startup	Growth stage startup in hog and pig farming	1122	GrowthStage
GrowthStageHomeHealthCareServicesStartup	GrowthStage Home Health Care Services Startup	Growth stage startup in home health care services	6216	GrowthStage
GrowthStageHospitalsStartup	GrowthStage Hospitals Startup	Growth stage startup in hospitals	622	GrowthStage
GrowthStageHouseholdApplianceManufacturingStartup	GrowthStage Household Appliance Manufacturing Startup	Growth stage startup in household appliance manufacturing	3352	GrowthStage
GrowthStageHouseholdAppliancesElectricalElectronicGoodsMerchantWholesalersStartup	GrowthStage Household Appliances and Electrical and Electronic Goods Merchant Wholesalers Startup	Growth stage startup in household appliances and electrical and electronic goods merchant wholesalers	4236	GrowthStage
GrowthStageHouseholdInstitutionalFurnitureKitchenCabinetManufacturingStartup	GrowthStage Household and Institutional Furniture and Kitchen Cabinet Manufacturing Startup	Growth stage startup in household and institutional furniture and kitchen cabinet manufacturing	3371	GrowthStage
GrowthStageHuntingTrappingStartup	GrowthStage Hunting and Trapping Startup	Growth stage startup in hunting and trapping	1142	GrowthStage
GrowthStageIndependentArtistsWritersPerformersStartup	GrowthStage Independent Artists, Writers, and Performers Startup	Growth stage startup in independent artists, writers, and performers	7115	GrowthStage
GrowthStageIndividualFamilyServicesStartup	GrowthStage Individual and Family Services Startup	Growth stage startup in individual and family services	6241	GrowthStage
GrowthStageIndustrialMachineryManufacturingStartup	GrowthStage Industrial Machinery Manufacturing Startup	Growth stage startup in industrial machinery manufacturing	3332	GrowthStage
GrowthStageInformationStartup	GrowthStage Information Startup	Growth stage startup in information	51	GrowthStage
GrowthStageInlandWaterTransportationStartup	GrowthStage Inland Water Transportation Startup	Growth stage startup in inland water transportation	4832	GrowthStage
GrowthStageInsuranceCarriersRelatedActivitiesStartup	GrowthStage Insurance Carriers and Related Activities Startup	Growth stage startup in insurance carriers and related activities	524	GrowthStage
GrowthStageInsuranceCarriersStartup	GrowthStage Insurance Carriers Startup	Growth stage startup in insurance carriers	5241	GrowthStage
