codeId	techId
Go	InsystemsCalligoDocumentManagementSystem
Go	InsystemsCalligoEnterprise
Go	IntelligentAlgorithmsInfogistPlatinumRecruiter
Go	Investigo
Go	IpswitchWhatsupGold
Go	LindoSystemsLingo
Go	Lingoes
Go	LogmeinGotomeeting
Go	LogmeinGotowebinar
Go	LogoDesignSoftware
Go	Logopress
Go	MangoldInteract
Go	MangoldLogsquare
Go	MangoldSoundalyzer
Go	MaxSystemsMaxGold7
Go	MaxSystemsMaxGoldMedicalClinicSoftware
Go	MogoDentalSoftwareMogo
Go	Mongodb
Go	MontgomeryInvestmentTechnologyBondsXl
Go	MontgomeryInvestmentTechnologyExoticsXl
Go	MontgomeryInvestmentTechnologyFintools
Go	MontgomeryInvestmentTechnologyOptionsXl
Go	MontgomeryInvestmentTechnologyQuotetools
Go	MontgomeryInvestmentTechnologyRiskXl
Go	MontgomeryInvestmentTechnologySigtools
Go	MontgomeryInvestmentTechnologyUtilityXl
Go	NationalUnionCatalogOfManuscriptCollections
Go	NewWorldSystemsLogos.net
Go	NuanceDragonNaturallyspeaking
Go	OctagonStartingpoint
Go	OctagonViewpointEctdComplete
Go	OnlineAnalyticalProcessingOlapSoftware
Go	OracleEnterpriseGovernanceRisk
Go	OracleGoldenGate
Go	ParadigmSkuaGocad
Go	ParagonFinancialServicesParagonFinancialSystem
Go	Pentagon2000sql
Go	Pipingoffice
Go	ProcessingOfIntegratedRadarVipir
Go	ProtivitiGovernancePortal
Go	Quickcogo
Go	RbsGotourOnline
Go	RezgoOnlineBookingSoftware
Go	RockwareVego
Go	SaicGovernmentServices
Go	SimplyHearingSoftwareSimplyHearingOms
Go	SmesourceBillingorchard
Go	SofttruckCargowiz
Go	SoilSurveyGeographicSsurgo
Go	StateSoilGeographicStatsgoDatabase
Go	StringOrientedSymbolicLanguageSnobol
Go	SymphonyGold
Go	ThomsonGosystemMytaxinfo
Go	ThomsonGosystemTax
Go	ThomsonReutersGofileroom
Go	TimeSharingOptionTsoSoftware
Go	TrigonRoadForteLeaveManagement
Go	TripodDataSystemsCogo
Go	TurtleCreekSoftwareGoldenseal
Go	TurtleCreekSoftwareGoldensealArchitect
Go	VisualizationSciencesGroupVsgOpenInventor
Go	WavemetricsIgorPro
Go	WbsGoplan
Go	WorldspanGo!
Go	XeroxGovernmentSystemsFirehouseSoftware
Go	Xgobi
Rust	AdvantosSystemsDatatrustEnterprise
Rust	CaEtrust
Rust	ComputerTrustWinsurge
Rust	OsiTrustwise
Rust	RustProgrammingLanguage
Swift	ElectricRainSwift3d
Swift	ElectricRainSwift3dXpress
Swift	Planswift
Swift	Swift
Kotlin	Kotlin
