url	ns	type	id	code	name	description	careerClusterId	careerClusterName	socCount	cipCount
https://education.org.ai/Career/Itsupportandservices	education.org.ai	Career	Itsupportandservices	digital-technology/it-support-services	IT Support & Services	IT Support & Services sub-cluster within Digital Technology	digital-technology	Digital Technology	5	11
https://education.org.ai/Career/Networksystemsandcybersecurity	education.org.ai	Career	Networksystemsandcybersecurity	digital-technology/network-systems-cybersecurity	Network Systems & Cybersecurity	Network Systems & Cybersecurity sub-cluster within Digital Technology	digital-technology	Digital Technology	8	26
https://education.org.ai/Career/SoftwareSolutions	education.org.ai	Career	SoftwareSolutions	digital-technology/software-solutions	Software Solutions	Software Solutions sub-cluster within Digital Technology	digital-technology	Digital Technology	6	30
https://education.org.ai/Career/Webandcloud	education.org.ai	Career	Webandcloud	digital-technology/web-cloud	Web & Cloud	Web & Cloud sub-cluster within Digital Technology	digital-technology	Digital Technology	9	28
https://education.org.ai/Career/EarlyChildhoodDevelopment	education.org.ai	Career	EarlyChildhoodDevelopment	education/early-childhood-development	Early Childhood Development	Early Childhood Development sub-cluster within Education	education	Education	5	9
https://education.org.ai/Career/Educationadministrationandleadership	education.org.ai	Career	Educationadministrationandleadership	education/education-administration-leadership	Education Administration & Leadership	Education Administration & Leadership sub-cluster within Education	education	Education	7	29
https://education.org.ai/Career/Learnersupportandcommunityengagement	education.org.ai	Career	Learnersupportandcommunityengagement	education/learner-support-community-engagement	Learner Support & Community Engagement	Learner Support & Community Engagement sub-cluster within Education	education	Education	16	136
https://education.org.ai/Career/TeachingTrainingAndfacilitation	education.org.ai	Career	TeachingTrainingAndfacilitation	education/teaching-training-facilitation	Teaching, Training, & Facilitation	Teaching, Training, & Facilitation sub-cluster within Education	education	Education	65	1300
https://education.org.ai/Career/Cleanandalternativeenergy	education.org.ai	Career	Cleanandalternativeenergy	energy-natural-resources/clean-alternative-energy	Clean & Alternative Energy	Clean & Alternative Energy sub-cluster within Energy & Natural Resources	energy-natural-resources	Energy & Natural Resources	13	17
https://education.org.ai/Career/Conservationandlandmanagement	education.org.ai	Career	Conservationandlandmanagement	energy-natural-resources/conservation-land-management	Conservation & Land Management	Conservation & Land Management sub-cluster within Energy & Natural Resources	energy-natural-resources	Energy & Natural Resources	18	107
https://education.org.ai/Career/Ecologicalresearchanddevelopment	education.org.ai	Career	Ecologicalresearchanddevelopment	energy-natural-resources/ecological-research-development	Ecological Research & Development	Ecological Research & Development sub-cluster within Energy & Natural Resources	energy-natural-resources	Energy & Natural Resources	25	167
https://education.org.ai/Career/EnvironmentalProtection	education.org.ai	Career	EnvironmentalProtection	energy-natural-resources/environmental-protection	Environmental Protection	Environmental Protection sub-cluster within Energy & Natural Resources	energy-natural-resources	Energy & Natural Resources	9	10
https://education.org.ai/Career/ResourceExtraction	education.org.ai	Career	ResourceExtraction	energy-natural-resources/resource-extraction	Resource Extraction	Resource Extraction sub-cluster within Energy & Natural Resources	energy-natural-resources	Energy & Natural Resources	35	44
https://education.org.ai/Career/Utilities	education.org.ai	Career	Utilities	energy-natural-resources/utilities	Utilities	Utilities sub-cluster within Energy & Natural Resources	energy-natural-resources	Energy & Natural Resources	28	32
https://education.org.ai/Career/Accounting	education.org.ai	Career	Accounting	financial-services/accounting	Accounting	Accounting sub-cluster within Financial Services	financial-services	Financial Services	7	13
https://education.org.ai/Career/Bankingandcredit	education.org.ai	Career	Bankingandcredit	financial-services/banking-credit	Banking & Credit	Banking & Credit sub-cluster within Financial Services	financial-services	Financial Services	7	10
https://education.org.ai/Career/Financialstrategyandinvestments	education.org.ai	Career	Financialstrategyandinvestments	financial-services/financial-strategy-investments	Financial Strategy & Investments	Financial Strategy & Investments sub-cluster within Financial Services	financial-services	Financial Services	14	40
https://education.org.ai/Career/Insurance	education.org.ai	Career	Insurance	financial-services/insurance	Insurance	Insurance sub-cluster within Financial Services	financial-services	Financial Services	12	26
https://education.org.ai/Career/RealEstate	education.org.ai	Career	RealEstate	financial-services/real-estate	Real Estate	Real Estate sub-cluster within Financial Services	financial-services	Financial Services	4	10
https://education.org.ai/Career/Behavioralandmentalhealth	education.org.ai	Career	Behavioralandmentalhealth	healthcare-human-services/behavioral-mental-health	Behavioral & Mental Health	Behavioral & Mental Health sub-cluster within Healthcare & Human Services	healthcare-human-services	Healthcare & Human Services	13	63
https://education.org.ai/Career/Biotechnologyresearchanddevelopment	education.org.ai	Career	Biotechnologyresearchanddevelopment	healthcare-human-services/biotechnology-research-development	Biotechnology Research & Development	Biotechnology Research & Development sub-cluster within Healthcare & Human Services	healthcare-human-services	Healthcare & Human Services	13	280
https://education.org.ai/Career/Communityandsocialservices	education.org.ai	Career	Communityandsocialservices	healthcare-human-services/community-social-services	Community & Social Services	Community & Social Services sub-cluster within Healthcare & Human Services	healthcare-human-services	Healthcare & Human Services	16	68
https://education.org.ai/Career/Healthdataandadministration	education.org.ai	Career	Healthdataandadministration	healthcare-human-services/health-data-administration	Health Data & Administration	Health Data & Administration sub-cluster within Healthcare & Human Services	healthcare-human-services	Healthcare & Human Services	12	54
https://education.org.ai/Career/PersonalCareServices	education.org.ai	Career	PersonalCareServices	healthcare-human-services/personal-care-services	Personal Care Services	Personal Care Services sub-cluster within Healthcare & Human Services	healthcare-human-services	Healthcare & Human Services	17	35
https://education.org.ai/Career/PhysicalHealth	education.org.ai	Career	PhysicalHealth	healthcare-human-services/physical-health	Physical Health	Physical Health sub-cluster within Healthcare & Human Services	healthcare-human-services	Healthcare & Human Services	87	473
https://education.org.ai/Career/Accommodations	education.org.ai	Career	Accommodations	hospitality-events-tourism/accommodations	Accommodations	Accommodations sub-cluster within Hospitality, Events, & Tourism	hospitality-events-tourism	Hospitality, Events, & Tourism	7	11
https://education.org.ai/Career/Conferencesandevents	education.org.ai	Career	Conferencesandevents	hospitality-events-tourism/conferences-events	Conferences & Events	Conferences & Events sub-cluster within Hospitality, Events, & Tourism	hospitality-events-tourism	Hospitality, Events, & Tourism	3	12
https://education.org.ai/Career/Culinaryandfoodservices	education.org.ai	Career	Culinaryandfoodservices	hospitality-events-tourism/culinary-food-services	Culinary & Food Services	Culinary & Food Services sub-cluster within Hospitality, Events, & Tourism	hospitality-events-tourism	Hospitality, Events, & Tourism	18	18
https://education.org.ai/Career/Travelandleisure	education.org.ai	Career	Travelandleisure	hospitality-events-tourism/travel-leisure	Travel & Leisure	Travel & Leisure sub-cluster within Hospitality, Events, & Tourism	hospitality-events-tourism	Hospitality, Events, & Tourism	23	28
https://education.org.ai/Career/BusinessInformationManagement	education.org.ai	Career	BusinessInformationManagement	management-entrepreneurship/business-information-management	Business Information Management	Business Information Management sub-cluster within Management & Entrepreneurship	management-entrepreneurship	Management & Entrepreneurship	8	52
https://education.org.ai/Career/Entrepreneurshipandsmallbusiness	education.org.ai	Career	Entrepreneurshipandsmallbusiness	management-entrepreneurship/entrepreneurship-small-business	Entrepreneurship & Small Business	Entrepreneurship & Small Business sub-cluster within Management & Entrepreneurship	management-entrepreneurship	Management & Entrepreneurship	22	18
https://education.org.ai/Career/Leadershipandoperations	education.org.ai	Career	Leadershipandoperations	management-entrepreneurship/leadership-operations	Leadership & Operations	Leadership & Operations sub-cluster within Management & Entrepreneurship	management-entrepreneurship	Management & Entrepreneurship	32	200
https://education.org.ai/Career/ProjectManagement	education.org.ai	Career	ProjectManagement	management-entrepreneurship/project-management	Project Management	Project Management sub-cluster within Management & Entrepreneurship	management-entrepreneurship	Management & Entrepreneurship	1	6
https://education.org.ai/Career/Regulation	education.org.ai	Career	Regulation	management-entrepreneurship/regulation	Regulation	Regulation sub-cluster within Management & Entrepreneurship	management-entrepreneurship	Management & Entrepreneurship	5	17
https://education.org.ai/Career/MarketresearchAnalyticsAndethics	education.org.ai	Career	MarketresearchAnalyticsAndethics	marketing-sales/market-research-analytics-ethics	Market Research, Analytics, & Ethics	Market Research, Analytics, & Ethics sub-cluster within Marketing & Sales	marketing-sales	Marketing & Sales	5	30
https://education.org.ai/Career/Marketingandadvertising	education.org.ai	Career	Marketingandadvertising	marketing-sales/marketing-advertising	Marketing & Advertising	Marketing & Advertising sub-cluster within Marketing & Sales	marketing-sales	Marketing & Sales	4	14
https://education.org.ai/Career/Retailandcustomerexperience	education.org.ai	Career	Retailandcustomerexperience	marketing-sales/retail-customer-experience	Retail & Customer Experience	Retail & Customer Experience sub-cluster within Marketing & Sales	marketing-sales	Marketing & Sales	10	18
https://education.org.ai/Career/StrategicSales	education.org.ai	Career	StrategicSales	marketing-sales/strategic-sales	Strategic Sales	Strategic Sales sub-cluster within Marketing & Sales	marketing-sales	Marketing & Sales	8	13
https://education.org.ai/Career/EmergencyResponse	education.org.ai	Career	EmergencyResponse	public-service-safety/emergency-response	Emergency Response	Emergency Response sub-cluster within Public Service & Safety	public-service-safety	Public Service & Safety	6	22
https://education.org.ai/Career/JudicialSystems	education.org.ai	Career	JudicialSystems	public-service-safety/judicial-systems	Judicial Systems	Judicial Systems sub-cluster within Public Service & Safety	public-service-safety	Public Service & Safety	11	42
https://education.org.ai/Career/LocalStateAndfederalservices	education.org.ai	Career	LocalStateAndfederalservices	public-service-safety/local-state-federal-services	Local, State, & Federal Services	Local, State, & Federal Services sub-cluster within Public Service & Safety	public-service-safety	Public Service & Safety	50	138
https://education.org.ai/Career/Militaryandnationalsecurity	education.org.ai	Career	Militaryandnationalsecurity	public-service-safety/military-national-security	Military & National Security	Military & National Security sub-cluster within Public Service & Safety	public-service-safety	Public Service & Safety	31	56
https://education.org.ai/Career/PublicSafety	education.org.ai	Career	PublicSafety	public-service-safety/public-safety	Public Safety	Public Safety sub-cluster within Public Service & Safety	public-service-safety	Public Service & Safety	26	49
https://education.org.ai/Career/Airandspacetransportation	education.org.ai	Career	Airandspacetransportation	supply-chain-transportation/air-space-transportation	Air & Space Transportation	Air & Space Transportation sub-cluster within Supply Chain & Transportation	supply-chain-transportation	Supply Chain & Transportation	12	19
https://education.org.ai/Career/Groundandrailtransportation	education.org.ai	Career	Groundandrailtransportation	supply-chain-transportation/ground-rail-transportation	Ground & Rail Transportation	Ground & Rail Transportation sub-cluster within Supply Chain & Transportation	supply-chain-transportation	Supply Chain & Transportation	21	9
https://education.org.ai/Career/Maintenanceandrepair	education.org.ai	Career	Maintenanceandrepair	supply-chain-transportation/maintenance-repair	Maintenance & Repair	Maintenance & Repair sub-cluster within Supply Chain & Transportation	supply-chain-transportation	Supply Chain & Transportation	28	27
https://education.org.ai/Career/MarineTransportation	education.org.ai	Career	MarineTransportation	supply-chain-transportation/marine-transportation	Marine Transportation	Marine Transportation sub-cluster within Supply Chain & Transportation	supply-chain-transportation	Supply Chain & Transportation	8	7
https://education.org.ai/Career/Planningandlogistics	education.org.ai	Career	Planningandlogistics	supply-chain-transportation/planning-logistics	Planning & Logistics	Planning & Logistics sub-cluster within Supply Chain & Transportation	supply-chain-transportation	Supply Chain & Transportation	8	13
https://education.org.ai/Career/Purchasingandwarehousing	education.org.ai	Career	Purchasingandwarehousing	supply-chain-transportation/purchasing-warehousing	Purchasing & Warehousing	Purchasing & Warehousing sub-cluster within Supply Chain & Transportation	supply-chain-transportation	Supply Chain & Transportation	11	9
