url	ns	type	id	code	name	description	category	case	usage	digital
https://language.org.ai/Pronoun/Their	language.org.ai	Pronoun	Their	their	Their	third person plural possessive	Personal	Possessive	their task	
https://language.org.ai/Pronoun/Theirs	language.org.ai	Pronoun	Theirs	theirs	Theirs	third person plural possessive	Personal	Possessive	task is theirs	
https://language.org.ai/Pronoun/Themselves	language.org.ai	Pronoun	Themselves	themselves	Themselves	third person plural reflexive	Personal	Reflexive	they did it themselves	
https://language.org.ai/Pronoun/This	language.org.ai	Pronoun	This	this	This	refers to something nearby	Demonstrative	Singular	this is good	
https://language.org.ai/Pronoun/That	language.org.ai	Pronoun	That	that	That	refers to something distant	Demonstrative	Singular	that is good	
https://language.org.ai/Pronoun/These	language.org.ai	Pronoun	These	these	These	plural of this	Demonstrative	Plural	these are good	
https://language.org.ai/Pronoun/Those	language.org.ai	Pronoun	Those	those	Those	plural of that	Demonstrative	Plural	those are good	
https://language.org.ai/Pronoun/Who	language.org.ai	Pronoun	Who	who	Who	refers to people (subject)	Interrogative	Subjective	who analyzes	
https://language.org.ai/Pronoun/Whom	language.org.ai	Pronoun	Whom	whom	Whom	refers to people (object)	Interrogative	Objective	whom to ask	
https://language.org.ai/Pronoun/Whose	language.org.ai	Pronoun	Whose	whose	Whose	possession	Interrogative	Possessive	whose task	
https://language.org.ai/Pronoun/What	language.org.ai	Pronoun	What	what	What	refers to things	Interrogative	Any	what happened	
https://language.org.ai/Pronoun/Which	language.org.ai	Pronoun	Which	which	Which	choice between alternatives	Interrogative	Any	which option	
https://language.org.ai/Pronoun/Anyone	language.org.ai	Pronoun	Anyone	anyone	Anyone	any person	Indefinite	Singular	anyone can help	
https://language.org.ai/Pronoun/Anybody	language.org.ai	Pronoun	Anybody	anybody	Anybody	any person	Indefinite	Singular	anybody can help	
https://language.org.ai/Pronoun/Anything	language.org.ai	Pronoun	Anything	anything	Anything	any thing	Indefinite	Singular	anything works	
https://language.org.ai/Pronoun/Everyone	language.org.ai	Pronoun	Everyone	everyone	Everyone	all people	Indefinite	Singular	everyone knows	
https://language.org.ai/Pronoun/Everybody	language.org.ai	Pronoun	Everybody	everybody	Everybody	all people	Indefinite	Singular	everybody knows	
https://language.org.ai/Pronoun/Everything	language.org.ai	Pronoun	Everything	everything	Everything	all things	Indefinite	Singular	everything works	
https://language.org.ai/Pronoun/NoOne	language.org.ai	Pronoun	NoOne	no one	No One	not anyone	Indefinite	Singular	no one knows	
https://language.org.ai/Pronoun/Nobody	language.org.ai	Pronoun	Nobody	nobody	Nobody	not anybody	Indefinite	Singular	nobody knows	
https://language.org.ai/Pronoun/Nothing	language.org.ai	Pronoun	Nothing	nothing	Nothing	not anything	Indefinite	Singular	nothing works	
https://language.org.ai/Pronoun/Someone	language.org.ai	Pronoun	Someone	someone	Someone	some person	Indefinite	Singular	someone knows	
https://language.org.ai/Pronoun/Somebody	language.org.ai	Pronoun	Somebody	somebody	Somebody	some person	Indefinite	Singular	somebody knows	
https://language.org.ai/Pronoun/Something	language.org.ai	Pronoun	Something	something	Something	some thing	Indefinite	Singular	something works	
