id	code	name	description
MedicalMeasuringAndOtherElectronicAndElectricalMachineryAndEquipment	363	Medical, measuring, and other electronic and electrical machinery and equipment	This group comprises medical, measuring, and other electronic and electrical machinery and equipment.
ElectronicAndElectricalParts	371	Electronic and electrical parts	This group comprises electronic and electrical parts.
ElectricalComponents	381	Electrical components	This group comprises electrical components.
Appliances	382	Appliances	This group comprises appliances.
FurnitureAndFixtures	391	Furniture and fixtures	This group comprises furniture and fixtures.
PassengerCarsAndLightTrucks	411	Passenger cars and light trucks	This group comprises passenger cars, light trucks, vans and sport utility vehicles (SUVs), including their chassis.
MediumAndHeavyTrucksBusesAndOtherMotorVehicles	412	Medium and heavy trucks, buses, and other motor vehicles	This group comprises medium and heavy trucks, buses, and other motor vehicles.
MotorVehicleEnginesAndMotorVehicleParts	413	Motor vehicle engines and motor vehicle parts	This group comprises motor vehicle engines and motor vehicle parts.
Aircraft	421	Aircraft	This group comprises military and civilian aircraft.
AircraftEnginesAircraftPartsAndOtherAerospaceEquipment	431	Aircraft engines, aircraft parts and other aerospace equipment	This group comprises aircraft engines, aircraft parts and other aerospace equipment.
ShipsLocomotivesRailwayRollingStockAndRapidTransitEquipment	441	Ships, locomotives, railway rolling stock, and rapid transit equipment	This group comprises ships, locomotives, railway rolling stock, and rapid transit equipment.
BoatsAndOtherTransportationEquipment	442	Boats and other transportation equipment	This group comprises boats and other transportation equipment.
PartsOfRailwayRollingStockAndOfOtherTransportationEquipment	451	Parts of railway rolling stock and of other transportation equipment	This group comprises parts of railway rolling stock and of other transportation equipment.
WoodMillworkAndWoodProductsN.e.c.	462	Wood millwork, and wood products n.e.c.	This group comprises wood millwork, and wood products n.e.c.
PaintsCoatingsAndAdhesiveProducts	463	Paints, coatings, and adhesive products	This group comprises paints, coatings, and adhesive products.
PlasticAndFoamBuildingAndConstructionMaterials	464	Plastic and foam building and construction materials	This group comprises plastic and foam building and construction materials.
CementLimeAndGypsumProducts	465	Cement, lime and gypsum products	This group comprises cement, lime and gypsum products.
MetalBuildingAndConstructionMaterials	466	Metal building and construction materials	This group comprises metal building and construction materials.
PrefabricatedBuildingsAndComponentsThereof	471	Prefabricated buildings and components thereof	This group comprises prefabricated buildings that are built in a factory or manufacturing facility and delivered to the construction site
FabricatedMetalProducts	472	Fabricated metal products	This group comprises fabricated metal products.
PackagingMaterials	474	Packaging materials	This group comprises packaging materials.
MiscellaneousGoodsAndSupplies	475	Miscellaneous goods and supplies	This group comprises miscellaneous goods and supplies.
PublishedProductsAndRecordedMediaExceptSoftware	481	Published products and recorded media (except software)	This group comprises books; newspapers; periodicals; other published products; recorded music and other sound recordings and recorded movies, television programs and videos. The published products can be acquired or accessed on a physical form or media, or online. They are published on own account for sale by the publishers. Wholesaling and retailing services are excluded from this group.
SoftwareAndSoftwareLicensing	482	Software and software licensing	This group comprises published software sold with an end user licence agreement (by the publisher), and licences to use software or software components to generate revenues.
TransportationOfCommoditiesByPipeline	511	Transportation of commodities by pipeline	This group comprises transportation of natural gas, crude oil, refined petroleum products and other commodities by pipeline.
FreightTransportationByRoad	512	Freight transportation by road	This group comprises transportation services by truck and other motorized road vehicles (including rental and leasing with operator or driver), for general and specialized freight.
OtherFreightTransportationServicesAndAirSpecialtyServices	513	Other freight transportation services and air specialty services	This group comprises transportation services (including rental and leasing with operator or crew) such as rail, water and air freight; moving services; and air specialty services.
PostalAndCourierServices	514	Postal and courier services	This group comprises postal services; and courier, parcel, and local messenger and delivery services.
PassengerTransportationServicesIncludingSightseeing	521	Passenger transportation services (including sightseeing)	This group comprises urban transit services; taxi and limousine services; interurban and rural bus passenger transportation services; school bus services; other transit and passenger transportation services by road; rail passenger transportation services; water passenger transportation services; air passenger transportation services; and scenic and sightseeing tour services. Rental and leasing services of passenger vehicles with operator, driver or crew are included.
TransportationSupportServices	531	Transportation support services	This group comprises road transportation support services; motor vehicle maintenance and repair services; rail transportation support, maintenance and repair services; water transportation support, maintenance and repair services; air transportation support services; aircraft maintenance and repair services; freight transportation arrangement and customs brokering services; and other transportation support services.
WarehousingAndStorageServices	541	Warehousing and storage services	This group comprises grain storage services and warehousing and storage services for other goods.
WholesaleServicesExceptCommissions	551	Wholesale services (except commissions)	This group comprises the services of buying and selling merchandise on own account at an intermediate step in the distribution chain. Wholesale services bundled with services incidental to the own account sale of merchandise such as logistics, inventory management, marketing services, packaging and labeling, handling of warranty claims, in-store or co-op promotions, and product training are also included.
WholesaleTradeCommissions	552	Wholesale trade commissions	This group comprises the services of arranging the buying or selling of merchandise for others on a commission basis at an intermediate step in the distribution chain.
RetailServicesExceptCommissions	561	Retail services (except commissions)	This group comprises the services of buying and selling merchandise on own account at the final step in the distribution chain, and rendering services incidental to the retail sale of merchandise; the services are provided in-store, on-line or in vending machines.
RetailTradeCommissions	562	Retail trade commissions	This group comprises the service of selling and renting merchandise for others on a commission basis at the final step in the distribution process.
RepairAndMaintenanceServicesExceptForBuildingsAndTransportationEquipment	571	Repair and maintenance services (except for buildings and transportation equipment)	This group comprises repair and maintenance services, except for buildings and transportation equipment. Covers maintenance and repair services for commercial and industrial machinery and equipment; maintenance and repair services for electronic and precision equipment; and maintenance and repair services for personal and household goods.
RentalAndLeasingExceptRentalOfRealEstate	581	Rental and leasing (except rental of real estate)	This group comprises rentals and operating leases of motor vehicles (except with operator or driver); computer equipment; office furniture and equipment; communication equipment, commercial and industrial machinery and equipment (except with operator); and other goods.
ResidentialBuildings	621	Residential buildings	This group comprises residential buildings.
NonResidentialBuildings	622	Non-residential buildings	This group comprises non-residential buildings.
CivilEngineeringWorks	623	Civil engineering works	This group comprises civil engineering works (infrastructures) or construction works other than buildings and their associated site works, comprising a structure, such as highways, bridges, pipelines, nuclear power plants, water filtration plants and mine structures (except buildings). Construction works are also the results of operations such as dredging, dewatering or soil stabilization.
IndustrialIntellectualProperty	631	Industrial intellectual property	This group comprises industrial intellectual property, such as patents and industrial designs, produced on own account for sale with all-attendant rights.
OriginalsProtectedByCopyright	632	Originals protected by copyright	This group comprises originals protected by copyrights produced on own account for sale with all-attendant rights.
OilAndGasAndMineralExploration	641	Oil and gas and mineral exploration	This group comprises certain services used in the search for, discovery and initial delimitation of previously unknown pools of oil or gas, unproven areas or deeper zones of known pools, previously unknown mineral deposits, or the re-evaluation of sub-marginal or neglected mineral deposits.
ResearchAndExperimentalDevelopmentServices	642	Research and experimental development services	This group comprises research and experimental development services in natural sciences, engineering and technology, medical and health sciences, agricultural and veterinary sciences, social sciences, and humanities and the arts. Research and experimental development (R&D) comprise creative and systemic work undertaken in order to increase the stock of knowledge - including knowledge of humankind, culture and society - and to devise new applications of available knowledge. The term R&D refers to three types of activity: basic research, applied research and experimental development. Basic research refers to experimental or theoretical work undertaken primarily to acquire new knowledge of the underlying foundations of phenomena and observable facts, without any particular application or use in view. Applied research refers to original investigation undertaken in order to acquire new knowledge. It is, however, directed primarily towards a specific, practical aim or objective. Experimental development is systematic work, drawing on knowledge gained from research and practical experience and producing additional knowledge, which is directed to producing new products or processes or to improving existing products or processes.
CustomSoftwareDesignAndDevelopmentServices	643	Custom software design and development services	This group comprises software specifically designed and developed for an individual customer, and customization of existing software to meet the specific needs of the customer.
LicensingOfRightsForCommercialUseOfNonFinancialIntangibleAssetsExceptProductsProtectedByCopyright	651	Licensing of rights for commercial use of non-financial intangible assets (except products protected by copyright)	This group comprises licences for the use of non-financial intangible assets, except assets protected by copyrights, to generate revenues.
SupportAndCustomWorkServicesForAgricultureForestryHuntingAndFishing	661	Support and custom work services for agriculture, forestry, hunting and fishing	This group comprises support services for crop production; support services for animal production, hunting and fishing; support services for forestry; and custom work services for forestry.
MiningAndOilAndGasSupportServices	671	Mining and oil and gas support services	This group comprises support services for mining, quarrying, and oil and gas extraction, except exploration.
ConstructionServices	672	Construction services	This group comprises construction services for buildings and engineering works.
ManufacturingServices	681	Manufacturing services	This group comprises fabric weaving and finishing services; printing support services; contract printing services; coating, engraving, heat treating and similar metal processing services; and custom manufacturing services, except printing, and finishing of textiles and metals.
AdvertisingSpaceAndTime	711	Advertising space and time	This group comprises provision of advertising space in newspapers, periodicals and other printed publications, provision of advertising air time on radio and television, and Internet advertising.
AdvertisingPublicRelationsAndRelatedServices	712	Advertising, public relations, and related services	This group comprises exclusive advertising rights, endorsements, and display advertising; advertising intermediary services; direct advertising services; full-service advertising campaigns; advertising creative services; advertising services n.e.c.; and public relations services.
AudioAndVideoProductionServices	721	Audio and video production services	This group comprises audio recording services, copyright administration services, and audiovisual production, post-production and editing services.
LicensingOfRightsForCommercialUseOfProductsProtectedByCopyrightExceptSoftware	722	Licensing of rights for commercial use of products protected by copyright (except software)	This group comprises licences for the use of intellectual property protected by copyrights, except software, to generate revenues.
TelecommunicationsBroadcastingDistributionAndRelatedServices	723	Telecommunications, broadcasting distribution and related services	This group comprises fixed wholesale and retail telecommunications services; fixed wholesale and retail Internet access services; mobile wholesale and retail telecommunications services; cable, satellite, Internet and other fixed or mobile broadcasting distribution services of audiovisual and audio works; and online games, except gambling.
OtherInformationTechnologyItAndInformationServices	751	Other information technology (IT) and information services	This group comprises data processing, hosting and related services, and other information technology (IT) and information services.
FinancialServicesExceptInsurance	761	Financial services (except insurance)	This group comprises financial system regulatory services; account and cash management products; loans and other credit financing products; investment products; financial planning services and trust products for individuals, businesses, institutions (except unincorporated) and governments; and products supporting financial services.
PensionAndLifeInsuranceProducts	762	Pension and life insurance products	This group comprises pension and annuity products; and life insurance products.
OtherInsuranceServices	763	Other insurance services	This group comprises health and accident insurance products; vehicle and property insurance products; other non-life insurance products; reinsurance products; and insurance brokerage and other services related to insurance.
RealEstateServices	764	Real estate services	This group comprises residential rents; rooming and boarding services; non-residential rents; and real estate brokerage and other services related to real estate.
LegalAndAccountingServices	771	Legal and accounting services	This group comprises legal services; and accounting, tax preparation, bookkeeping and payroll services.
ArchitecturalEngineeringAndRelatedServices	772	Architectural, engineering and related services	This group comprises architectural services; engineering services; surveying and mapping services; and other services related to architecture and engineering.
SpecializedDesignServices	773	Specialized design services	This group comprises interior design services; interior decorating services; industrial design services; graphic design services; and fashion, jewellery and footwear design services, and other design services n.e.c.
ComputerSystemsDesignAndRelatedServicesExceptSoftwareDevelopment	774	Computer systems design and related services (except software development)	This group comprises computer network design and development services; computer systems design, development and integration services; information technology (IT) technical consulting services; and information technology (IT) technical support services.
ManagementScientificAndTechnicalConsultingServices	775	Management, scientific and technical consulting services	This group comprises management consulting services; environmental consulting services; and other economic, scientific and technical consulting services.
OtherProfessionalServices	776	Other professional services	This group comprises photographic services; veterinary services; and other professional, scientific and technical services.
AdministrativeAndSupportServices	781	Administrative and support services	This group comprises office administrative services; employment services; business support services; security and investigation services; services for buildings and dwellings; and facilities and other support services.
WaterSewerAndWasteManagementServices	782	Water, sewer and waste management services	This group comprises water delivered by water works and irrigation systems; sewage and dirty water disposal and cleaning services; and waste management and remediation services.
HealthServices	811	Health services	This group comprises various health practitioner services, and medical laboratory, hospital, ambulance and other health care services.
ResidentialAndNursingCareSocialAssistanceAndChildDayCareServices	812	Residential and nursing care, social assistance, and child day-care services	This group comprises residential and nursing care, social assistance, and child day-care services.
EducationServices	821	Education services	This group comprises education, instruction, training programs and services. Also covers sports coaching services.
SportAndLivePerformanceServices	831	Sport and live performance services	This group comprises contract production of live performing arts performances, live sporting events, and copyrighted works; sport and performing arts event organization services; career management and representation services of artists, athletes, entertainers and other public figures.
AdmissionsToEventsPerformancesExhibitionsAndRecreationalAndHeritageInstitutionServices	832	Admissions to events, performances, exhibitions, and recreational and heritage institution services	This group comprises admissions to live sporting events, live performing arts performances and motion picture film exhibitions, as well as recreational services and heritage institution services.
GamblingNetWagers	833	Gambling (net wagers)	This group comprises lotteries; table wagering games; gambling machine products; racing and sporting event gambling products; and Internet gambling products.
PreparedMealsAndBeverages	841	Prepared meals and beverages	This group comprises prepared meals; and alcoholic beverages for immediate consumption.
TravellerAccommodation	842	Traveller accommodation	This group comprises room or unit accommodation services for travellers; and recreational vehicle park and recreational camp services.
TravelArrangementReservationAndPlanningServices	843	Travel arrangement, reservation and planning services	This group comprises reservation services for passenger transportation, cruises, lodging, pre-packaged tours and events; event ticket sales and reservation services, and access to global distribution systems; trip planning services; packaged tours; and other travel arrangement and reservation services.
PersonalAndPersonalCareServices	851	Personal and personal care services	This group comprises hair care and aesthetic services; funeral services; laundry, dry-cleaning and related services; parking services; and other personal and personal care services.
BabysittingAndOtherPrivateHouseholdServices	852	Babysitting and other private household services	This group comprises babysitting services and private household services.
MembershipOrganizationServices	861	Membership organization services	This group comprises provision of services by organizations to members, in exchange for membership dues and similar payments.
PublicAdministrationServices	871	Public administration services	This group comprises services of a governmental nature, that is, services related to the enactment and judicial interpretation of laws and their pursuant regulations, and the administration of programs based on them. Services provided by government that are not governmental in nature are classified to the same service categories as equivalent services provided by the private sector.
