url	ns	type	id	name	description	code	predicate	event	activity	actor	object	inverse	source	vocabulary
https://language.org.ai/Verb/convert	language.org.ai	Verb	convert	convert	To change something into a different form, substance, or state; transform or convert.		converts	converted	converting	Converter	Conversion	convertedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/coordinate	language.org.ai	Verb	coordinate	coordinate	Organizing and harmonizing activities, efforts, or resources across multiple parties		coordinates	coordinated	coordinating	Coordinator	Coordination	coordinatedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/copy	language.org.ai	Verb	copy	copy	To make a duplicate or reproduction of something; replicate or reproduce.		copies	copied	copying	Copier	Copy	copiedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/counsel	language.org.ai	Verb	counsel	counsel	Providing guidance, support, and advice to individuals regarding personal, professional, or emotional matters		counsels	counseled	counseling	Counselor	Counseling	counseledBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/count	language.org.ai	Verb	count	count	Periodic inventory counting (cycle_counting)		counts	counted	counting	Counter	Count	countedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/create	language.org.ai	Verb	create	create	Creating a class-level instance		creates	created	creating	Creator	Creation	createdBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/customize	language.org.ai	Verb	customize	customize	Modify or tailor products or services for specific customer needs		customizes	customized	customizing	Customizer	Customization	customizedBy	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/deactivate	language.org.ai	Verb	deactivate	deactivate	To turn off, disable, or remove from active use; make inactive.		deactivates	deactivated	deactivating	Deactivator	Deactivation	deactivatedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/debug	language.org.ai	Verb	debug	debug	Identifying and resolving errors, defects, or malfunctions in systems, software, or processes		debugs	debugged	debugging	Debugger	Debugging	debuggedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/decide	language.org.ai	Verb	decide	decide	Making a choice or determination among options or alternatives based on analysis and judgment		decides	decided	deciding	Decider	Decision	decidedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/declare	language.org.ai	Verb	declare	declare	To announce, state, or proclaim something formally or officially; make a declaration.		declares	declared	declaring	Declarer	Declaration	declaredBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/decline	language.org.ai	Verb	decline	decline	To politely refuse or reject something; express unwillingness to accept or participate.		declines	declined	declining	Decliner	Decline	declinedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/decommission	language.org.ai	Verb	decommission	decommission	Removing an object from active use, typically after it has reached the end of its operational life.		decommissions	decommissioned	decommissioning	Decommissioner	Decommissioning	decommissionedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/delete	language.org.ai	Verb	delete	delete	To remove, erase, or destroy; eliminate something permanently or temporarily.		deletes	deleted	deleting	Deleter	Deletion	deletedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/deliver	language.org.ai	Verb	deliver	deliver	Transporting and handing over goods to a recipient		delivers	delivered	delivering	Deliverer	Delivery	deliveredBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/demonstrate	language.org.ai	Verb	demonstrate	demonstrate	Showing, proving, or exhibiting something through explanation, illustration, or practical example		demonstrates	demonstrated	demonstrating	Demonstrator	Demonstration	demonstratedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/depart	language.org.ai	Verb	depart	depart	Leaving a location, typically as part of a transportation or logistics operation.		departs	departed	departing	Departer	Departure	departedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/deploy	language.org.ai	Verb	deploy	deploy	Moving or positioning something into active use		deploys	deployed	deploying	Deployer	Deployment	deployedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/design	language.org.ai	Verb	design	design	Creating plans, specifications, or layouts for new products, systems, structures, or processes		designs	designed	designing	Designer	Design	designedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/destroy	language.org.ai	Verb	destroy	destroy	Permanently removing an object from use through destruction or disposal.		destroys	destroyed	destroying	Destroyer	Destruction	destroyedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/determine	language.org.ai	Verb	determine	determine	To establish or discover the exact nature or value of something; to decide or resolve a matter		determines	determined	determining	Determiner	Determination	determinedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/develop	language.org.ai	Verb	develop	develop	To create, improve, or advance something gradually or systematically; to bring something to a more advanced or complete state		develops	developed	developing	Developer	Development	developedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/diagnose	language.org.ai	Verb	diagnose	diagnose	To identify the nature or cause of a problem, disease, or condition through examination and analysis		diagnoses	diagnosed	diagnosing	Diagnostician	Diagnosis	diagnosedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/direct	language.org.ai	Verb	direct	direct	To guide, control, or supervise the actions, activities, or operations of people or processes; to point or aim something toward a target		directs	directed	directing	Director	Direction	directedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/disable	language.org.ai	Verb	disable	disable	Making something inoperative or unavailable		disables	disabled	disabling	Disabler	Disabling	disabledBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/disassemble	language.org.ai	Verb	disassemble	disassemble	Breaking down a finished product into its component parts.		disassembles	disassembled	disassembling	Disassembler	Disassembly	disassembledBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/discontinue	language.org.ai	Verb	discontinue	discontinue	End or stop production or support of a product or service		discontinues	discontinued	discontinuing	Discontinuer	Discontinuation	discontinuedBy	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/discover	language.org.ai	Verb	discover	discover	Finding or learning about something previously unknown		discovers	discovered	discovering	Discoverer	Discovery	discoveredBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/discuss	language.org.ai	Verb	discuss	discuss	To exchange views, ideas, or opinions about a topic; to talk over or debate a subject with others		discusses	discussed	discussing	Discussant	Discussion	discussedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/dispatch	language.org.ai	Verb	dispatch	dispatch	Send out orders, shipments, or personnel to designated locations		dispatches	dispatched	dispatching	Dispatcher	Dispatch	dispatchedBy	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/dispense	language.org.ai	Verb	dispense	dispense	Allocating or distributing goods to recipients, often in measured quantities.		dispenses	dispensed	dispensing	Dispenser	Dispensing	dispensedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/distribute	language.org.ai	Verb	distribute	distribute	Spreading or dividing something among multiple recipients or locations		distributes	distributed	distributing	Distributor	Distribution	distributedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/document	language.org.ai	Verb	document	document	To record, write, or create written evidence or proof of something; to create documentation for reference and records		documents	documented	documenting	Documentarian	Documentation	documentedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/download	language.org.ai	Verb	download	download	Transferring data from a remote source to a local device		downloads	downloaded	downloading	Downloader	Download	downloadedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/draft	language.org.ai	Verb	draft	draft	To prepare a preliminary version of a written document, plan, or design; to create an initial or rough version for review and refinement		drafts	drafted	drafting	Drafter	Draft	draftedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/drive	language.org.ai	Verb	drive	drive	To operate a vehicle; to propel or cause to move forward; to motivate or compel action toward a goal		drives	drove	driving	Driver	Drive	drivenBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/edit	language.org.ai	Verb	edit	edit	Revising or modifying content to correct or improve it		edits	edited	editing	Editor	Editing	editedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/educate	language.org.ai	Verb	educate	educate	Teaching others through instruction and training		educates	educated	educating	Educator	Education	educatedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/enable	language.org.ai	Verb	enable	enable	Making something operational, available, or capable of functioning		enables	enabled	enabling	Enabler	Enabling	enabledBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/encode	language.org.ai	Verb	encode	encode	Writing data to an RFID tag, barcode, or other storage medium.		encodes	encoded	encoding	Encoder	Encoding	encodedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/endorse	language.org.ai	Verb	endorse	endorse	Give approval or permission to; publicly declare support for; recommend as worthy.		endorses	endorsed	endorsing	Endorser	Endorsement	endorsedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/enforce	language.org.ai	Verb	enforce	enforce	Compelling compliance with rules, standards, or requirements		enforces	enforced	enforcing	Enforcer	Enforcement	enforcedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/engage	language.org.ai	Verb	engage	engage	Actively involving others in interaction, communication, or activity		engages	engaged	engaging	Engager	Engagement	engagedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/enter	language.org.ai	Verb	enter	enter	Passing through a portal or boundary, such as entering a facility or geographic location.		enters	entered	entering	Enterer	Entry	enteredBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/escalate	language.org.ai	Verb	escalate	escalate	Raise issues or concerns to higher authority or management levels		escalates	escalated	escalating	Escalator	Escalation	escalatedBy	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/establish	language.org.ai	Verb	establish	establish	Creating, founding, or setting up something new		establishes	established	establishing	Establisher	Establishment	establishedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/estimate	language.org.ai	Verb	estimate	estimate	Judging or calculating approximate values, quantities, or outcomes		estimates	estimated	estimating	Estimator	Estimate	estimatedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/evaluate	language.org.ai	Verb	evaluate	evaluate	Assess or determine the significance, value, or condition of something; appraise or judge.		evaluates	evaluated	evaluating	Evaluator	Evaluation	evaluatedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/examine	language.org.ai	Verb	examine	examine	Inspecting or investigating something carefully and thoroughly		examines	examined	examining	Examiner	Examination	examinedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/execute	language.org.ai	Verb	execute	execute	Carry out or perform a task, plan, or instruction; put into action.		executes	executed	executing	Executor	Execution	executedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/explain	language.org.ai	Verb	explain	explain	Making something clear or understandable through description or discussion		explains	explained	explaining	Explainer	Explanation	explainedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/export	language.org.ai	Verb	export	export	Send out or transfer data, goods, or information to an external location, system, or format.		exports	exported	exporting	Exporter	Export	exportedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/extract	language.org.ai	Verb	extract	extract	Remove, pull out, or obtain something from a location, source, or substance; derive or obtain from text.		extracts	extracted	extracting	Extractor	Extraction	extractedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/facilitate	language.org.ai	Verb	facilitate	facilitate	Making something easier or helping to bring about an outcome		facilitates	facilitated	facilitating	Facilitator	Facilitation	facilitatedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/fail	language.org.ai	Verb	fail	fail	Be unsuccessful in achieving an objective or task; cease to function or work.		fails	failed	failing	Failer	Failure	failedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/filter	language.org.ai	Verb	filter	filter	Remove impurities or unwanted elements from something; select or distinguish items based on criteria.		filters	filtered	filtering	Filterer	Filter	filteredBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/finalize	language.org.ai	Verb	finalize	finalize	Complete and put into final form; make definite or conclusive; settle finally.		finalizes	finalized	finalizing	Finalizer	Finalization	finalizedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/find	language.org.ai	Verb	find	find	Locate, discover, or obtain something that was sought; determine or establish the existence or location of.		finds	found	finding	Finder	Finding	foundBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/forecast	language.org.ai	Verb	forecast	forecast	Predicting or estimating future trends, events, or conditions		forecasts	forecasted	forecasting	Forecaster	Forecast	forecastedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/formulate	language.org.ai	Verb	formulate	formulate	Creating or developing a specific formula, plan, or theory		formulates	formulated	formulating	Formulator	Formulation	formulatedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/fulfill	language.org.ai	Verb	fulfill	fulfill	Complete orders and deliver products or services to customers		fulfills	fulfilled	fulfilling	Fulfiller	Fulfillment	fulfilledBy	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/generate	language.org.ai	Verb	generate	generate	Producing or creating something from raw materials or processes		generates	generated	generating	Generator	Generation	generatedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/guide	language.org.ai	Verb	guide	guide	Directing, leading, or providing direction to someone or something		guides	guided	guiding	Guide	Guidance	guidedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/handle	language.org.ai	Verb	handle	handle	Managing, dealing with, or taking care of something or someone		handles	handled	handling	Handler	Handling	handledBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/hold	language.org.ai	Verb	hold	hold	Retaining possession of goods or objects, typically in storage.		holds	held	holding	Holder	Holding	heldBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/identify	language.org.ai	Verb	identify	identify	Recognizing, naming, or determining the nature of something		identifies	identified	identifying	Identifier	Identification	identifiedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/implement	language.org.ai	Verb	implement	implement	Putting a plan, system, or decision into action or effect		implements	implemented	implementing	Implementer	Implementation	implementedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/improve	language.org.ai	Verb	improve	improve	Making something better or enhancing quality, performance, or value		improves	improved	improving	Improver	Improvement	improvedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/inform	language.org.ai	Verb	inform	inform	Providing information, knowledge, or communication to other people or systems		informs	informed	informing	Informer	Information	informedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/initiate	language.org.ai	Verb	initiate	initiate	Starting or beginning a process, action, project, or sequence of events		initiates	initiated	initiating	Initiator	Initiation	initiatedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/innovate	language.org.ai	Verb	innovate	innovate	Creating or introducing new ideas, methods, products, or approaches		innovates	innovated	innovating	Innovator	Innovation	innovatedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/inspect	language.org.ai	Verb	inspect	inspect	Examining goods or materials for quality, compliance, or condition verification		inspects	inspected	inspecting	Inspector	Inspection	inspectedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/install	language.org.ai	Verb	install	install	Putting equipment or products into service or operational use		installs	installed	installing	Installer	Installation	installedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/integrate	language.org.ai	Verb	integrate	integrate	Combining or coordinating separate elements into a unified or cohesive whole		integrates	integrated	integrating	Integrator	Integration	integratedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/interpret	language.org.ai	Verb	interpret	interpret	Explaining the meaning or significance of information, data, language, or events		interprets	interpreted	interpreting	Interpreter	Interpretation	interpretedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/interview	language.org.ai	Verb	interview	interview	Conducting a formal conversation or questioning to gather information or assess candidates		interviews	interviewed	interviewing	Interviewer	Interview	interviewedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/investigate	language.org.ai	Verb	investigate	investigate	Conducting a systematic and detailed examination to discover facts or solve a problem		investigates	investigated	investigating	Investigator	Investigation	investigatedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/invoice	language.org.ai	Verb	invoice	invoice	Create and send billing documents for goods or services delivered		invoices	invoiced	invoicing	Invoicer	Invoice	invoicedBy	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/kill	language.org.ai	Verb	kill	kill	Permanently disabling or deactivating an RFID tag or tracking device		kills	killed	killing	Killer	Killing	killedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/lead	language.org.ai	Verb	lead	lead	Guiding, directing, or influencing a group toward a goal or objective		leads	led	leading	Leader	Leadership	ledBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/learn	language.org.ai	Verb	learn	learn	Acquiring knowledge, skills, or understanding through study, experience, or instruction		learns	learned	learning	Learner	Learning	learnedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/liquidate	language.org.ai	Verb	liquidate	liquidate	Sell off remaining inventory or assets to convert to cash		liquidates	liquidated	liquidating	Liquidator	Liquidation	liquidatedBy	https://www.apqc.org/	APQC PCF 7.0
