taskId	occupation
GeneralManagers.set.CreditTerms.for.GoodsBased.on.Forecasts.of.CustomerDemand	General and Operations Managers
GeneralManagers.set.CreditTerms.for.Services	General and Operations Managers
OperationsManagers.set.PricesTerms.for.GoodsBased.on.Forecasts.of.CustomerDemand	General and Operations Managers
OperationsManagers.set.PricesTerms.for.Services	General and Operations Managers
OperationsManagers.set.CreditTerms.for.GoodsBased.on.Forecasts.of.CustomerDemand	General and Operations Managers
OperationsManagers.set.CreditTerms.for.Services	General and Operations Managers
GeneralManagers.perform.SalesFloorWork	General and Operations Managers
GeneralManagers.perform.TakingInventory	General and Operations Managers
GeneralManagers.perform.AssistingCustomers	General and Operations Managers
GeneralManagers.perform.TakingInventory	General and Operations Managers
OperationsManagers.perform.SalesFloorWork	General and Operations Managers
OperationsManagers.perform.TakingInventory	General and Operations Managers
OperationsManagers.perform.AssistingCustomers	General and Operations Managers
OperationsManagers.perform.TakingInventory	General and Operations Managers
GeneralManagers.develop.Product	General and Operations Managers
GeneralManagers.develop.SalesPromotions	General and Operations Managers
GeneralManagers.implement.Product	General and Operations Managers
GeneralManagers.implement.SalesPromotions	General and Operations Managers
OperationsManagers.develop.Product	General and Operations Managers
OperationsManagers.develop.SalesPromotions	General and Operations Managers
OperationsManagers.implement.Product	General and Operations Managers
OperationsManagers.implement.SalesPromotions	General and Operations Managers
GeneralManagers.direct.Non	General and Operations Managers
GeneralManagers.direct.Non	General and Operations Managers
OperationsManagers.direct.Non	General and Operations Managers
OperationsManagers.direct.Non	General and Operations Managers
GeneralManagers.implement.EnvironmentalManagementProgramsAddressingIssuesSuchAsRecycling	General and Operations Managers
GeneralManagers.implement.WasteManagement	General and Operations Managers
GeneralManagers.implement.SustainabilityProgramsAddressingIssuesSuchAsRecycling	General and Operations Managers
GeneralManagers.implement.WasteManagement	General and Operations Managers
GeneralManagers.oversee.EnvironmentalManagementProgramsAddressingIssuesSuchAsRecycling	General and Operations Managers
GeneralManagers.oversee.WasteManagement	General and Operations Managers
GeneralManagers.oversee.SustainabilityProgramsAddressingIssuesSuchAsRecycling	General and Operations Managers
GeneralManagers.oversee.WasteManagement	General and Operations Managers
OperationsManagers.implement.EnvironmentalManagementProgramsAddressingIssuesSuchAsRecycling	General and Operations Managers
OperationsManagers.implement.WasteManagement	General and Operations Managers
OperationsManagers.implement.SustainabilityProgramsAddressingIssuesSuchAsRecycling	General and Operations Managers
OperationsManagers.implement.WasteManagement	General and Operations Managers
OperationsManagers.oversee.EnvironmentalManagementProgramsAddressingIssuesSuchAsRecycling	General and Operations Managers
OperationsManagers.oversee.WasteManagement	General and Operations Managers
OperationsManagers.oversee.SustainabilityProgramsAddressingIssuesSuchAsRecycling	General and Operations Managers
OperationsManagers.oversee.WasteManagement	General and Operations Managers
GeneralManagers.plan.StoreLayoutsDisplays	General and Operations Managers
GeneralManagers.plan.DesignDisplays	General and Operations Managers
OperationsManagers.plan.StoreLayoutsDisplays	General and Operations Managers
OperationsManagers.plan.DesignDisplays	General and Operations Managers
GeneralManagers.recommend.Locations.for.NewFacilities	General and Operations Managers
GeneralManagers.recommend.Locations.for.OverseeRemodelingRenovating.of.CurrentFacilities	General and Operations Managers
OperationsManagers.recommend.Locations.for.NewFacilities	General and Operations Managers
OperationsManagers.recommend.Locations.for.OverseeRemodelingRenovating.of.CurrentFacilities	General and Operations Managers
Legislators.analyze.LocalNationalImplications.of.ProposedLegislation	Legislators
Legislators.understand.LocalNationalImplications.of.ProposedLegislation	Legislators
Legislators.nominees.to.LeadershipPosts	Legislators
Legislators.confer.with.Colleagues.to.FormulatePositionsPertaining.to.PendingIssues	Legislators
Legislators.confer.with.Colleagues.to.StrategiesPertaining.to.PendingIssues	Legislators
Legislators.merits.of.ProposalsBillAmendmentsDuringFloorSessions	Legislators
Legislators.develop.Expertise.in.SubjectMattersRelated.to.CommitteeAssignments	Legislators
Legislators.testimony.from.Constituents	Legislators
Legislators.keep.Abreast.of.IssuesAffectingConstituents.by.MakingPersonalVisitsCalls	Legislators
Legislators.keep.Abreast.of.PhoneCalls	Legislators
Legislators.maintain.Knowledge.of.RelevantNationalCurrentEvents	Legislators
Legislators.maintain.Knowledge.of.InternationalCurrentEvents	Legislators
Legislators.make.DecisionsBalancePerspectives.of.PrivateCitizens	Legislators
Legislators.make.DecisionsBalancePerspectives.of.PartyLeaders	Legislators
Legislators.negotiate.with.Colleagues.of.OtherPoliticalParties.in.Order.to.ReconcileDifferingInterests	Legislators
Legislators.negotiate.with.Colleagues.of.CreatePoliciesAgreements	Legislators
Legislators.negotiate.Members.of.OtherPoliticalParties.in.Order.to.ReconcileDifferingInterests	Legislators
Legislators.negotiate.Members.of.CreatePoliciesAgreements	Legislators
Legislators.prepare.Drafts.of.Amendments	Legislators
Legislators.prepare.Drafts.of.Procedures	Legislators
Legislators.read.Concerns.of.ConstituentsGeneralPublicDetermineIfGovernmentalActionIsNecessary	Legislators
Legislators.review.Concerns.of.ConstituentsGeneralPublicDetermineIfGovernmentalActionIsNecessary	Legislators
Legislators.parties.in.Negotiations.with.PoliticalExecutivesMembers.of.OtherParties	Legislators
Legislators.review.Bills.in.Committee	Legislators
Legislators.review.Bills.in.MakeRecommendations.about.Future	Legislators
Legislators.seek.FederalFunding.for.LocalProjects	Legislators
Legislators.seek.FederalFunding.for.Programs	Legislators
Legislators.serve.on.Commissions	Legislators
Legislators.serve.on.Commissions	Legislators
Legislators.serve.Committees.in.Order.to.ExamineSpecializedAreasAction	Legislators
Legislators.serve.Committees.in.RecommendAction	Legislators
Legislators.motions	Legislators
Legislators.write.Statements.for.CongressionalRecord	Legislators
Legislators.prepare.Statements.for.CongressionalRecord	Legislators
Legislators.deliver.Statements.for.CongressionalRecord	Legislators
Legislators.alert.Constituents.of.GovernmentActions.by.Way.of.Newsletters	Legislators
Legislators.alert.Constituents.of.Programs.by.Way.of.Newsletters	Legislators
Legislators.receptions	Legislators
Legislators.conduct.HeadCounts.to.HelpPredictOutcome.of.UpcomingVotes	Legislators
Legislators.determine.CampaignStrategies.for.MediaAdvertising	Legislators
Legislators.determine.CampaignStrategies.for.PublicAppearances	Legislators
Legislators.encourage.PartyCandidates.for.PoliticalOffice	Legislators
Legislators.support.PartyCandidates.for.PoliticalOffice	Legislators
Legislators.establish.PersonalOffices.in.LocalDistrictsManageOfficeStaff	Legislators
Legislators.establish.PersonalOffices.in.States	Legislators
Legislators.evaluate.Structure	Legislators
Legislators.evaluate.Performance.of.GovernmentAgencies	Legislators
Legislators.organize.CampaignOrganizationsFundraisers	Legislators
Legislators.maintain.CampaignOrganizationsFundraisers	Legislators
Legislators.oversee.ExpenseAllowances	Legislators
Legislators.promote.Industries.of.ElectoralDistricts	Legislators
Legislators.promote.Products.of.ElectoralDistricts	Legislators
Legislators.government.at.Local	Legislators
Legislators.speak.to.Students.to.EncourageDevelopment.of.FuturePoliticalLeaders	Legislators
Legislators.speak.to.Students.to.SupportDevelopment.of.FuturePoliticalLeaders	Legislators
AdvertisingManagers.plan.AdvertisingPromotionalMaterial.to.IncreaseSales.of.ProductsServices	Advertising and Promotions Managers
AdvertisingManagers.prepare.AdvertisingPromotionalMaterial.to.IncreaseSales.of.ProductsServices	Advertising and Promotions Managers
PromotionsManagers.plan.AdvertisingPromotionalMaterial.to.IncreaseSales.of.ProductsServices	Advertising and Promotions Managers
PromotionsManagers.prepare.AdvertisingPromotionalMaterial.to.IncreaseSales.of.ProductsServices	Advertising and Promotions Managers
AdvertisingManagers.inspect.LayoutsCopy	Advertising and Promotions Managers
AdvertisingManagers.inspect.OtherPromotionalMaterial.for.Adherence.to.Specifications	Advertising and Promotions Managers
AdvertisingManagers.inspect.EditScripts	Advertising and Promotions Managers
AdvertisingManagers.inspect.OtherPromotionalMaterial.for.Adherence.to.Specifications	Advertising and Promotions Managers
AdvertisingManagers.inspect.AdvertisingCopy	Advertising and Promotions Managers
AdvertisingManagers.inspect.OtherPromotionalMaterial.for.Adherence.to.Specifications	Advertising and Promotions Managers
AdvertisingManagers.inspect.EditScripts	Advertising and Promotions Managers
AdvertisingManagers.inspect.OtherPromotionalMaterial.for.Adherence.to.Specifications	Advertising and Promotions Managers
PromotionsManagers.inspect.LayoutsCopy	Advertising and Promotions Managers
PromotionsManagers.inspect.OtherPromotionalMaterial.for.Adherence.to.Specifications	Advertising and Promotions Managers
PromotionsManagers.inspect.EditScripts	Advertising and Promotions Managers
PromotionsManagers.inspect.OtherPromotionalMaterial.for.Adherence.to.Specifications	Advertising and Promotions Managers
PromotionsManagers.inspect.AdvertisingCopy	Advertising and Promotions Managers
PromotionsManagers.inspect.OtherPromotionalMaterial.for.Adherence.to.Specifications	Advertising and Promotions Managers
PromotionsManagers.inspect.EditScripts	Advertising and Promotions Managers
PromotionsManagers.inspect.OtherPromotionalMaterial.for.Adherence.to.Specifications	Advertising and Promotions Managers
AdvertisingManagers.confer.with.DepartmentHeads.to.DiscussTopicsSuchAsContracts	Advertising and Promotions Managers
AdvertisingManagers.confer.with.DepartmentHeads.to.Product.to.BeAdvertised	Advertising and Promotions Managers
AdvertisingManagers.confer.Staff.to.DiscussTopicsSuchAsContracts	Advertising and Promotions Managers
AdvertisingManagers.confer.Staff.to.Product.to.BeAdvertised	Advertising and Promotions Managers
PromotionsManagers.confer.with.DepartmentHeads.to.DiscussTopicsSuchAsContracts	Advertising and Promotions Managers
PromotionsManagers.confer.with.DepartmentHeads.to.Product.to.BeAdvertised	Advertising and Promotions Managers
PromotionsManagers.confer.Staff.to.DiscussTopicsSuchAsContracts	Advertising and Promotions Managers
PromotionsManagers.confer.Staff.to.Product.to.BeAdvertised	Advertising and Promotions Managers
AdvertisingManagers.coordinate.with.Media.to.DisseminateAdvertising	Advertising and Promotions Managers
PromotionsManagers.coordinate.with.Media.to.DisseminateAdvertising	Advertising and Promotions Managers
AdvertisingManagers.coordinate.Activities.of.Departments	Advertising and Promotions Managers
AdvertisingManagers.coordinate.Activities.of.Research	Advertising and Promotions Managers
PromotionsManagers.coordinate.Activities.of.Departments	Advertising and Promotions Managers
PromotionsManagers.coordinate.Activities.of.Research	Advertising and Promotions Managers
AdvertisingManagers.plan.AdvertisingPoliciesStrategies.for.Organizations	Advertising and Promotions Managers
AdvertisingManagers.execute.AdvertisingPoliciesStrategies.for.Organizations	Advertising and Promotions Managers
PromotionsManagers.plan.AdvertisingPoliciesStrategies.for.Organizations	Advertising and Promotions Managers
PromotionsManagers.execute.AdvertisingPoliciesStrategies.for.Organizations	Advertising and Promotions Managers
AdvertisingManagers.direct.Mobilization.of.CampaignTeam.to.AdvanceCampaignGoals	Advertising and Promotions Managers
AdvertisingManagers.motivate.Mobilization.of.CampaignTeam.to.AdvanceCampaignGoals	Advertising and Promotions Managers
AdvertisingManagers.monitor.Mobilization.of.CampaignTeam.to.AdvanceCampaignGoals	Advertising and Promotions Managers
