jobId	occupationId
CoffeeShop	Hosts_and_Hostesses,_Restaurant,_Lounge,_and_Coffee_Shop
CommercialDivers	Commercial_Divers
CommercialPilots	Commercial_Pilots
CommunicationEquipmentWorkersAllOther	Media_and_Communication_Equipment_Workers,_All_Other
CommunicationsEquipmentOperatorsAllOther	Communications_Equipment_Operators,_All_Other
CommunicationsTeachersPostsecondary	Communications_Teachers,_Postsecondary
CommunicationWorkersAllOther	Media_and_Communication_Workers,_All_Other
CommunityAssociationManagers	Property,_Real_Estate,_and_Community_Association_Managers
CommunityHealthWorkers	Community_Health_Workers
CommunityServiceManagers	Social_and_Community_Service_Managers
ComplianceManagers	Compliance_Managers
ComplianceOfficers	Compliance_Officers
Composers	Music_Directors_and_Composers
Computer	Electronics_Engineers,_Except_Computer
Computer	Office_Machine_Operators,_Except_Computer
ComputerHardwareEngineers	Computer_Hardware_Engineers
ComputerNetworkArchitects	Computer_Network_Architects
ComputerNetworkSupportSpecialists	Computer_Network_Support_Specialists
ComputerNumericallyControlledToolOperators	Computer_Numerically_Controlled_Tool_Operators
ComputerNumericallyControlledToolProgrammers	Computer_Numerically_Controlled_Tool_Programmers
ComputerOccupationsAllOther	Computer_Occupations,_All_Other
ComputerProgrammers	Computer_Programmers
ComputerScienceTeachersPostsecondary	Computer_Science_Teachers,_Postsecondary
ComputerSystemsAdministrators	Network_and_Computer_Systems_Administrators
ComputerSystemsAnalysts	Computer_Systems_Analysts
ComputerSystemsEngineersArchitects	Computer_Systems_Engineers_Architects
ComputerUserSupportSpecialists	Computer_User_Support_Specialists
Concierges	Concierges
Conciliators	Arbitrators,_Mediators,_and_Conciliators
ConcreteFinishers	Cement_Masons_and_Concrete_Finishers
ConservationScienceTeachersPostsecondary	Forestry_and_Conservation_Science_Teachers,_Postsecondary
ConservationScientists	Conservation_Scientists
ConservationTechnicians	Forest_and_Conservation_Technicians
ConservationWorkers	Forest_and_Conservation_Workers
Conservators	Museum_Technicians_and_Conservators
ConstructionLaborers	Construction_Laborers
ConstructionManagers	Construction_Managers
ConsumerSciencesTeachersPostsecondary	Family_and_Consumer_Sciences_Teachers,_Postsecondary
ContinuousMiningMachineOperators	Continuous_Mining_Machine_Operators
ControlCenterOfficers	Command_and_Control_Center_Officers
ControlCenterSpecialists	Command_and_Control_Center_Specialists
Controllers	Treasurers_and_Controllers
CooksAllOther	Cooks,_All_Other
CooksFastFood	Cooks,_Fast_Food
CooksPrivateHousehold	Cooks,_Private_Household
CooksRestaurant	Cooks,_Restaurant
CooksShortOrder	Cooks,_Short_Order
CopyMarkers	Proofreaders_and_Copy_Markers
Coremakers	Foundry_Mold_and_Coremakers
Coroners	Coroners
CorrectionalTreatmentSpecialists	Probation_Officers_and_Correctional_Treatment_Specialists
CorrespondenceClerks	Correspondence_Clerks
Cosmetologists	Hairdressers,_Hairstylists,_and_Cosmetologists
CostEstimators	Cost_Estimators
CostumeAttendants	Costume_Attendants
CounselingPsychologists	Clinical_and_Counseling_Psychologists
CounselorsAllOther	Counselors,_All_Other
CounterWorkers	Fast_Food_and_Counter_Workers
CraftArtists	Craft_Artists
CreativeWriters	Poets,_Lyricists_and_Creative_Writers
CreditAnalysts	Credit_Analysts
CreditCounselors	Credit_Counselors
CrematoryOperators	Crematory_Operators
CrewMembersAllOther	Military_Enlisted_Tactical_Operations_and_Air_Weapons_Specialists_and_Crew_Members,_All_Other
CriminalInvestigators	Detectives_and_Criminal_Investigators
CriticalCareNurses	Critical_Care_Nurses
CulturalStudiesTeachersPostsecondary	Area,_Ethnic,_and_Cultural_Studies_Teachers,_Postsecondary
Curators	Curators
CustomerServiceRepresentatives	Customer_Service_Representatives
CustomsBrokers	Customs_Brokers
CustomSewers	Tailors,_Dressmakers,_and_Custom_Sewers
CytogeneticTechnologists	Cytogenetic_Technologists
Cytotechnologists	Cytotechnologists
Dancers	Dancers
DatabaseAdministrators	Database_Administrators
DatabaseArchitects	Database_Architects
DataEntryKeyers	Data_Entry_Keyers
DataScientists	Data_Scientists
DataWarehousingSpecialists	Data_Warehousing_Specialists
Daycare	Education_and_Childcare_Administrators,_Preschool_and_Daycare
DecoratingWorkers	Painting,_Coating,_and_Decorating_Workers
DentalAssistants	Dental_Assistants
DentalHygienists	Dental_Hygienists
DentalLaboratoryTechnicians	Dental_Laboratory_Technicians
DentistsAllOtherSpecialists	Dentists,_All_Other_Specialists
DentistsGeneral	Dentists,_General
Dermatologists	Dermatologists
DesignersAllOther	Designers,_All_Other
DesktopPublishers	Desktop_Publishers
Detectives	First-Line_Supervisors_of_Police_and_Detectives
DevelopmentManagers	Training_and_Development_Managers
DevelopmentSpecialists	Training_and_Development_Specialists
DiagnosticMedicalSonographers	Diagnostic_Medical_Sonographers
DiamondWorkers	Gem_and_Diamond_Workers
DieMakers	Tool_and_Die_Makers
DieselEngineSpecialists	Bus_and_Truck_Mechanics_and_Diesel_Engine_Specialists
DieteticTechnicians	Dietetic_Technicians
DigitalForensicsAnalysts	Digital_Forensics_Analysts
DigitalInterfaceDesigners	Web_and_Digital_Interface_Designers
Directors	Producers_and_Directors
Dishwashers	Dishwashers
Dispatchers	Power_Distributors_and_Dispatchers
DistributionManagers	Transportation,_Storage,_and_Distribution_Managers
DocumentManagementSpecialists	Document_Management_Specialists
DraftersAllOther	Drafters,_All_Other
DraftersAllOther	Engineering_Technologists_and_Technicians,_Except_Drafters,_All_Other
DraglineOperatorsSurfaceMining	Excavating_and_Loading_Machine_and_Dragline_Operators,_Surface_Mining
DredgeOperators	Dredge_Operators
DressingRoomAttendants	Locker_Room,_Coatroom,_and_Dressing_Room_Attendants
DriverSalesWorkers	Driver_Sales_Workers
DryCleaningWorkers	Laundry_and_Dry-Cleaning_Workers
EconomicsTeachersPostsecondary	Economics_Teachers,_Postsecondary
Economists	Economists
Editors	Editors
Education	Directors,_Religious_Activities_and_Education
EducationAdministratorsAllOther	Education_Administrators,_All_Other
EducationAdministratorsKindergartenThroughSecondary	Education_Administrators,_Kindergarten_through_Secondary
EducationAdministratorsPostsecondary	Education_Administrators,_Postsecondary
EducationTeachersPostsecondary	Education_Teachers,_Postsecondary
ElectricalEngineers	Electrical_Engineers
ElectricalRepairers	Electrical_and_Electronics_Repairers,_Commercial_and_Industrial_Equipment
Electricians	Electricians
ElectromechanicalEquipmentAssemblers	Electromechanical_Equipment_Assemblers
ElectronicEquipmentAssemblers	Electrical_and_Electronic_Equipment_Assemblers
ElectronicsDrafters	Electrical_and_Electronics_Drafters
EligibilityInterviewersGovernmentPrograms	Eligibility_Interviewers,_Government_Programs
Embalmers	Embalmers
EmergencyManagementDirectors	Emergency_Management_Directors
EmergencyMedicalTechnicians	Emergency_Medical_Technicians
EmergencyMedicalTechnicians	Ambulance_Drivers_and_Attendants,_Except_Emergency_Medical_Technicians
EmergencyMedicinePhysicians	Emergency_Medicine_Physicians
EndoscopyTechnicians	Endoscopy_Technicians
EnergyAuditors	Energy_Auditors
EngineeringManagers	Architectural_and_Engineering_Managers
EngineeringTeachersPostsecondary	Engineering_Teachers,_Postsecondary
EngineersAllOther	Engineers,_All_Other
Engines	Mobile_Heavy_Equipment_Mechanics,_Except_Engines
Engravers	Etchers_and_Engravers
EnvironmentalComplianceInspectors	Environmental_Compliance_Inspectors
EnvironmentalEconomists	Environmental_Economists
EnvironmentalEngineers	Environmental_Engineers
EnvironmentalRestorationPlanners	Environmental_Restoration_Planners
EnvironmentalScienceTeachersPostsecondary	Environmental_Science_Teachers,_Postsecondary
EnvironmentalScientists	Environmental_Scientists_and_Specialists,_Including_Health
Epidemiologists	Epidemiologists
Epidemiologists	Medical_Scientists,_Except_Epidemiologists
Equipment	Cleaners_of_Vehicles_and_Equipment
EquipmentRepairersAllOther	Precision_Instrument_and_Equipment_Repairers,_All_Other
Ergonomists	Human_Factors_Engineers_and_Ergonomists
Escorts	Tour_Guides_and_Escorts
ESLInstructors	Adult_Basic_Education,_Adult_Secondary_Education,_and_English_as_a_Second_Language_Instructors
EventPlanners	Meeting,_Convention,_and_Event_Planners
Executive	Secretaries_and_Administrative_Assistants,_Except_Legal,_Medical,_and_Executive
ExecutiveAdministrativeAssistants	Executive_Secretaries_and_Executive_Administrative_Assistants
ExercisePhysiologists	Exercise_Physiologists
ExhibitDesigners	Set_and_Exhibit_Designers
ExpeditingClerks	Production,_Planning,_and_Expediting_Clerks
ExtractionWorkers	First-Line_Supervisors_of_Construction_Trades_and_Extraction_Workers
ExtractionWorkersAllOther	Extraction_Workers,_All_Other
ExtrudingMachineOperators	Extruding_and_Forming_Machine_Setters,_Operators,_and_Tenders,_Synthetic_and_Glass_Fibers
Fabricators	Fiberglass_Laminators_and_Fabricators
FabricatorsAllOther	Assemblers_and_Fabricators,_All_Other
FacilitiesManagers	Facilities_Managers
Fallers	Fallers
FamilyMedicinePhysicians	Family_Medicine_Physicians
FamilyTherapists	Marriage_and_Family_Therapists
FarmLaborContractors	Farm_Labor_Contractors
FarmProducts	Wholesale_and_Retail_Buyers,_Except_Farm_Products
FarmProducts	Purchasing_Agents,_Except_Wholesale,_Retail,_and_Farm_Products
FashionDesigners	Fashion_Designers
FenceErectors	Fence_Erectors
FileClerks	File_Clerks
Film	Camera_Operators,_Television,_Video,_and_Film
FinancialClerksAllOther	Financial_Clerks,_All_Other
FinancialExaminers	Financial_Examiners
FinancialManagers	Financial_Managers
FinancialQuantitativeAnalysts	Financial_Quantitative_Analysts
FinancialRiskSpecialists	Financial_Risk_Specialists
FinancialServicesSalesAgents	Securities,_Commodities,_and_Financial_Services_Sales_Agents
FinancialSpecialistsAllOther	Financial_Specialists,_All_Other
Finishers	Floor_Sanders_and_Finishers
Finishers	Terrazzo_Workers_and_Finishers
Finishers	Coil_Winders,_Tapers,_and_Finishers
Finishers	Glass_Blowers,_Molders,_Benders,_and_Finishers
FinishingWorkers	Print_Binding_and_Finishing_Workers
FireAlarmSystemsInstallers	Security_and_Fire_Alarm_Systems_Installers
Firefighters	Firefighters
FirstLineSupervisorsOfAirCrewMembers	First-Line_Supervisors_of_Air_Crew_Members
FirstLineSupervisorsOfAllOtherTacticalOperationsSpecialists	First-Line_Supervisors_of_All_Other_Tactical_Operations_Specialists
FirstLineSupervisorsOfCorrectionalOfficers	First-Line_Supervisors_of_Correctional_Officers
FirstLineSupervisorsOfGamblingServicesWorkers	First-Line_Supervisors_of_Gambling_Services_Workers
FirstLineSupervisorsOfNonRetailSalesWorkers	First-Line_Supervisors_of_Non-Retail_Sales_Workers
FirstLineSupervisorsOfPassengerAttendants	First-Line_Supervisors_of_Passenger_Attendants
FirstLineSupervisorsOfPersonalServiceWorkers	First-Line_Supervisors_of_Personal_Service_Workers
FirstLineSupervisorsOfProtectiveServiceWorkersAllOther	First-Line_Supervisors_of_Protective_Service_Workers,_All_Other
FirstLineSupervisorsOfRetailSalesWorkers	First-Line_Supervisors_of_Retail_Sales_Workers
FirstLineSupervisorsOfSecurityWorkers	First-Line_Supervisors_of_Security_Workers
FirstLineSupervisorsOfTransportationWorkersAllOther	First-Line_Supervisors_of_Transportation_Workers,_All_Other
FirstLineSupervisorsOfWeaponsSpecialistsCrewMembers	First-Line_Supervisors_of_Weapons_Specialists_Crew_Members
FitnessStudiesTeachersPostsecondary	Recreation_and_Fitness_Studies_Teachers,_Postsecondary
Fitters	Structural_Metal_Fabricators_and_Fitters
Flaggers	Crossing_Guards_and_Flaggers
FlightAttendants	Flight_Attendants
FlightEngineers	Airline_Pilots,_Copilots,_and_Flight_Engineers
FloralDesigners	Floral_Designers
FoodBatchmakers	Food_Batchmakers
FoodPreparationWorkers	Food_Preparation_Workers
FoodProcessingWorkersAllOther	Food_Processing_Workers,_All_Other
FoodScienceTechnicians	Food_Science_Technicians
FoodServersNonrestaurant	Food_Servers,_Nonrestaurant
FoodServiceManagers	Food_Service_Managers
ForeignLanguageTeachers	Foreign_Language_and_Literature_Teachers,_Postsecondary
ForensicScienceTechnicians	Forensic_Science_Technicians
Foresters	Foresters
ForestryWorkers	First-Line_Supervisors_of_Farming,_Fishing,_and_Forestry_Workers
FreightAgents	Cargo_and_Freight_Agents
FreightForwarders	Freight_Forwarders
FuelCellEngineers	Fuel_Cell_Engineers
Fundraisers	Fundraisers
FundraisingManagers	Fundraising_Managers
FuneralArrangers	Morticians,_Undertakers,_and_Funeral_Arrangers
FuneralAttendants	Funeral_Attendants
FuneralHomeManagers	Funeral_Home_Managers
FurnishingsWorkersAllOther	Textile,_Apparel,_and_Furnishings_Workers,_All_Other
FurnitureFinishers	Furniture_Finishers
Gambling	Entertainment_and_Recreation_Managers,_Except_Gambling
GamblingCageWorkers	Gambling_Cage_Workers
GamblingDealers	Gambling_Dealers
GamblingInvestigators	Gambling_Surveillance_Officers_and_Gambling_Investigators
GamblingManagers	Gambling_Managers
GamblingServices	First-Line_Supervisors_of_Entertainment_and_Recreation_Workers,_Except_Gambling_Services
GamblingServiceWorkersAllOther	Gambling_Service_Workers,_All_Other
GameWardens	Fish_and_Game_Wardens
Gas	Derrick_Operators,_Oil_and_Gas
Gas	Rotary_Drill_Operators,_Oil_and_Gas
Gas	Service_Unit_Operators,_Oil_and_Gas
Gas	Earth_Drillers,_Except_Oil_and_Gas
Gas	Roustabouts,_Oil_and_Gas
GasPlantOperators	Gas_Plant_Operators
GasPumpingStationOperators	Gas_Compressor_and_Gas_Pumping_Station_Operators
Gaugers	Petroleum_Pump_System_Operators,_Refinery_Operators,_and_Gaugers
GeneralInternalMedicinePhysicians	General_Internal_Medicine_Physicians
GeneticCounselors	Genetic_Counselors
Geneticists	Geneticists
GeodeticSurveyors	Geodetic_Surveyors
Geographers	Geoscientists,_Except_Hydrologists_and_Geographers
Geographers	Geographers
GeographyTeachersPostsecondary	Geography_Teachers,_Postsecondary
GeothermalProductionManagers	Geothermal_Production_Managers
GeothermalTechnicians	Geothermal_Technicians
Glaziers	Glaziers
GraphicDesigners	Graphic_Designers
Greenhouse	Farmworkers_and_Laborers,_Crop,_Nursery,_and_Greenhouse
GroundskeepingWorkers	First-Line_Supervisors_of_Landscaping,_Lawn_Service,_and_Groundskeeping_Workers
GroundskeepingWorkers	Landscaping_and_Groundskeeping_Workers
GroundsMaintenanceWorkersAllOther	Grounds_Maintenance_Workers,_All_Other
GroupFitnessInstructors	Exercise_Trainers_and_Group_Fitness_Instructors
Gynecologists	Obstetricians_and_Gynecologists
HardTiles	Floor_Layers,_Except_Carpet,_Wood,_and_Hard_Tiles
HazardousMaterialsRemovalWorkers	Hazardous_Materials_Removal_Workers
HeadCooks	Chefs_and_Head_Cooks
Health	Environmental_Science_and_Protection_Technicians,_Including_Health
HealthcareSocialWorkers	Healthcare_Social_Workers
HealthcareSupportWorkersAllOther	Healthcare_Support_Workers,_All_Other
HealthEducationSpecialists	Health_Education_Specialists
HealthInformaticsSpecialists	Health_Informatics_Specialists
HealthServicesManagers	Medical_and_Health_Services_Managers
HealthSpecialtiesTeachersPostsecondary	Health_Specialties_Teachers,_Postsecondary
HearingAidSpecialists	Hearing_Aid_Specialists
HearingOfficers	Administrative_Law_Judges,_Adjudicators,_and_Hearing_Officers
HelpersCarpenters	Helpers--Carpenters
HelpersConstructionTradesAllOther	Helpers,_Construction_Trades,_All_Other
HelpersElectricians	Helpers--Electricians
HelpersExtractionWorkers	Helpers--Extraction_Workers
HelpersProductionWorkers	Helpers--Production_Workers
HelpersRoofers	Helpers--Roofers
HighwayMaintenanceWorkers	Highway_Maintenance_Workers
HistologyTechnicians	Histology_Technicians
Historians	Historians
HistoryTeachersPostsecondary	History_Teachers,_Postsecondary
Histotechnologists	Histotechnologists
HomeApplianceRepairers	Home_Appliance_Repairers
HomeHealthAides	Home_Health_Aides
HomeManagementEducators	Farm_and_Home_Management_Educators
Hospitalists	Hospitalists
Hostlers	Rail_Yard_Engineers,_Dinkey_Operators,_and_Hostlers
HousekeepingCleaners	Maids_and_Housekeeping_Cleaners
HumanResourcesManagers	Human_Resources_Managers
HumanResourcesSpecialists	Human_Resources_Specialists
HumanServiceAssistants	Social_and_Human_Service_Assistants
HuntingWorkers	Fishing_and_Hunting_Workers
HydroelectricPlantTechnicians	Hydroelectric_Plant_Technicians
HydroelectricProductionManagers	Hydroelectric_Production_Managers
HydrologicTechnicians	Geological_Technicians,_Except_Hydrologic_Technicians
HydrologicTechnicians	Hydrologic_Technicians
Hydrologists	Hydrologists
Illustrators	Fine_Artists,_Including_Painters,_Sculptors,_and_Illustrators
Immunologists	Allergists_and_Immunologists
IndustrialDesigners	Commercial_and_Industrial_Designers
IndustrialEcologists	Industrial_Ecologists
IndustrialEngineers	Industrial_Engineers
IndustrialMachineryMechanics	Industrial_Machinery_Mechanics
IndustrialOrganizationalPsychologists	Industrial-Organizational_Psychologists
IndustrialProductionManagers	Industrial_Production_Managers
Infantry	Infantry
InfantryOfficers	Infantry_Officers
InformationClerks	Receptionists_and_Information_Clerks
InformationResearchScientists	Computer_and_Information_Research_Scientists
InformationSecurityAnalysts	Information_Security_Analysts
InformationSecurityEngineers	Information_Security_Engineers
InformationSystemsManagers	Computer_and_Information_Systems_Managers
InformationTechnologyProjectManagers	Information_Technology_Project_Managers
Inspectors	Health_and_Safety_Engineers,_Except_Mining_Safety_Engineers_and_Inspectors
Installers	Heating,_Air_Conditioning,_and_Refrigeration_Mechanics_and_Installers
InstructionalCoordinators	Instructional_Coordinators
InstructorsAllOther	Teachers_and_Instructors,_All_Other
InsulationWorkersMechanical	Insulation_Workers,_Mechanical
InsuranceAppraisersAutoDamage	Insurance_Appraisers,_Auto_Damage
InsuranceSalesAgents	Insurance_Sales_Agents
InsuranceUnderwriters	Insurance_Underwriters
IntelligenceAnalysts	Intelligence_Analysts
Intercity	Bus_Drivers,_Transit_and_Intercity
InteriorDesigners	Interior_Designers
InventoryClerks	Shipping,_Receiving,_and_Inventory_Clerks
Investigators	Claims_Adjusters,_Examiners,_and_Investigators
Investigators	Government_Property_Inspectors_and_Investigators
Investigators	Fire_Inspectors_and_Investigators
Investigators	Private_Detectives_and_Investigators
InvestmentAnalysts	Financial_and_Investment_Analysts
InvestmentFundManagers	Investment_Fund_Managers
Jailers	Correctional_Officers_and_Jailers
JanitorialWorkers	First-Line_Supervisors_of_Housekeeping_and_Janitorial_Workers
Janitors	Janitors_and_Cleaners,_Except_Maids_and_Housekeeping_Cleaners
JobAnalysisSpecialists	Compensation,_Benefits,_and_Job_Analysis_Specialists
Journalists	News_Analysts,_Reporters,_and_Journalists
JudicialLawClerks	Judicial_Law_Clerks
JuniorActors	Actors
JuniorActuaries	Actuaries
JuniorAdministrativeServicesManagers	Administrative_Services_Managers
JuniorAerospaceEngineers	Aerospace_Engineers
JuniorAgriculturalEngineers	Agricultural_Engineers
JuniorAgriculturalTechnicians	Agricultural_Technicians
JuniorAnalysts	Fraud_Examiners,_Investigators_and_Analysts
JuniorAnimalScientists	Animal_Scientists
JuniorAnimators	Special_Effects_Artists_and_Animators
JuniorArcheologists	Anthropologists_and_Archeologists
JuniorArtDirectors	Art_Directors
JuniorAssessorsOfRealEstate	Appraisers_and_Assessors_of_Real_Estate
JuniorAstronomers	Astronomers
JuniorAthletes	Agents_and_Business_Managers_of_Artists,_Performers,_and_Athletes
JuniorAuditors	Accountants_and_Auditors
JuniorAuthors	Writers_and_Authors
JuniorAutomotiveEngineeringTechnicians	Automotive_Engineering_Technicians
JuniorAutomotiveEngineers	Automotive_Engineers
JuniorBenefitsManagers	Compensation_and_Benefits_Managers
JuniorBiofuelsProductionManagers	Biofuels_Production_Managers
JuniorBioinformaticsScientists	Bioinformatics_Scientists
JuniorBioinformaticsTechnicians	Bioinformatics_Technicians
JuniorBiologicalScientistsAllOther	Biological_Scientists,_All_Other
JuniorBiologicalTechnicians	Biological_Technicians
JuniorBiologists	Biologists
JuniorBiomassPowerPlantManagers	Biomass_Power_Plant_Managers
JuniorBiomedicalEngineers	Bioengineers_and_Biomedical_Engineers
JuniorBiophysicists	Biochemists_and_Biophysicists
JuniorBiostatisticians	Biostatisticians
JuniorBlockchainEngineers	Blockchain_Engineers
JuniorBroadcastTechnicians	Broadcast_Technicians
JuniorBudgetAnalysts	Budget_Analysts
JuniorBusinessContinuityPlanners	Business_Continuity_Planners
