id	name	description	code	hotTechnology	inDemand
AcdSystemsCanvas	ACD Systems Canvas	Graphics or photo imaging software	43232102	false	false
AceDental	ACE Dental	Medical software	43232610	false	false
Acetools.bizAceTranslator	AceTools.biz Ace Translator	Foreign language software	43232501	false	false
AciAppraiser'sChoice	ACI Appraiser's Choice	Desktop publishing software	43232112	false	false
AciTasktracker	ACI TaskTracker	Project management software	43231507	false	false
AclAnalytics	ACL Analytics	Financial analysis software	43231604	false	false
AclAuditExchange	ACL Audit Exchange	Analytical or scientific software	43232605	false	false
AclBusinessAssuranceAnalytics	ACL Business Assurance Analytics	Financial analysis software	43231604	false	false
Acmestudio	AcmeStudio	Requirements analysis and system architecture software	43232407	false	false
AcmsCasewatchMillenium	ACMS Casewatch Millenium	Medical software	43232610	false	false
AcomSolutionsRapidEmr	ACOM Solutions RAPID EMR	Medical software	43232610	false	false
AcornsystemsCorporatePerformanceManagement	AcornSystems Corporate Performance Management	Enterprise resource planning ERP software	43231602	false	false
AcorynsystemsActivityBasedCosting	AcorynSystems Activity Based Costing/Management ABC/M	Accounting software	43231601	false	false
AcousticaMixcraft	Acoustica Mixcraft	Music or sound editing software	43232005	false	false
AcrendoA.i.med	Acrendo A.I.med	Medical software	43232610	false	false
AcrendoMedicalSoftwareFamilyPracticeEmr	Acrendo Medical Software Family Practice EMR	Medical software	43232610	false	false
AcrendoMedicalSoftwareOb	Acrendo Medical Software Ob/Gyn EMR	Medical software	43232610	false	false
AcressoInstallanywhere	Acresso InstallAnywhere	Object or component oriented development software	43232405	false	false
AcronisRecoveryExpert	Acronis Recovery Expert	Backup or archival software	43233415	false	false
AcsTechnologiesAcsFinancialSuite	ACS Technologies ACS Financial Suite	Accounting software	43231601	false	false
AcsTechnologiesHeadmaster	ACS Technologies HeadMaster	Enterprise resource planning ERP software	43231602	false	false
Act!	Act!	Customer relationship management CRM software	43232303	false	false
Act!Act4advisors	ACT! ACT4Advisors	Customer relationship management CRM software	43232303	false	false
Act!Premium	ACT! Premium	Customer relationship management CRM software	43232303	false	false
Act3dQuest3d	Act-3D Quest3D	Video creation and editing software	43232103	false	false
ActanoRplan	Actano Rplan	Project management software	43231507	false	false
ActContractorsForms	ACT Contractors Forms	Information retrieval or search software	43232309	false	false
ActDiscover	ACT Discover	Data base user interface and query software	43232306	false	false
ActimizeBrokerageComplianceSolutions	Actimize Brokerage Compliance Solutions	Compliance software	43232606	false	false
Actionware	ActionWare	Customer relationship management CRM software	43232303	false	false
ActivantSolutionsActivantProphet	Activant Solutions Activant Prophet 21	Accounting software	43231601	false	false
ActiveDataOnlineWebchat	Active Data Online WebChat	Network conferencing software	43233503	false	false
ActiveDirectorySoftware	Active directory software	Internet directory services software	43232704	false	false
ActiveNetworkEventregister	Active Network EventRegister	Project management software	43231507	false	false
ActsoftCometTracker	Actsoft Comet Tracker	Materials requirements planning logistics and supply chain software	43231506	false	false
ActuarialSystemsCorporationAim	Actuarial Systems Corporation AIM	Human resources software	43231505	false	false
ActuarialSystemsCorporationComplianceTestingSystem	Actuarial Systems Corporation Compliance Testing System	Human resources software	43231505	false	false
ActuarialSystemsCorporationDefinedBenefitSystem	Actuarial Systems Corporation Defined Benefit System	Human resources software	43231505	false	false
ActuarialSystemsCorporationDocumentGeneration	Actuarial Systems Corporation Document Generation and Management System	Document management software	43232202	false	false
ActuarialSystemsCorporationDvDirect	Actuarial Systems Corporation DV Direct	Human resources software	43231505	false	false
ActuateBirt	Actuate BIRT	Business intelligence and data analysis software	43232314	false	false
ActuateDocbook	Actuate DocBook	Web page creation and editing software	43232107	false	false
ActuateEclipseBirt	Actuate Eclipse BIRT	Data base reporting software	43232305	false	false
ActWorkkeys	ACT WorkKeys	Analytical or scientific software	43232605	false	false
Acuitypro	AcuityPro	Medical software	43232610	false	false
AcupartnerProfessional	AcuPartner Professional	Medical software	43232610	false	false
Acustaf	AcuStaf	Calendar and scheduling software	43232108	false	false
Ada	Ada	Development environment software	43232402	false	false
AdaptasoftCyberpay	AdaptaSoft CyberPay	Accounting software	43231601	false	false
AdaptIt	Adapt It	Foreign language software	43232501	false	false
AdaptiveConjointAnalysisAcaSoftware	Adaptive conjoint analysis ACA software	Analytical or scientific software	43232605	false	false
AdaptiveMetadataManager	Adaptive Metadata Manager	Metadata management software	43232310	false	false
AdaptiveOpticsAoSimulationSoftware	Adaptive optics AO simulation software	Analytical or scientific software	43232605	false	false
AdaptivePlanning	Adaptive Planning	Enterprise resource planning ERP software	43231602	false	false
AdaptModeler	ADAPT-Modeler	Analytical or scientific software	43232605	false	false
AdcLegalSystemsPerfectPractice	ADC Legal Systems Perfect Practice	Data base user interface and query software	43232306	false	false
AddisonHealthSystemsWritepadEhr	Addison Health Systems WritePad EHR	Medical software	43232610	false	false
AddressingSoftware	Addressing software	Word processing software	43232104	false	false
AddressManagementSystemAms	Address Management System AMS	Data base user interface and query software	43232306	false	false
AdemeroContentCentral	Ademero Content Central	Document management software	43232202	false	false
AdeptiaEtlSuite	Adeptia ETL Suite	Development environment software	43232402	false	false
AdeptScientificGrams	Adept Scientific GRAMS	Analytical or scientific software	43232605	false	false
AderantCompulaw	Aderant CompuLaw	Calendar and scheduling software	43232108	false	false
AderantExpertBackOfficePoweredByKeystone	ADERANT Expert Back Office, Powered by Keystone	Enterprise resource planning ERP software	43231602	false	false
AderantExpertMatterCenter	ADERANT Expert Matter Center	Data base user interface and query software	43232306	false	false
AderantLegalSoftware	Aderant legal software	Expert system software	43231511	false	false
AdexaEgpsSuite	Adexa eGPS Suite	Enterprise resource planning ERP software	43231602	false	false
AdexaSupplyChainPlanning	Adexa Supply Chain Planning	Materials requirements planning logistics and supply chain software	43231506	false	false
AdinstrumentsLabchart	ADInstruments LabChart	Medical software	43232610	false	false
AdiSmartbol	ADi SmartBOL	Materials requirements planning logistics and supply chain software	43231506	false	false
AdlDataSystemsOptimumclinicalsElectronicHealthRecord	ADL Data Systems OptimumClinicals Electronic Health Record	Medical software	43232610	false	false
AdlibExpress	Adlib Express	Document management software	43232202	false	false
AdlibInformationSystemsAdlibArchive	Adlib Information Systems Adlib Archive	Data base user interface and query software	43232306	false	false
AdmissionsDischarge	Admissions, discharge, and transfer ADT software	Medical software	43232610	false	false
AdmsPollutionModelingSoftware	ADMS pollution modeling software	Analytical or scientific software	43232605	false	false
Ado.net	ADO.NET	Data base management system software	43232304	false	false
AdobeAcrobat	Adobe Acrobat	Document management software	43232202	true	false
AdobeAcrobatProExtended	Adobe Acrobat Pro Extended	Document management software	43232202	false	false
AdobeAcrobatReader	Adobe Acrobat Reader	Document management software	43232202	false	false
AdobeAcrobatWriter	Adobe Acrobat Writer	Word processing software	43232104	false	false
AdobeActionscript	Adobe ActionScript	Development environment software	43232402	false	false
AdobeAfterEffects	Adobe After Effects	Video creation and editing software	43232103	true	false
AdobeAir	Adobe AIR	Development environment software	43232402	false	false
AdobeAnalytics	Adobe Analytics	Analytical or scientific software	43232605	false	false
AdobeAudition	Adobe Audition	Music or sound editing software	43232005	false	false
AdobeAuthorware	Adobe Authorware	Computer based training software	43232502	false	false
AdobeCaptivate	Adobe Captivate	Computer based training software	43232502	false	false
AdobeColdfusion	Adobe ColdFusion	Web platform development software	43232408	false	false
AdobeConnect	Adobe Connect	Network conferencing software	43233503	false	false
AdobeContribute	Adobe Contribute	Web page creation and editing software	43232107	false	false
AdobeCreativeCloudSoftware	Adobe Creative Cloud software	Graphics or photo imaging software	43232102	true	false
AdobeDirector	Adobe Director	Video creation and editing software	43232103	false	false
AdobeDistiller	Adobe Distiller	Desktop publishing software	43232112	false	false
AdobeDreamweaver	Adobe Dreamweaver	Web page creation and editing software	43232107	false	false
AdobeElearningSuite	Adobe eLearning Suite	Computer based training software	43232502	false	false
AdobeExperienceManager	Adobe Experience Manager (AEM)	Web page creation and editing software	43232107	false	false
AdobeFlex	Adobe Flex	Web platform development software	43232408	false	false
AdobeFramemaker	Adobe FrameMaker	Desktop publishing software	43232112	false	false
AdobeFreehandMx	Adobe FreeHand MX	Graphics or photo imaging software	43232102	false	false
AdobeHumanCapitalApplicationSolutionAccelerator	Adobe Human Capital Application Solution Accelerator	Human resources software	43231505	false	false
AdobeIllustrator	Adobe Illustrator	Graphics or photo imaging software	43232102	true	false
AdobeImageready	Adobe ImageReady	Graphics or photo imaging software	43232102	false	false
AdobeIncopy	Adobe InCopy	Word processing software	43232104	false	false
AdobeIndesign	Adobe InDesign	Desktop publishing software	43232112	true	false
AdobeLifecycleEnterpriseSuite	Adobe LifeCycle Enterprise Suite	Document management software	43232202	false	false
AdobeLifecycleEs	Adobe LifeCycle ES	Document management software	43232202	false	false
AdobeLifecycleProductionPrintEs3	Adobe LifeCycle Production Print ES3	Document management software	43232202	false	false
AdobeLivemotion	Adobe LiveMotion	Graphics or photo imaging software	43232102	false	false
AdobeMacromediaHomesite	Adobe Macromedia HomeSite	Web page creation and editing software	43232107	false	false
AdobePagemaker	Adobe PageMaker	Desktop publishing software	43232112	false	false
AdobePersuasion	Adobe Persuasion	Presentation software	43232106	false	false
AdobePhotoshop	Adobe Photoshop	Graphics or photo imaging software	43232102	true	false
AdobePhotoshopLightroom	Adobe Photoshop Lightroom	Graphics or photo imaging software	43232102	false	false
AdobePostscript	Adobe PostScript	Development environment software	43232402	false	false
AdobePremierePro	Adobe Premiere Pro	Video creation and editing software	43232103	false	false
AdobePresenter	Adobe Presenter	Computer based training software	43232502	false	false
AdobeRobohelp	Adobe RoboHelp	Graphical user interface development software	43232404	false	false
AdobeXd	Adobe XD	Graphics or photo imaging software	43232102	false	false
AdOptAltitude	AD OPT Altitude	Calendar and scheduling software	43232108	false	false
Adp	ADP/Vantra VOLTS	Desktop communications software	43232702	false	false
AdpDriveDmsForAccounting	ADP Drive DMS for Accounting	Accounting software	43231601	false	false
AdpEmployease	ADP Employease	Human resources software	43231505	false	false
AdpEnterpriseEtime	ADP Enterprise eTIME	Time accounting software	43231605	false	false
AdpEnterpriseHr	ADP Enterprise HR	Human resources software	43231505	false	false
AdpEtime	ADP eTIME	Time accounting software	43231605	false	false
AdpEzlabormanager	ADP ezLaborManager	Time accounting software	43231605	false	false
AdpHr	ADP HR/Benefits Solution	Human resources software	43231505	false	false
AdpPayExpert	ADP Pay eXpert	Time accounting software	43231605	false	false
AdpPc	ADP PC/Payroll	Time accounting software	43231605	false	false
AdpSoftware	ADP software	Enterprise resource planning ERP software	43231602	false	false
AdpSuperReportWriter	ADP Super Report Writer	Data base reporting software	43232305	false	false
AdpWorkforceNow	ADP Workforce Now	Human resources software	43231505	false	false
Adrelevance	AdRelevance	Data base reporting software	43232305	false	false
AdsAdvantage	ADS Advantage	Customer relationship management CRM software	43232303	false	false
AdsenseTracker	AdSense Tracker	Data base user interface and query software	43232306	false	false
AdstraSystemsAdstraManagement	Adstra Systems ADSTRA Management	Medical software	43232610	false	false
AdtecAgencyManager	Adtec Agency Manager	Customer relationship management CRM software	43232303	false	false
AdtrackCustomerAcquisitionManagementCam	AdTrack Customer Acquisition Management CAM	Customer relationship management CRM software	43232303	false	false
AdvancedBooleanExpressionLanguageAbel	Advanced boolean expression language ABEL	Development environment software	43232402	false	false
AdvancedBusinessApplicationProgrammingAbap	Advanced business application programming ABAP	Object or component oriented development software	43232405	false	false
AdvancedChemistryDevelopmentAcd	Advanced Chemistry Development ACD/1D nuclear magnetic resonance NMR processor	Analytical or scientific software	43232605	false	false
AdvancedChemistryDevelopmentAnalyticalLaboratory	Advanced Chemistry Development Analytical Laboratory	Analytical or scientific software	43232605	false	false
AdvancedComputerSimulationLanguageAcsl	Advanced computer simulation language ACSL	Development environment software	43232402	false	false
AdvancedDataSystemsMedicsdocassistantForPediatrics	Advanced Data Systems MedicsDocAssistant for Pediatrics	Medical software	43232610	false	false
AdvancedDataSystemsMedicsris	Advanced Data Systems MedicsRis	Medical software	43232610	false	false
AdvancedDimensionalManagement3dGd&t	Advanced Dimensional Management 3D-GD&T	Analytical or scientific software	43232605	false	false
AdvancedGraphicsTechnologyProcogo	Advanced Graphics Technology ProCogo	Map creation software	43233506	false	false
AdvancedLogicTechnologyWellcad	Advanced Logic Technology WellCAD	Computer aided design CAD software	43232604	false	false
AdvancedManagementSystemsSoftwareForWineries	Advanced Management Systems Software for Wineries	Enterprise resource planning ERP software	43231602	false	false
AdvancedMicroSystems1099Etc	Advanced Micro Systems 1099-Etc	Tax preparation software	43231603	false	false
AdvancedNumericalSoftware	Advanced numerical software	Analytical or scientific software	43232605	false	false
AdvancedPortfolioTechnologiesReportBuilder	Advanced Portfolio Technologies Report Builder	Financial analysis software	43231604	false	false
AdvancedPortfolioTechnologiesSimulator	Advanced Portfolio Technologies Simulator	Financial analysis software	43231604	false	false
AdvancedProcessing	Advanced Processing and Imaging OptiView ECM	Document management software	43232202	false	false
AdvancedRetailManagementSystemsRetailPro	Advanced Retail Management Systems Retail Pro	Point of sale POS software	43232611	false	false
AdvancedTechnologies	Advanced technologies and oceanic procedures ATOP	Expert system software	43231511	false	false
AdvancedTechnologiesClassAct	Advanced Technologies Class Act	Data base user interface and query software	43232306	false	false
AdvancedVeterinaryServicesRanchVision	Advanced Veterinary Services Ranch Vision	Enterprise resource planning ERP software	43231602	false	false
AdvancedVisualSystemsAvs	Advanced Visual Systems AVS/Express	Graphics or photo imaging software	43232102	false	false
AdvanceOrthoSystemsProgramDirector	Advance Ortho Systems Program Director	Medical software	43232610	false	false
AdvantageInformationSystemsAgencyAdvantage	Advantage Information Systems The Agency Advantage	Enterprise resource planning ERP software	43231602	false	false
AdvantagelawWinvantage	AdvantageLaw WinVantage	Data base user interface and query software	43232306	false	false
AdvantageSignatureMarketingGroupWebMaster	Advantage Signature Marketing Group Web Master	Customer relationship management CRM software	43232303	false	false
AdvantageSoftwareChiropracticAdvantage	Advantage Software Chiropractic Advantage	Medical software	43232610	false	false
AdvantageSoftwarePhysicalTherapyAdvantage	Advantage Software Physical Therapy Advantage	Medical software	43232610	false	false
AdvantageSoftwarePodiatryAdvantage	Advantage Software Podiatry Advantage	Medical software	43232610	false	false
AdvantageSoftwarePsychAdvantage	Advantage Software Psych Advantage	Medical software	43232610	false	false
AdvantageSoftwareTotalEclipse	Advantage Software Total Eclipse	Word processing software	43232104	false	false
AdvantosSystemsDatatrustEnterprise	Advantos Systems DataTrust Enterprise	Data base user interface and query software	43232306	false	false
AdventAxys	Advent Axys	Financial analysis software	43231604	false	false
AdviceamericaAdvisorvision	AdviceAmerica AdvisorVision	Financial analysis software	43231604	false	false
AdvisoryWorldIce	Advisory World ICE	Financial analysis software	43231604	false	false
AdxstudioForMicrosoft	Adxstudio, for Microsoft	Content workflow software	43232201	false	false
AecDesignGroupCadpipe	AEC Design Group CADPIPE	Computer aided design CAD software	43232604	false	false
AecSoftwareFasttrackSchedule	AEC Software FastTrack Schedule	Data base user interface and query software	43232306	false	false
AemcDataview	AEMC DataView	Analytical or scientific software	43232605	false	false
AerohydroMultisurf	AeroHydro MultiSurf	Computer aided design CAD software	43232604	false	false
AeronauticalCharts	Aeronautical charts	Charting software	43232105	false	false
AeronetCalculator	AERONET calculator	Analytical or scientific software	43232605	false	false
Aeroplanner	AeroPlanner	Information retrieval or search software	43232309	false	false
AerotriangulationAdjustmentSoftware	Aerotriangulation adjustment software	Map creation software	43233506	false	false
Aesdirect	AESDirect	Data base user interface and query software	43232306	false	false
AesMailstar	AES MailSTAR	Materials requirements planning logistics and supply chain software	43231506	false	false
AestivaEmployeeTimeClock	Aestiva Employee Time Clock	Time accounting software	43231605	false	false
AestivaPurchaseOrder	Aestiva Purchase Order	Procurement software	43231503	false	false
AetherpalmInfusicalc	AetherPalm InfusiCalc	Medical software	43232610	false	false
AfcomDatasafeComputerServicesFlexibake	Afcom Datasafe Computer Services FlexiBake	Enterprise resource planning ERP software	43231602	false	false
Afexdirect	AFEXDirect	Point of sale POS software	43232611	false	false
AffiliatedComputerServicesAcsFirehouse	Affiliated Computer Services ACS FIREHOUSE	Data base user interface and query software	43232306	false	false
AfterDeadline	After the Deadline	Word processing software	43232104	false	false
AgcoAdvancedTechnologySolutionsFieldstar	AGCO Advanced Technology Solutions Fieldstar	Industrial control software	43232608	false	false
AgcoGtaSoftwareSuite	AGCO GTA Software Suite	Analytical or scientific software	43232605	false	false
AgConnectionsLand.db	Ag Connections Land.db	Data base user interface and query software	43232306	false	false
AgdataBlueSkiesAccounting	AgData Blue Skies Accounting	Accounting software	43231601	false	false
AgencyManagementSoftware	Agency management software	Enterprise resource planning ERP software	43231602	false	false
AgencyManagementSystemsAms	Agency Management Systems AMS 360	Document management software	43232202	false	false
AgencyMaster	Agency Master	Enterprise resource planning ERP software	43231602	false	false
Agencypro	AgencyPro	Data base user interface and query software	43232306	false	false
AgencySoftwareAgencypro	Agency Software AgencyPro	Enterprise resource planning ERP software	43231602	false	false
AgentBusinessBuilder	Agent Business Builder	Customer relationship management CRM software	43232303	false	false
AgeProgressionSoftware	Age progression software	Analytical or scientific software	43232605	false	false
AgevoFarmManager	Agevo Farm Manager	Enterprise resource planning ERP software	43231602	false	false
AgilentAdvancedDesignSystemAds	Agilent Advanced Design System ADS	Computer aided design CAD software	43232604	false	false
AgilentCghAnalytics	Agilent CGH Analytics	Analytical or scientific software	43232605	false	false
AgilentChemstation	Agilent ChemStation	Analytical or scientific software	43232605	false	false
AgilentTechnologiesGenespringGx	Agilent Technologies GeneSpring GX	Analytical or scientific software	43232605	false	false
AgileProductLifecyleManagementPlm	Agile Product Lifecyle Management PLM	Enterprise resource planning ERP software	43231602	false	false
AgileviewSoftwareSmartview	AgileView Software SmartView	Computer based training software	43232502	false	false
AgilianceComplianceManager	Agiliance Compliance Manager	Compliance software	43232606	false	false
AginfolinkMeatInventoryTrackingSystemMits	AgInfoLink Meat Inventory Tracking System MITS	Inventory management software	43231508	false	false
AgisoftMetashape	Agisoft Metashape	Analytical or scientific software	43232605	false	false
AgLeaderTechnologySmsAdvanced	Ag Leader Technology SMS Advanced	Data base user interface and query software	43232306	false	false
AgricultureOrganizationLivestock	United Nations Food and Agriculture Organization Livestock and Environment Toolbox LEAD	Analytical or scientific software	43232605	false	false
Agrisoft	AgriSoft/CMC AgriSoft/ERP	Enterprise resource planning ERP software	43231602	false	false
AgronomicModelingSoftware	Agronomic modeling software	Analytical or scientific software	43232605	false	false
AgterraTechnologiesAgtrac	AgTerra Technologies AgTrac	Data base user interface and query software	43232306	false	false
AhrefsSiteExplorer	Ahrefs Site Explorer	Web platform development software	43232408	false	false
