startupId	industryId
GrowthStageContinuingCareRetirementCommunitiesAssistedLivingFacilitiesElderlyStartup	6233
GrowthStageConvertedPaperProductManufacturingStartup	3222
GrowthStageCouriersExpressDeliveryServicesStartup	4921
GrowthStageCouriersMessengersStartup	492
GrowthStageCreditIntermediationRelatedActivitiesStartup	522
GrowthStageCropProductionStartup	111
GrowthStageCutleryHandtoolManufacturingStartup	3322
GrowthStageCutSewApparelManufacturingStartup	3152
GrowthStageDairyProductManufacturingStartup	3115
GrowthStageDeathCareServicesStartup	8122
GrowthStageDeepSeaCoastalGreatLakesWaterTransportationStartup	4831
GrowthStageDepartmentStoresStartup	4551
GrowthStageDepositoryCreditIntermediationStartup	5221
GrowthStageDrinkingPlacesAlcoholicBeveragesStartup	7224
GrowthStageDrugsDruggists'SundriesMerchantWholesalersStartup	4242
GrowthStageDrycleaningLaundryServicesStartup	8123
GrowthStageEducationalServicesStartup	61
GrowthStageEducationalServicesStartup	611
GrowthStageEducationalSupportServicesStartup	6117
GrowthStageElectricalEquipmentApplianceComponentManufacturingStartup	335
GrowthStageElectricalEquipmentManufacturingStartup	3353
GrowthStageElectricLightingEquipmentManufacturingStartup	3351
GrowthStageElectricPowerGenerationTransmissionDistributionStartup	2211
GrowthStageElectronicPrecisionEquipmentRepairMaintenanceStartup	8112
GrowthStageElectronicsApplianceRetailersStartup	4492
GrowthStageElementarySecondarySchoolsStartup	6111
GrowthStageEmploymentServicesStartup	5613
GrowthStageEngineTurbinePowerTransmissionEquipmentManufacturingStartup	3336
GrowthStageExecutiveLegislativeOtherGeneralGovernmentSupportStartup	921
GrowthStageExecutiveLegislativeOtherGeneralGovernmentSupportStartup	9211
GrowthStageFabricatedMetalProductManufacturingStartup	332
GrowthStageFabricMillsStartup	3132
GrowthStageFacilitiesSupportServicesStartup	5612
GrowthStageFarmProductRawMaterialMerchantWholesalersStartup	4245
GrowthStageFiberYarnThreadMillsStartup	3131
GrowthStageFinanceInsuranceStartup	52
GrowthStageFishingHuntingTrappingStartup	114
GrowthStageFishingStartup	1141
GrowthStageFloristsStartup	4593
GrowthStageFoodBeverageRetailersStartup	445
GrowthStageFoodManufacturingStartup	311
GrowthStageFoodServicesDrinkingPlacesStartup	722
GrowthStageFootwearManufacturingStartup	3162
GrowthStageForestNurseriesGatheringForestProductsStartup	1132
GrowthStageForestryLoggingStartup	113
GrowthStageForgingStampingStartup	3321
GrowthStageFoundationStructureBuildingExteriorContractorsStartup	2381
GrowthStageFoundriesStartup	3315
GrowthStageFreightTransportationArrangementStartup	4885
GrowthStageFruitTreeNutFarmingStartup	1113
GrowthStageFruitVegetablePreservingSpecialtyFoodManufacturingStartup	3114
GrowthStageFuelDealersStartup	4572
GrowthStageFundsTrustsOtherFinancialVehiclesStartup	525
GrowthStageFurnitureHomeFurnishingMerchantWholesalersStartup	4232
GrowthStageFurnitureHomeFurnishingsElectronicsApplianceRetailersStartup	449
GrowthStageFurnitureHomeFurnishingsRetailersStartup	4491
GrowthStageFurnitureRelatedProductManufacturingStartup	337
GrowthStageGamblingIndustriesStartup	7132
GrowthStageGasolineStationsFuelDealersStartup	457
GrowthStageGasolineStationsStartup	4571
GrowthStageGeneralFreightTruckingStartup	4841
GrowthStageGeneralMedicalSurgicalHospitalsStartup	6221
GrowthStageGeneralMerchandiseRetailersStartup	455
GrowthStageGeneralRentalCentersStartup	5323
GrowthStageGlassGlassProductManufacturingStartup	3272
GrowthStageGrainOilseedMillingStartup	3112
GrowthStageGrantmakingGivingServicesStartup	8132
GrowthStageGreenhouseNurseryFloricultureProductionStartup	1114
GrowthStageGroceryConvenienceRetailersStartup	4451
GrowthStageGroceryRelatedProductMerchantWholesalersStartup	4244
GrowthStageHardwareManufacturingStartup	3325
GrowthStageHardwarePlumbingHeatingEquipmentSuppliesMerchantWholesalersStartup	4237
GrowthStageHealthCareSocialAssistanceStartup	62
GrowthStageHealthPersonalCareRetailersStartup	456
GrowthStageHealthPersonalCareRetailersStartup	4561
GrowthStageHeavyCivilEngineeringConstructionStartup	237
GrowthStageHighwayStreetBridgeConstructionStartup	2373
GrowthStageHogPigFarmingStartup	1122
GrowthStageHomeHealthCareServicesStartup	6216
GrowthStageHospitalsStartup	622
GrowthStageHouseholdApplianceManufacturingStartup	3352
GrowthStageHouseholdAppliancesElectricalElectronicGoodsMerchantWholesalersStartup	4236
GrowthStageHouseholdInstitutionalFurnitureKitchenCabinetManufacturingStartup	3371
GrowthStageHuntingTrappingStartup	1142
GrowthStageIndependentArtistsWritersPerformersStartup	7115
GrowthStageIndividualFamilyServicesStartup	6241
GrowthStageIndustrialMachineryManufacturingStartup	3332
GrowthStageInformationStartup	51
GrowthStageInlandWaterTransportationStartup	4832
GrowthStageInsuranceCarriersRelatedActivitiesStartup	524
GrowthStageInsuranceCarriersStartup	5241
GrowthStageInsuranceEmployeeBenefitFundsStartup	5251
GrowthStageInterurbanRuralBusTransportationStartup	4852
GrowthStageInvestigationSecurityServicesStartup	5616
GrowthStageIronSteelMillsFerroalloyManufacturingStartup	3311
GrowthStageJewelryLuggageLeatherGoodsRetailersStartup	4583
GrowthStageJuniorCollegesStartup	6112
GrowthStageJusticePublicOrderSafetyActivitiesStartup	922
GrowthStageJusticePublicOrderSafetyActivitiesStartup	9221
GrowthStageLandSubdivisionStartup	2372
GrowthStageLawnGardenEquipmentSuppliesRetailersStartup	4442
GrowthStageLeatherAlliedProductManufacturingStartup	316
GrowthStageLeatherHideTanningFinishingStartup	3161
GrowthStageLegalServicesStartup	5411
GrowthStageLessorsNonfinancialIntangibleAssetsExceptCopyrightedWorksStartup	533
GrowthStageLessorsNonfinancialIntangibleAssetsExceptCopyrightedWorksStartup	5331
GrowthStageLessorsRealEstateStartup	5311
GrowthStageLimeGypsumProductManufacturingStartup	3274
GrowthStageLocalMessengersLocalDeliveryStartup	4922
GrowthStageLoggingStartup	1133
GrowthStageLumberOtherConstructionMaterialsMerchantWholesalersStartup	4233
GrowthStageMachineryEquipmentSuppliesMerchantWholesalersStartup	4238
GrowthStageMachineryManufacturingStartup	333
GrowthStageMachineShopsTurnedProductScrewNutBoltManufacturingStartup	3327
GrowthStageManagementCompaniesEnterprisesStartup	55
GrowthStageManagementCompaniesEnterprisesStartup	551
GrowthStageManagementCompaniesEnterprisesStartup	5511
GrowthStageManagementScientificTechnicalConsultingServicesStartup	5416
GrowthStageManufacturingReproducingMagneticOpticalMediaStartup	3346
GrowthStageMediaStreamingDistributionServicesSocialNetworksOtherMediaNetworksContentProvidersStartup	5162
GrowthStageMedicalDiagnosticLaboratoriesStartup	6215
GrowthStageMedicalEquipmentSuppliesManufacturingStartup	3391
GrowthStageMerchantWholesalersDurableGoodsStartup	423
GrowthStageMerchantWholesalersNondurableGoodsStartup	424
GrowthStageMetalMineralExceptPetroleumMerchantWholesalersStartup	4235
GrowthStageMetalOreMiningStartup	2122
GrowthStageMetalworkingMachineryManufacturingStartup	3335
GrowthStageMiningExceptOilGasStartup	212
GrowthStageMiningQuarryingOilGasExtractionStartup	21
GrowthStageMiscellaneousDurableGoodsMerchantWholesalersStartup	4239
GrowthStageMiscellaneousManufacturingStartup	339
GrowthStageMiscellaneousNondurableGoodsMerchantWholesalersStartup	4249
GrowthStageMonetaryAuthoritiesCentralBankStartup	521
GrowthStageMonetaryAuthoritiesCentralBankStartup	5211
GrowthStageMotionPictureSoundRecordingIndustriesStartup	512
GrowthStageMotionPictureVideoIndustriesStartup	5121
GrowthStageMotorVehicleBodyTrailerManufacturingStartup	3362
GrowthStageMotorVehicleManufacturingStartup	3361
GrowthStageMotorVehicleMotorVehiclePartsSuppliesMerchantWholesalersStartup	4231
GrowthStageMotorVehiclePartsDealersStartup	441
GrowthStageMotorVehiclePartsManufacturingStartup	3363
GrowthStageMuseumsHistoricalSitesSimilarInstitutionsStartup	712
GrowthStageMuseumsHistoricalSitesSimilarInstitutionsStartup	7121
GrowthStageNationalSecurityInternationalAffairsStartup	928
GrowthStageNationalSecurityInternationalAffairsStartup	9281
GrowthStageNaturalGasDistributionStartup	2212
GrowthStageNavigationalMeasuringElectromedicalControlInstrumentsManufacturingStartup	3345
GrowthStageNewspaperPeriodicalBookDirectoryPublishersStartup	5131
GrowthStageNondepositoryCreditIntermediationStartup	5222
GrowthStageNonferrousMetalExceptAluminumProductionProcessingStartup	3314
GrowthStageNonmetallicMineralMiningQuarryingStartup	2123
GrowthStageNonmetallicMineralProductManufacturingStartup	327
GrowthStageNonresidentialBuildingConstructionStartup	2362
GrowthStageNonscheduledAirTransportationStartup	4812
GrowthStageNursingCareFacilitiesSkilledNursingFacilitiesStartup	6231
GrowthStageNursingResidentialCareFacilitiesStartup	623
GrowthStageOfficeAdministrativeServicesStartup	5611
GrowthStageOfficeFurnitureIncludingFixturesManufacturingStartup	3372
GrowthStageOfficesDentistsStartup	6212
GrowthStageOfficesOtherHealthPractitionersStartup	6213
GrowthStageOfficesPhysiciansStartup	6211
GrowthStageOfficesRealEstateAgentsBrokersStartup	5312
GrowthStageOfficeSuppliesStationeryGiftRetailersStartup	4594
GrowthStageOilGasExtractionStartup	211
GrowthStageOilGasExtractionStartup	2111
GrowthStageOilseedGrainFarmingStartup	1111
GrowthStageOtherAmbulatoryHealthCareServicesStartup	6219
GrowthStageOtherAmusementRecreationIndustriesStartup	7139
GrowthStageOtherAnimalProductionStartup	1129
GrowthStageOtherChemicalProductPreparationManufacturingStartup	3259
GrowthStageOtherCropFarmingStartup	1119
GrowthStageOtherElectricalEquipmentComponentManufacturingStartup	3359
GrowthStageOtherFabricatedMetalProductManufacturingStartup	3329
GrowthStageOtherFinancialInvestmentActivitiesStartup	5239
GrowthStageOtherFoodManufacturingStartup	3119
GrowthStageOtherFurnitureRelatedProductManufacturingStartup	3379
GrowthStageOtherGeneralPurposeMachineryManufacturingStartup	3339
GrowthStageOtherHeavyCivilEngineeringConstructionStartup	2379
GrowthStageOtherInvestmentPoolsFundsStartup	5259
GrowthStageOtherLeatherAlliedProductManufacturingStartup	3169
GrowthStageOtherMiscellaneousManufacturingStartup	3399
GrowthStageOtherMiscellaneousRetailersStartup	4599
GrowthStageOtherMotorVehicleDealersStartup	4412
GrowthStageOtherNonmetallicMineralProductManufacturingStartup	3279
GrowthStageOtherPersonalServicesStartup	8129
GrowthStageOtherPipelineTransportationStartup	4869
GrowthStageOtherProfessionalScientificTechnicalServicesStartup	5419
GrowthStageOtherResidentialCareFacilitiesStartup	6239
GrowthStageOtherSchoolsInstructionStartup	6116
GrowthStageOtherServicesExceptPublicAdministrationStartup	81
GrowthStageOtherSpecialtyTradeContractorsStartup	2389
GrowthStageOtherSupportActivitiesTransportationStartup	4889
GrowthStageOtherSupportServicesStartup	5619
GrowthStageOtherTextileProductMillsStartup	3149
GrowthStageOtherTransitGroundPassengerTransportationStartup	4859
GrowthStageOtherTransportationEquipmentManufacturingStartup	3369
GrowthStageOtherWoodProductManufacturingStartup	3219
GrowthStageOutpatientCareCentersStartup	6214
GrowthStagePaintCoatingAdhesiveManufacturingStartup	3255
GrowthStagePaperManufacturingStartup	322
GrowthStagePaperPaperProductMerchantWholesalersStartup	4241
GrowthStagePerformingArtsCompaniesStartup	7111
GrowthStagePerformingArtsSpectatorSportsRelatedIndustriesStartup	711
GrowthStagePersonalCareServicesStartup	8121
GrowthStagePersonalHouseholdGoodsRepairMaintenanceStartup	8114
GrowthStagePersonalLaundryServicesStartup	812
GrowthStagePesticideFertilizerOtherAgriculturalChemicalManufacturingStartup	3253
GrowthStagePetroleumCoalProductsManufacturingStartup	324
GrowthStagePetroleumCoalProductsManufacturingStartup	3241
GrowthStagePetroleumPetroleumProductsMerchantWholesalersStartup	4247
GrowthStagePharmaceuticalMedicineManufacturingStartup	3254
GrowthStagePipelineTransportationCrudeOilStartup	4861
GrowthStagePipelineTransportationNaturalGasStartup	4862
GrowthStagePipelineTransportationStartup	486
GrowthStagePlasticsProductManufacturingStartup	3261
GrowthStagePlasticsRubberProductsManufacturingStartup	326
GrowthStagePostalServiceStartup	491
GrowthStagePostalServiceStartup	4911
GrowthStagePoultryEggProductionStartup	1123
GrowthStagePrimaryMetalManufacturingStartup	331
GrowthStagePrintingRelatedSupportActivitiesStartup	323
GrowthStagePrintingRelatedSupportActivitiesStartup	3231
GrowthStagePrivateHouseholdsStartup	814
GrowthStagePrivateHouseholdsStartup	8141
GrowthStageProfessionalCommercialEquipmentSuppliesMerchantWholesalersStartup	4234
GrowthStageProfessionalScientificTechnicalServicesStartup	54
GrowthStageProfessionalScientificTechnicalServicesStartup	541
GrowthStagePromotersPerformingArtsSportsSimilarEventsStartup	7113
GrowthStagePsychiatricSubstanceAbuseHospitalsStartup	6222
GrowthStagePublicAdministrationStartup	92
GrowthStagePublishingIndustriesStartup	513
GrowthStagePulpPaperPaperboardMillsStartup	3221
GrowthStageRadioTelevisionBroadcastingStationsStartup	5161
GrowthStageRailroadRollingStockManufacturingStartup	3365
GrowthStageRailTransportationStartup	482
GrowthStageRailTransportationStartup	4821
GrowthStageRealEstateRentalLeasingStartup	53
GrowthStageRealEstateStartup	531
GrowthStageReligiousGrantmakingCivicProfessionalSimilarOrganizationsStartup	813
GrowthStageReligiousOrganizationsStartup	8131
GrowthStageRemediationOtherWasteManagementServicesStartup	5629
GrowthStageRentalLeasingServicesStartup	532
GrowthStageRepairMaintenanceStartup	811
GrowthStageResidentialBuildingConstructionStartup	2361
GrowthStageResidentialIntellectualDevelopmentalDisabilityMentalHealthSubstanceAbuseFacilitiesStartup	6232
GrowthStageResinSyntheticRubberArtificialSyntheticFibersFilamentsManufacturingStartup	3252
GrowthStageRestaurantsOtherEatingPlacesStartup	7225
GrowthStageRoomingBoardingHousesDormitoriesWorkers'CampsStartup	7213
GrowthStageRubberProductManufacturingStartup	3262
GrowthStageRvRecreationalVehicleParksRecreationalCampsStartup	7212
GrowthStageSatelliteTelecommunicationsStartup	5174
GrowthStageSawmillsWoodPreservationStartup	3211
GrowthStageScenicSightseeingTransportationLandStartup	4871
GrowthStageScenicSightseeingTransportationOtherStartup	4879
GrowthStageScenicSightseeingTransportationStartup	487
GrowthStageScenicSightseeingTransportationWaterStartup	4872
GrowthStageScheduledAirTransportationStartup	4811
GrowthStageSchoolEmployeeBusTransportationStartup	4854
GrowthStageScientificResearchDevelopmentServicesStartup	5417
GrowthStageSeafoodProductPreparationPackagingStartup	3117
GrowthStageSecuritiesCommodityContractsIntermediationBrokerageStartup	5231
GrowthStageSecuritiesCommodityContractsOtherFinancialInvestmentsRelatedActivitiesStartup	523
GrowthStageSecuritiesCommodityExchangesStartup	5232
GrowthStageSemiconductorOtherElectronicComponentManufacturingStartup	3344
GrowthStageServicesBuildingsDwellingsStartup	5617
GrowthStageSheepGoatFarmingStartup	1124
GrowthStageShipBoatBuildingStartup	3366
GrowthStageShoeRetailersStartup	4582
GrowthStageSoapCleaningCompoundToiletPreparationManufacturingStartup	3256
GrowthStageSocialAdvocacyOrganizationsStartup	8133
GrowthStageSocialAssistanceStartup	624
GrowthStageSoftwarePublishersStartup	5132
GrowthStageSoundRecordingIndustriesStartup	5122
GrowthStageSpaceResearchTechnologyStartup	927
GrowthStageSpaceResearchTechnologyStartup	9271
GrowthStageSpecialFoodServicesStartup	7223
GrowthStageSpecializedDesignServicesStartup	5414
GrowthStageSpecializedFreightTruckingStartup	4842
GrowthStageSpecialtyExceptPsychiatricSubstanceAbuseHospitalsStartup	6223
GrowthStageSpecialtyFoodRetailersStartup	4452
GrowthStageSpecialtyTradeContractorsStartup	238
GrowthStageSpectatorSportsStartup	7112
GrowthStageSportingGoodsHobbyMusicalInstrumentBookMiscellaneousRetailersStartup	459
GrowthStageSportingGoodsHobbyMusicalInstrumentRetailersStartup	4591
GrowthStageSpringWireProductManufacturingStartup	3326
GrowthStageSteelProductManufacturingPurchasedSteelStartup	3312
GrowthStageSugarConfectioneryProductManufacturingStartup	3113
GrowthStageSupportActivitiesAgricultureForestryStartup	115
GrowthStageSupportActivitiesAirTransportationStartup	4881
GrowthStageSupportActivitiesAnimalProductionStartup	1152
GrowthStageSupportActivitiesCropProductionStartup	1151
GrowthStageSupportActivitiesForestryStartup	1153
GrowthStageSupportActivitiesMiningStartup	213
GrowthStageSupportActivitiesMiningStartup	2131
GrowthStageSupportActivitiesRailTransportationStartup	4882
GrowthStageSupportActivitiesRoadTransportationStartup	4884
GrowthStageSupportActivitiesTransportationStartup	488
GrowthStageSupportActivitiesWaterTransportationStartup	4883
GrowthStageTaxiLimousineServiceStartup	4853
GrowthStageTechnicalTradeSchoolsStartup	6115
GrowthStageTelecommunicationsStartup	517
GrowthStageTextileFabricFinishingFabricCoatingMillsStartup	3133
GrowthStageTextileFurnishingsMillsStartup	3141
GrowthStageTextileMillsStartup	313
GrowthStageTextileProductMillsStartup	314
GrowthStageTimberTractOperationsStartup	1131
GrowthStageTobaccoManufacturingStartup	3122
GrowthStageTransitGroundPassengerTransportationStartup	485
GrowthStageTransportationEquipmentManufacturingStartup	336
GrowthStageTravelArrangementReservationServicesStartup	5615
GrowthStageTravelerAccommodationStartup	7211
GrowthStageTruckTransportationStartup	484
GrowthStageUrbanTransitSystemsStartup	4851
GrowthStageUsedMerchandiseRetailersStartup	4595
GrowthStageUtilitiesStartup	22
GrowthStageUtilitiesStartup	221
GrowthStageUtilitySystemConstructionStartup	2371
GrowthStageVegetableMelonFarmingStartup	1112
GrowthStageVeneerPlywoodEngineeredWoodProductManufacturingStartup	3212
GrowthStageVentilationHeatingAirConditioningCommercialRefrigerationEquipmentManufacturingStartup	3334
GrowthStageVocationalRehabilitationServicesStartup	6243
GrowthStageWarehouseClubsSupercentersOtherGeneralMerchandiseRetailersStartup	4552
GrowthStageWarehousingStorageStartup	493
GrowthStageWarehousingStorageStartup	4931
GrowthStageWasteCollectionStartup	5621
GrowthStageWasteManagementRemediationServicesStartup	562
GrowthStageWasteTreatmentDisposalStartup	5622
GrowthStageWaterSewageOtherSystemsStartup	2213
GrowthStageWaterTransportationStartup	483
GrowthStageWebSearchPortalsLibrariesArchivesOtherInformationServicesStartup	519
GrowthStageWebSearchPortalsLibrariesArchivesOtherInformationServicesStartup	5192
GrowthStageWholesaleTradeAgentsBrokersStartup	425
GrowthStageWholesaleTradeAgentsBrokersStartup	4251
GrowthStageWholesaleTradeStartup	42
GrowthStageWiredWirelessTelecommunicationsExceptSatelliteStartup	5171
GrowthStageWoodProductManufacturingStartup	321
IdeaAccommodationFoodServicesStartup	72
IdeaAccommodationStartup	721
IdeaAccountingTaxPreparationBookkeepingPayrollServicesStartup	5412
IdeaActivitiesRelatedCreditIntermediationStartup	5223
IdeaActivitiesRelatedRealEstateStartup	5313
IdeaAdministrationEconomicProgramsStartup	926
IdeaAdministrationEconomicProgramsStartup	9261
IdeaAdministrationEnvironmentalQualityProgramsStartup	924
IdeaAdministrationEnvironmentalQualityProgramsStartup	9241
IdeaAdministrationHousingProgramsUrbanPlanningCommunityDevelopmentStartup	925
IdeaAdministrationHousingProgramsUrbanPlanningCommunityDevelopmentStartup	9251
IdeaAdministrationHumanResourceProgramsStartup	923
IdeaAdministrationHumanResourceProgramsStartup	9231
IdeaAdministrativeSupportServicesStartup	561
IdeaAdministrativeSupportWasteManagementRemediationServicesStartup	56
IdeaAdvertisingPublicRelationsRelatedServicesStartup	5418
IdeaAerospaceProductPartsManufacturingStartup	3364
IdeaAgenciesBrokeragesOtherInsuranceRelatedActivitiesStartup	5242
IdeaAgentsManagersArtistsAthletesEntertainersOtherPublicFiguresStartup	7114
IdeaAgricultureConstructionMiningMachineryManufacturingStartup	3331
IdeaAgricultureForestryFishingHuntingStartup	11
IdeaAirTransportationStartup	481
IdeaAllOtherTelecommunicationsStartup	5178
IdeaAluminaAluminumProductionProcessingStartup	3313
IdeaAmbulatoryHealthCareServicesStartup	621
IdeaAmusementGamblingRecreationIndustriesStartup	713
IdeaAmusementParksArcadesStartup	7131
IdeaAnimalFoodManufacturingStartup	3111
IdeaAnimalProductionAquacultureStartup	112
IdeaAnimalSlaughteringProcessingStartup	3116
IdeaApparelAccessoriesOtherApparelManufacturingStartup	3159
IdeaApparelKnittingMillsStartup	3151
IdeaApparelManufacturingStartup	315
IdeaApparelPieceGoodsNotionsMerchantWholesalersStartup	4243
IdeaAquacultureStartup	1125
IdeaArchitecturalEngineeringRelatedServicesStartup	5413
IdeaArchitecturalStructuralMetalsManufacturingStartup	3323
IdeaArtsEntertainmentRecreationStartup	71
IdeaAudioVideoEquipmentManufacturingStartup	3343
IdeaAutomobileDealersStartup	4411
IdeaAutomotiveEquipmentRentalLeasingStartup	5321
IdeaAutomotivePartsAccessoriesTireRetailersStartup	4413
IdeaAutomotiveRepairMaintenanceStartup	8111
IdeaBakeriesTortillaManufacturingStartup	3118
IdeaBasicChemicalManufacturingStartup	3251
IdeaBeerWineDistilledAlcoholicBeverageMerchantWholesalersStartup	4248
IdeaBeerWineLiquorRetailersStartup	4453
IdeaBeverageManufacturingStartup	3121
IdeaBeverageTobaccoProductManufacturingStartup	312
IdeaBoilerTankShippingContainerManufacturingStartup	3324
IdeaBookRetailersNewsDealersStartup	4592
IdeaBroadcastingContentProvidersStartup	516
IdeaBuildingEquipmentContractorsStartup	2382
IdeaBuildingFinishingContractorsStartup	2383
IdeaBuildingMaterialGardenEquipmentSuppliesDealersStartup	444
IdeaBuildingMaterialSuppliesDealersStartup	4441
IdeaBusinessProfessionalLaborPoliticalSimilarOrganizationsStartup	8139
IdeaBusinessSchoolsComputerManagementTrainingStartup	6114
IdeaBusinessSupportServicesStartup	5614
IdeaCattleRanchingFarmingStartup	1121
IdeaCementConcreteProductManufacturingStartup	3273
IdeaCharterBusIndustryStartup	4855
IdeaChemicalAlliedProductsMerchantWholesalersStartup	4246
IdeaChemicalManufacturingStartup	325
IdeaChildCareServicesStartup	6244
IdeaCivicSocialOrganizationsStartup	8134
IdeaClayProductRefractoryManufacturingStartup	3271
IdeaClothingClothingAccessoriesRetailersStartup	4581
IdeaClothingClothingAccessoriesShoeJewelryRetailersStartup	458
IdeaCoalMiningStartup	2121
IdeaCoatingEngravingHeatTreatingAlliedActivitiesStartup	3328
IdeaCollegesUniversitiesProfessionalSchoolsStartup	6113
IdeaCommercialIndustrialMachineryEquipmentExceptAutomotiveElectronicRepairMaintenanceStartup	8113
IdeaCommercialIndustrialMachineryEquipmentRentalLeasingStartup	5324
IdeaCommercialServiceIndustryMachineryManufacturingStartup	3333
IdeaCommunicationsEquipmentManufacturingStartup	3342
IdeaCommunityFoodHousingEmergencyOtherReliefServicesStartup	6242
IdeaComputerElectronicProductManufacturingStartup	334
IdeaComputerPeripheralEquipmentManufacturingStartup	3341
IdeaComputerSystemsDesignRelatedServicesStartup	5415
IdeaComputingInfrastructureProvidersDataProcessingWebHostingRelatedServicesStartup	518
