processId	industry
Companies.develop.Product	cross-industry
Companies.develop.UserExperienceDesignSpecifications	cross-industry
Companies.provide.Warranty	cross-industry
Companies.document.DesignSpecifications	cross-industry
Companies.conduct.MandatoryExternalReviews	cross-industry
Companies.conduct.ElectiveExternalReviews	cross-industry
Companies.design.Products	cross-industry
Companies.design.for.Manufacturing	cross-industry
Companies.design.for.ProductServicing	cross-industry
Companies.design.for.Re	cross-industry
Companies.review.ProductTroubleshootingMethodology	cross-industry
Companies.design.ProductData	cross-industry
Companies.manage.ProductData	cross-industry
Companies.design.for.ProductUpgrades	cross-industry
Companies.build.Prototypes	cross-industry
Companies.develop.PrototypeProduction	cross-industry
Companies.test.PrototypeProduction	cross-industry
Companies.eliminate.QualityProblems	cross-industry
Companies.eliminate.ReliabilityProblems	cross-industry
Companies.conduct.in	cross-industry
Companies.conduct.EvaluateFeasibility	cross-industry
Companies.identify.Design	cross-industry
Companies.collaborate.on.Design.with.SuppliersPartners	cross-industry
Companies.collaborate.on.Design.with.ExternalPartners	cross-industry
Companies.test.Market.for.NewProductsServices	cross-industry
Companies.test.Market.for.RevisedProductsServices	cross-industry
Companies.prepare.DetailedMarketStudy	cross-industry
Companies.conduct.CustomerTests	cross-industry
Companies.conduct.Interviews	cross-industry
Companies.finalize.Product	cross-industry
Companies.finalize.BusinessCases	cross-industry
Companies.finalize.TechnicalRequirements	cross-industry
Companies.prepare.for.Production	cross-industry
Companies.design.NecessaryCapabilities	cross-industry
Companies.obtain.NecessaryCapabilities	cross-industry
Companies.identify.Requirements.for.Changes.to.Manufacturing	cross-industry
Companies.request.Engineering	cross-industry
Companies.install.Production	cross-industry
Companies.validate.Production	cross-industry
Companies.monitor.InitialProductionRuns	cross-industry
Companies.validate.LaunchProcedures	cross-industry
Companies.market.ProductsServices	cross-industry
Companies.sell.ProductsServices	cross-industry
Companies.understand.Markets	cross-industry
Companies.understand.Capabilities	cross-industry
Companies.perform.CustomerIntelligenceAnalysis	cross-industry
Companies.perform.MarketIntelligenceAnalysis	cross-industry
Companies.conduct.CustomerResearch	cross-industry
Companies.conduct.MarketResearch	cross-industry
Companies.understand.ConsumerNeedsBehaviors	cross-industry
Companies.understand.HistoricalBehaviors	cross-industry
Companies.predict.CustomerPurchasingBehavior	cross-industry
Companies.identify.MarketSegments	cross-industry
Companies.determine.MarketShareGain	cross-industry
Companies.analyze.MarketTrends	cross-industry
Companies.analyze.IndustryTrends	cross-industry
Companies.analyze.CompetingOrganizations	cross-industry
Companies.evaluate.ExistingProducts	cross-industry
Companies.assess.InternalBusinessEnvironment	cross-industry
Companies.assess.ExternalBusinessEnvironment	cross-industry
Companies.evaluate.MarketOpportunities	cross-industry
Companies.prioritize.MarketOpportunities	cross-industry
Companies.quantify.MarketOpportunities	cross-industry
Companies.determine.TargetSegments	cross-industry
Companies.identify.under	cross-industry
Companies.identify.SaturatedMarketSegments	cross-industry
Companies.prioritize.OpportunitiesConsistent.with.CapabilitiesBusinessStrategy	cross-industry
Companies.prioritize.OpportunitiesConsistent.with.OverallBusinessStrategy	cross-industry
Companies.validate.Opportunities	cross-industry
Companies.test.with.Customers	cross-industry
Companies.confirm.InternalCapabilities	cross-industry
Companies.develop.MarketingStrategy	cross-industry
Companies.define.OfferingValueProposition	cross-industry
Companies.define.CustomerValueProposition	cross-industry
Companies.define.Offering	cross-industry
Companies.define.Positioning	cross-industry
Companies.develop.ValuePropositionIncludingBrandPositioning.for.TargetSegments	cross-industry
Companies.validate.ValueProposition.with.TargetSegments	cross-industry
Companies.develop.NewBranding	cross-industry
Companies.define.PricingStrategy	cross-industry
Companies.conduct.PricingAnalysis	cross-industry
Companies.establish.Guidelines.for.ApplyingPricing.of.Products	cross-industry
Companies.establish.Guidelines.for.Discounting.of.Products	cross-industry
Companies.establish.PricingTargets	cross-industry
Companies.approve.PricingStrategies	cross-industry
Companies.approve.Targets	cross-industry
Companies.define.ChannelStrategy	cross-industry
Companies.manage.ChannelStrategy	cross-industry
Companies.determine.Channels.to.BeSupported	cross-industry
Companies.establish.ChannelObjectives	cross-industry
Companies.determine.ChannelRole.with.TargetSegments	cross-industry
Companies.determine.Fit.with.TargetSegments	cross-industry
Companies.select.Channels.for.TargetSegments	cross-industry
Companies.identify.RequiredChannelCapabilities	cross-industry
Companies.evaluate.ChannelAttributesPartners	cross-industry
Companies.evaluate.PotentialPartners	cross-industry
Companies.orchestrate.SeamlessCustomerExperience.across.SupportedChannels	cross-industry
Companies.define.Omni	cross-industry
Companies.define.Omni	cross-industry
Companies.develop.Omni	cross-industry
Companies.develop.Procedures	cross-industry
Companies.develop.ExecutionRoadmap	cross-industry
Companies.manage.ExecutionRoadmap	cross-industry
Companies.analyze.ChannelPerformance	cross-industry
Companies.manage.ChannelPerformance	cross-industry
Companies.establish.Channel	cross-industry
Companies.establish.Targets	cross-industry
Companies.monitor.Performance	cross-industry
Companies.report.Performance	cross-industry
Companies.monitor.EventsInfluencingFactors	cross-industry
Companies.report.EventsInfluencingFactors	cross-industry
Companies.analyze.ChannelPerformance	cross-industry
Companies.develop.Plan.for.ChannelImprovements	cross-industry
Companies.develop.MarketingCommunicationStrategy	cross-industry
Companies.develop.CustomerCommunicationCalendar	cross-industry
Companies.define.PublicRelations	cross-industry
Companies.define.DirectMarketingStrategy	cross-industry
Companies.define.InternalMarketingCommunicationStrategy	cross-industry
Companies.identify.NewMedia.for.MarketingCommunication	cross-industry
Companies.define.NewMediaCommunicationStrategy	cross-industry
Companies.define.Point.of.Sale	cross-industry
Companies.define.CommunicationGuidelines	cross-industry
Companies.define.Mechanisms	cross-industry
Companies.design.CustomerLoyaltyProgram	cross-industry
Companies.manage.CustomerLoyaltyProgram	cross-industry
Companies.define.CustomerLoyaltyProgram	cross-industry
Companies.acquire.Members.to.CustomerLoyaltyProgram	cross-industry
Companies.build.Engagement.with.Members	cross-industry
Companies.build.Relationship.with.Members	cross-industry
Companies.monitor.CustomerLoyaltyProgramBenefits.to.EnterpriseCustomer	cross-industry
Companies.monitor.CustomerLoyaltyProgramBenefits.to.Customer	cross-industry
Companies.optimize.LoyaltyProgramValue.to.BothEnterpriseCustomer	cross-industry
Companies.optimize.LoyaltyProgramValue.to.Customer	cross-industry
Companies.develop.MarketingPlans	cross-industry
Companies.manage.MarketingPlans	cross-industry
Companies.establish.Goals	cross-industry
Companies.establish.Measures.for.Products	cross-industry
Companies.establish.MarketingBudgets	cross-industry
Companies.confirm.MarketingAlignment.to.BusinessStrategy	cross-industry
Companies.determine.Costs.of.Marketing	cross-industry
Companies.create.MarketingBudget	cross-industry
Companies.determine.ProjectedRoi.for.MarketingInvestment	cross-industry
Companies.develop.Pricing	cross-industry
Companies.manage.Pricing	cross-industry
Companies.understand.ResourceRequirements.for.Product	cross-industry
Companies.understand.ResourceRequirements.for.DeliveryChannel	cross-industry
Companies.determine.CorporateIncentives	cross-industry
Companies.determine.PricingBased.on.Volume	cross-industry
Companies.execute.PricingPlan	cross-industry
Companies.evaluate.PricingPerformance	cross-industry
Companies.refine.PricingAsNeeded	cross-industry
Companies.implement.PromotionalPricingPrograms	cross-industry
Companies.implement.OtherRetailPricingPrograms	cross-industry
Companies.communicate.PriceChanges	cross-industry
Companies.implement.PriceChanges	cross-industry
Companies.achieve.RegulatoryApproval.for.Pricing	cross-industry
Companies.develop.PromotionalActivities	cross-industry
Companies.manage.PromotionalActivities	cross-industry
Companies.define.PromotionalConcepts	cross-industry
Companies.define.Objectives	cross-industry
Companies.develop.MarketingMessages	cross-industry
Companies.define.TargetAudience	cross-industry
Companies.plan.PromotionalActivities	cross-industry
Companies.test.PromotionalActivities	cross-industry
Companies.execute.PromotionalActivities	cross-industry
Companies.evaluate.PromotionalPerformanceMetrics	cross-industry
Companies.refine.PromotionalPerformanceMetrics	cross-industry
Companies.incorporate.Learning.into.Future	cross-industry
Companies.track.CustomerManagementMeasures	cross-industry
Companies.determine.CustomerLifetimeValue	cross-industry
Companies.analyze.CustomerRevenueTrend	cross-industry
Companies.analyze.CustomerAttritionRates	cross-industry
Companies.analyze.RetentionRates	cross-industry
Companies.analyze.CustomerMetrics	cross-industry
Companies.revise.CustomerStrategies	cross-industry
Companies.revise.PlansBased.on.Metrics	cross-industry
Companies.analyze.to.CustomerInsight	cross-industry
Companies.respond.to.CustomerInsight	cross-industry
Companies.monitor.to.SocialMediaActivity	cross-industry
Companies.respond.to.SocialMediaActivity	cross-industry
Companies.analyze.CustomerWebsiteActivity	cross-industry
Companies.analyze.CustomerPurchasePatterns	cross-industry
Companies.develop.BusinessRules.to.ProvidePersonalizedOffers	cross-industry
Companies.monitor.Effectiveness.of.PersonalizedOffersOffersAccordingly	cross-industry
Companies.monitor.Effectiveness.of.AdjustOffersAccordingly	cross-industry
Companies.develop.PackagingStrategy	cross-industry
Companies.manage.PackagingStrategy	cross-industry
Companies.plan.PackagingStrategy	cross-industry
Companies.test.PackagingOptions	cross-industry
Companies.execute.PackagingStrategy	cross-industry
Companies.refine.Packaging	cross-industry
Companies.develop.Go	cross-industry
Companies.manage.ProductMarketingMaterial	cross-industry
Companies.manage.ProductImages	cross-industry
Companies.manage.ProductCopy	cross-industry
Companies.develop.SalesStrategy	cross-industry
Companies.develop.SalesForecast	cross-industry
Companies.gather.CurrentOrderInformation	cross-industry
Companies.gather.HistoricOrderInformation	cross-industry
Companies.analyze.SalesTrends	cross-industry
Companies.analyze.Patterns	cross-industry
Companies.generate.SalesForecast	cross-industry
Companies.analyze.HistoricalPromotions	cross-industry
Companies.analyze.Events	cross-industry
Companies.analyze.PlannedPromotions	cross-industry
Companies.analyze.Events	cross-industry
Companies.develop.SalesPartner	cross-industry
Companies.identify.AllianceOpportunities	cross-industry
Companies.design.AlliancePrograms.for.SelectingRelationships	cross-industry
Companies.design.AlliancePrograms.for.ManagingRelationships	cross-industry
Companies.design.Methods.for.SelectingRelationships	cross-industry
Companies.design.Methods.for.ManagingRelationships	cross-industry
Companies.select.Alliances	cross-industry
Companies.develop.CustomerTradeStrategyObjectives	cross-industry
Companies.develop.CustomerObjectives	cross-industry
Companies.define.TradeProgramsOptions	cross-industry
Companies.define.FundingOptions	cross-industry
Companies.conduct.PlanningActivities.for.MajorTradeCustomers	cross-industry
Companies.develop.PartnerManagementStrategies	cross-industry
Companies.develop.AllianceManagementStrategies	cross-industry
Companies.establish.PartnerManagementGoals	cross-industry
Companies.establish.AllianceManagementGoals	cross-industry
Companies.establish.PartnerAgreements	cross-industry
Companies.establish.AllianceAgreements	cross-industry
Companies.develop.PromotionalManagementCalendars	cross-industry
Companies.develop.CategoryManagementCalendars	cross-industry
Companies.create.StrategicSalesPlans.by.Customer	cross-industry
Companies.create.TacticalSalesPlans.by.Customer	cross-industry
Companies.communicate.PlanningInformation.to.CustomerTeams	cross-industry
Companies.establish.OverallSalesBudgets	cross-industry
Companies.calculate.ProductMarketShare	cross-industry
Companies.calculate.ProductRevenue	cross-industry
Companies.determine.VariableCosts	cross-industry
Companies.determine.OverheadCosts	cross-industry
Companies.determine.FixedCosts	cross-industry
Companies.calculate.NetProfit	cross-industry
Companies.create.Budget	cross-industry
Companies.establish.SalesGoals	cross-industry
Companies.establish.Measures	cross-industry
Companies.establish.CustomerManagementMeasures	cross-industry
Companies.develop.SalesPlans	cross-industry
Companies.manage.SalesPlans	cross-industry
Companies.manage.Leads	cross-industry
Companies.identify.PotentialCustomers	cross-industry
Companies.identify.Leads	cross-industry
Companies.receive.Leads	cross-industry
Companies.validate.Leads	cross-industry
Companies.qualify.Leads	cross-industry
Companies.match.Opportunities.to.BusinessStrategy	cross-industry
Companies.develop.OpportunityWinPlans	cross-industry
Companies.manage.OpportunityPipeline	cross-industry
Companies.determine.SalesResourceAllocation	cross-industry
Companies.manage.CustomerSalesCalls	cross-industry
Companies.perform.SalesCalls	cross-industry
Companies.perform.Pre	cross-industry
Companies.manage.CustomerMeetings	cross-industry
Companies.close.Sale	cross-industry
Companies.record.Outcome.of.SalesProcess	cross-industry
Companies.manage.Customers	cross-industry
Companies.manage.Accounts	cross-industry
Companies.select.KeyCustomers	cross-industry
Companies.develop.Sales	cross-industry
Companies.manage.Sales	cross-industry
Companies.manage.CustomerRelationships	cross-industry
Companies.manage.CustomerMasterData	cross-industry
Companies.collect.InternalThird	cross-industry
Companies.merge.InternalThird	cross-industry
Companies.duplicate.CustomerData	cross-industry
Companies.develop.SalesProposals	cross-industry
Companies.manage.SalesProposals	cross-industry
Companies.receive.Request.for.Proposal	cross-industry
Companies.refine.CustomerRequirements	cross-industry
Companies.review.Rfp	cross-industry
Companies.perform.CompetitiveAnalysis	cross-industry
Companies.validate.with.Strategy	cross-industry
Companies.understand.CustomerBusiness	cross-industry
Companies.understand.Requirements	cross-industry
Companies.develop.SolutionApproach	cross-industry
Companies.develop.DeliveryApproach	cross-industry
Companies.identify.StaffingRequirements	cross-industry
Companies.develop.PricingEstimates	cross-industry
Companies.develop.SchedulingEstimates	cross-industry
Companies.conduct.ProfitabilityAnalysis	cross-industry
Companies.manage.InternalReviews	cross-industry
Companies.manage.InternalApprovals	cross-industry
Companies.submit.Bid	cross-industry
Companies.present.Bid	cross-industry
Companies.revise.Bid	cross-industry
Companies.manage.NotificationOutcome	cross-industry
Companies.manage.SalesOrders	cross-industry
Companies.accept.SalesOrders	cross-industry
Companies.validate.SalesOrders	cross-industry
Companies.collect.AccountInformation	cross-industry
Companies.maintain.AccountInformation	cross-industry
Companies.administer.KeyAccountDetails	cross-industry
Companies.retrieve.FullCustomerDetails	cross-industry
Companies.modify.InvolvedPartyDetails	cross-industry
Companies.record.AddressDetails	cross-industry
Companies.record.ContactDetails	cross-industry
Companies.record.KeyCustomerCommunicationProfileDetails	cross-industry
Companies.review.InvolvedPartyInformation	cross-industry
Companies.involved.PartyInformation	cross-industry
Companies.determine.Availability	cross-industry
Companies.determine.FulfillmentProcess	cross-industry
Companies.process.BackOrders	cross-industry
Companies.process.Updates	cross-industry
Companies.handle.SalesOrderInquiriesIncludingPost	cross-industry
Companies.manage.SalesPartners	cross-industry
Companies.manage.Alliances	cross-industry
Companies.provide.SalesTraining.to.SalesPartners	cross-industry
Companies.provide.Product	cross-industry
Companies.provide.CertificationEnablementTraining	cross-industry
Companies.manage.Certifications	cross-industry
Companies.manage.Skills	cross-industry
Companies.provide.Support.to.Partners	cross-industry
Companies.provide.MarketingMaterials.to.SalesPartners	cross-industry
Companies.evaluate.Partner	cross-industry
Companies.manage.SalesPartner	cross-industry
Companies.perform.Sales.at.PhysicalOutlets	cross-industry
Companies.perform.FieldSales	cross-industry
Companies.perform.DigitalSales	cross-industry
Companies.manage.SupplyChain.for.PhysicalProducts	cross-industry
Companies.plan.for.SupplyChainResources	cross-industry
Companies.plan.AlignSupplyChainResources	cross-industry
Companies.develop.ProductionStrategies	cross-industry
Companies.develop.MaterialsStrategies	cross-industry
Companies.define.ManufacturingGoals	cross-industry
Companies.define.LaborPolicies	cross-industry
Companies.define.MaterialsPolicies	cross-industry
Companies.define.OutsourcingPolicies	cross-industry
Companies.define.CapitalExpensePolicies	cross-industry
Companies.define.Capacities	cross-industry
Companies.define.ProductionNetworkConstraints	cross-industry
Companies.define.SupplyConstraints	cross-industry
Companies.define.ProductionProcess	cross-industry
Companies.define.StandardOperatingProcedures	cross-industry
Companies.define.ProductionWorkplaceLayout	cross-industry
Companies.define.Infrastructure	cross-industry
Companies.manage.Demand.for.Products	cross-industry
Companies.develop.BaselineDemandForecasts	cross-industry
Companies.collaborate.Demand.with.Customers	cross-industry
